chamber,ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units,date,plot,sensor_soil_moisture_percent,oven_soil_moisture_percent,plant_biomass_g,plant_cover_percent,soil_temperature_c
SW 1-1,SW,1,1,co2,32.81023468,4.11E-05,306.5,0.006385043,2.871860998,mgc-co2_m2_d,7/9/22,SW_1,NA,33.2,NA,25,NA
SW 1-2,SW,1,2,co2,31.0306648,0.009506472,305.75,0.007651811,3.262943697,mgc-co2_m2_d,7/9/22,SW_1,NA,NA,NA,NA,NA
SW 1-3,SW,1,3,co2,21.71656968,0.00059308,306.35,0.006955088,2.071556113,mgc-co2_m2_d,7/9/22,SW_1,NA,NA,NA,5,NA
SW 2-1,SW,2,1,co2,37.60512908,0.002040899,305.95,0.007588473,3.918968302,mgc-co2_m2_d,7/9/22,SW_2,NA,30.3,NA,NA,NA
SW 2-2,SW,2,2,co2,28.18906117,0.007553892,305.55,0.007145104,2.769667339,mgc-co2_m2_d,7/9/22,SW_2,NA,NA,NA,10,NA
SW 2-3,SW,2,3,co2,34.77151703,0.000113681,306.4,0.007081765,3.376736095,mgc-co2_m2_d,7/9/22,SW_2,NA,NA,NA,5,NA
SW 2-4,SW,2,4,co2,31.31808015,0.000978686,307,0.008538549,3.659835472,mgc-co2_m2_d,7/9/22,SW_2,NA,NA,NA,15,NA
UP 1-1,UP,1,1,co2,40.4210208,NA,305.35,0.009171934,5.101419113,mgc-co2_m2_d,7/9/22,UP_1,NA,26.8,NA,5,NA
UP 1-2,UP,1,2,co2,28.64760817,0.000849751,304.4,0.009551964,3.777088217,mgc-co2_m2_d,7/9/22,UP_1,NA,NA,NA,10,NA
UP 1-3,UP,1,3,co2,29.8948154,0.01035357,305.55,0.007968503,3.275752339,mgc-co2_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 1-4,UP,1,4,co2,31.13697994,0.012348778,307.05,0.007905165,3.368209183,mgc-co2_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 2-1,UP,2,1,co2,21.52418444,0.073450552,307.15,0.00891858,2.625987345,mgc-co2_m2_d,7/9/22,UP_2,NA,15.5,NA,5,NA
UP 2-2,UP,2,2,co2,10.44044767,0.295220699,307.9,0.006765073,0.963834906,mgc-co2_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
UP 2-3,UP,2,3,co2,24.72467121,2.50E-05,307.7,0.008981918,3.032444395,mgc-co2_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
UP 2-4,UP,2,4,co2,28.50596324,7.55E-05,308.35,0.008475211,3.292024196,mgc-co2_m2_d,7/9/22,UP_2,NA,NA,NA,5,NA
SW 1-1,SW,1,1,ch4,-0.007164079,0.261220357,306.5,0.006385043,-0.627067751,mugc-ch4_m2_d,7/9/22,SW_1,NA,33.2,NA,25,NA
SW 1-2,SW,1,2,ch4,0.007707044,0.381251123,305.75,0.007651811,0.810412872,mugc-ch4_m2_d,7/9/22,SW_1,NA,NA,NA,NA,NA
SW 1-3,SW,1,3,ch4,-0.012413394,0.212240343,306.35,0.006955088,-1.184120802,mugc-ch4_m2_d,7/9/22,SW_1,NA,NA,NA,5,NA
SW 2-1,SW,2,1,ch4,-0.005505971,0.015774964,305.95,0.007588473,-0.573797415,mugc-ch4_m2_d,7/9/22,SW_2,NA,30.3,NA,NA,NA
SW 2-2,SW,2,2,ch4,-0.016696382,0.248676643,305.55,0.007145104,-1.640474106,mugc-ch4_m2_d,7/9/22,SW_2,NA,NA,NA,10,NA
SW 2-3,SW,2,3,ch4,-0.006347297,0.033118701,306.4,0.007081765,-0.616399526,mugc-ch4_m2_d,7/9/22,SW_2,NA,NA,NA,5,NA
SW 2-4,SW,2,4,ch4,-0.015819455,0.090411706,307,0.008538549,-1.84866388,mugc-ch4_m2_d,7/9/22,SW_2,NA,NA,NA,15,NA
UP 1-1,UP,1,1,ch4,-0.005965387,NA,305.35,0.009171934,-0.752874075,mugc-ch4_m2_d,7/9/22,UP_1,NA,26.8,NA,5,NA
UP 1-2,UP,1,2,ch4,-0.007191507,0.005065052,304.4,0.009551964,-0.948175393,mugc-ch4_m2_d,7/9/22,UP_1,NA,NA,NA,10,NA
UP 1-3,UP,1,3,ch4,-0.010922664,0.027874012,305.55,0.007968503,-1.196861082,mugc-ch4_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 1-4,UP,1,4,ch4,-0.018053844,0.156703045,307.05,0.007905165,-1.95295512,mugc-ch4_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 2-1,UP,2,1,ch4,0.011150476,0.695176064,307.15,0.00891858,1.360377146,mugc-ch4_m2_d,7/9/22,UP_2,NA,15.5,NA,5,NA
UP 2-2,UP,2,2,ch4,-0.080127104,0.638420432,307.9,0.006765073,-7.397125328,mugc-ch4_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
UP 2-3,UP,2,3,ch4,-0.00192963,0.043943781,307.7,0.008981918,-0.236666238,mugc-ch4_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
UP 2-4,UP,2,4,ch4,-0.012233982,0.149126071,308.35,0.008475211,-1.412846993,mugc-ch4_m2_d,7/9/22,UP_2,NA,NA,NA,5,NA
SW 1-1,SW,1,1,n2o,0.001462977,0.400458149,306.5,0.006385043,0.469277211,mugn-n2o_m2_d,7/9/22,SW_1,NA,33.2,NA,25,NA
SW 1-2,SW,1,2,n2o,0.004880726,0.1721318,305.75,0.007651811,1.880792669,mugn-n2o_m2_d,7/9/22,SW_1,NA,NA,NA,NA,NA
SW 1-3,SW,1,3,n2o,-0.000654736,0.648395785,306.35,0.006955088,-0.228881007,mugn-n2o_m2_d,7/9/22,SW_1,NA,NA,NA,5,NA
SW 2-1,SW,2,1,n2o,0.001366124,0.088489794,305.95,0.007588473,0.521738205,mugn-n2o_m2_d,7/9/22,SW_2,NA,30.3,NA,NA,NA
SW 2-2,SW,2,2,n2o,-0.000113293,0.937804369,305.55,0.007145104,-0.040793154,mugn-n2o_m2_d,7/9/22,SW_2,NA,NA,NA,10,NA
SW 2-3,SW,2,3,n2o,0.000972202,0.136264923,306.4,0.007081765,0.345993483,mugn-n2o_m2_d,7/9/22,SW_2,NA,NA,NA,5,NA
SW 2-4,SW,2,4,n2o,9.23E-05,0.627295887,307,0.008538549,0.039517105,mugn-n2o_m2_d,7/9/22,SW_2,NA,NA,NA,15,NA
UP 1-1,UP,1,1,n2o,0.000572317,NA,305.35,0.009171934,0.264702568,mugn-n2o_m2_d,7/9/22,UP_1,NA,26.8,NA,5,NA
UP 1-2,UP,1,2,n2o,0.000794318,0.552198845,304.4,0.009551964,0.38379644,mugn-n2o_m2_d,7/9/22,UP_1,NA,NA,NA,10,NA
UP 1-3,UP,1,3,n2o,0.001316369,0.289443634,305.55,0.007968503,0.528604329,mugn-n2o_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 1-4,UP,1,4,n2o,-0.000834874,0.429873191,307.05,0.007905165,-0.330964701,mugn-n2o_m2_d,7/9/22,UP_1,NA,NA,NA,NA,NA
UP 2-1,UP,2,1,n2o,0.003129192,0.455883342,307.15,0.00891858,1.399059412,mugn-n2o_m2_d,7/9/22,UP_2,NA,15.5,NA,5,NA
UP 2-2,UP,2,2,n2o,-0.004703916,0.311056619,307.9,0.006765073,-1.591406081,mugn-n2o_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
UP 2-3,UP,2,3,n2o,0.001962764,0.115529121,307.7,0.008981918,0.882202613,mugn-n2o_m2_d,7/9/22,UP_2,NA,NA,NA,NA,NA
