chamber,gas,estimate,p.value,date,average_temp_kelvin,plot,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units,term,std.error,statistic,soil_moist_percent,soil_temp_c,plant_cover_percent
SW 1-1,co2,NA,NA,2023-03-22,273,SW_1,SW,1,1,0.006385043,NA,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,co2,NA,NA,2023-03-22,273,SW_1,SW,1,3,0.006955088,NA,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,co2,NA,NA,2023-03-22,273,SW_1,SW,1,4,0.01012201,NA,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,co2,5.566372540945432,0.01456541431745123,2023-03-22,285.7,SW_2,SW,2,1,0.007588473,0.5986602232386441,umol_m2_s1,NA,NA,NA,55.2,6.3,NA
SW 2-3,co2,2.0731581591242865,0.00897334561097,2023-03-22,285.9,SW_2,SW,2,3,0.007081765,0.20793316897108505,umol_m2_s1,NA,NA,NA,57.2,6.8,NA
SW 2-4,co2,5.573025331194739,7.631102041587628e-4,2023-03-22,285.6,SW_2,SW,2,4,0.008538549,0.6746536439486849,umol_m2_s1,NA,NA,NA,56.1,5.9,NA
UP 1-1,co2,5.379031615112818,0.00170641921717962,2023-03-22,286.1,UP_1,UP,1,1,0.009171934,0.6982503167722554,umol_m2_s1,NA,NA,NA,53.3,5.2,NA
UP 1-2,co2,4.855306072248858,0.01924829451281473,2023-03-22,285.85,UP_1,UP,1,2,0.009551964,0.6569541710245705,umol_m2_s1,NA,NA,NA,52.4,4.9,NA
UP 1-3,co2,4.390602930055576,0.01530621016733969,2023-03-22,285.7,UP_1,UP,1,3,0.007968503,0.4958549401262704,umol_m2_s1,NA,NA,NA,54.7,4.9,NA
UP 1-4,co2,3.93392812911974,0.06720777592894882,2023-03-22,285.95,UP_1,UP,1,4,0.007905165,0.44036342513056503,umol_m2_s1,NA,NA,NA,54.1,4.8,NA
UP 2-1,co2,3.189014852306796,0.00995517711248416,2023-03-22,286.25,UP_2,UP,2,1,0.00891858,0.4023191826250639,umol_m2_s1,NA,NA,NA,49.1,5.3,NA
