chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,-1.1293724156376478e-4,5.150364611104692e-4,-0.21928009003529766,0.8405039967053047
SW 1-2,min_elapsed,0.0011874396082510734,3.8848728942771386e-4,3.0565726101368917,0.055141641968816844
SW 1-3,min_elapsed,0.0010017514199823572,3.308761264549305e-4,3.0275723749407724,0.056419376923662674
SW 1-4,min_elapsed,4.407161435981623e-4,7.91551827081133e-5,5.567748421771876,0.011433092068943242
SW 2-1,min_elapsed,4.3618074801771595e-4,6.860964131728188e-4,0.6357426443910699,0.5701244229408129
SW 2-2,min_elapsed,3.103931643793387e-4,3.318038371633671e-4,0.9354718951803845,0.41855403695253984
SW 2-3,min_elapsed,0.0010789733963260473,1.8076528012735867e-4,5.968919449386816,0.009409210125445105
SW 2-4,min_elapsed,5.74864584082928e-4,6.626272909463772e-4,0.8675534375620044,0.44946647309968446
UP 1-1,min_elapsed,0.002163438383807871,7.755217257291176e-5,27.896554178077785,1.0111455517206534e-4
UP 1-2,min_elapsed,4.588509361582024e-4,6.694047036172392e-4,0.6854611771903086,0.5422701531825689
UP 1-3,min_elapsed,0.0017654166685498536,3.8398289889444287e-4,4.597643993086181,0.019339173039113717
UP 1-4,min_elapsed,0.001340296104192975,1.6155208041911107e-4,8.296371676030873,0.0036689790685806344
UP 2-1,min_elapsed,8.439750381130649e-4,5.159203780987108e-4,1.6358629624658625,0.20038592966029697
UP 2-2,min_elapsed,3.199415982929569e-4,1.9114594399802814e-4,1.6738079375425168,0.19276186958149014
UP 2-3,min_elapsed,0.0010812886205617922,3.223467862915511e-4,3.3544265571917484,0.043914378703818785
UP 2-4,min_elapsed,6.774095209451794e-4,2.974461371169955e-4,2.27741912371426,0.10718967285096319
