chamber,term,estimate,std.error,statistic,p.value,gas,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,min_elapsed,30.614427313128825,2.812894620666854,10.883602637723788,0.00166000254814109,co2,2023-06-15,305.5,SW,1,1,0.006385043,2.5908527630920384,umol_m2_s1
SW 1-2,min_elapsed,29.43761625094519,1.3315830984168349,22.107231824994315,2.0261791501923057e-4,co2,2023-06-15,303.05,SW,1,2,0.007651811,3.0096539757305885,umol_m2_s1
SW 1-3,min_elapsed,25.42109168394354,1.0013295036600152,25.38733912366059,1.3402898051376806e-4,co2,2023-06-15,303.365,SW,1,3,0.006955088,2.359909421070129,umol_m2_s1
SW 1-4,min_elapsed,31.641649798943163,1.0373227362801425,30.503187380632063,7.740291027882985e-5,co2,2023-06-15,304.35,SW,1,4,0.01012201,4.261049279908353,umol_m2_s1
SW 2-1,min_elapsed,42.27010488296445,1.7571346219464667,24.056269994919184,1.574311982758033e-4,co2,2023-06-15,301.2,SW,2,1,0.007588473,4.312178526227034,umol_m2_s1
SW 2-2,min_elapsed,37.18193428298786,1.771266913886261,20.991717279587512,2.364776595956615e-4,co2,2023-06-15,301,SW,2,2,0.007145104,3.5738639790623794,umol_m2_s1
SW 2-3,min_elapsed,36.131869194763034,1.989008338656194,18.165770596605093,3.639080221433776e-4,co2,2023-06-15,301.9,SW,2,3,0.007081765,3.4318856503678643,umol_m2_s1
SW 2-4,min_elapsed,51.537502652454755,2.9832431872651677,17.2756625649754,4.226225308473694e-4,co2,2023-06-15,302.4,SW,2,4,0.008538549,5.8923649810074865,umol_m2_s1
UP 1-1,min_elapsed,45.496522837732385,1.464622838922226,31.06364425616357,7.329859567618483e-5,co2,2023-06-15,300.55,UP,1,1,0.009171934,5.621942198840627,umol_m2_s1
UP 1-2,min_elapsed,38.01809716957237,2.4677095585472353,15.406228434740918,5.940644717889116e-4,co2,2023-06-15,302.7,UP,1,2,0.009551964,4.857743885619951,umol_m2_s1
UP 1-3,min_elapsed,50.14993822647155,2.9515229830665315,16.991207086711373,4.44026511860796e-4,co2,2023-06-15,301.45,UP,1,3,0.007968503,5.367793944977819,umol_m2_s1
UP 1-4,min_elapsed,39.77335603488076,1.3843755270807083,28.730178522263056,9.259016932863474e-5,co2,2023-06-15,301.4,UP,1,4,0.007905165,4.2240000088331415,umol_m2_s1
UP 2-1,min_elapsed,39.45865159200319,2.889854617006786,13.654199543391956,8.498631130775021e-4,co2,2023-06-15,303.3,UP,2,1,0.00891858,4.698178613300903,umol_m2_s1
UP 2-2,min_elapsed,54.367312738566774,5.919541191717541,9.184379494585832,0.00272954525373582,co2,2023-06-15,302.65,UP,2,2,0.006765073,4.92077670139023,umol_m2_s1
UP 2-3,min_elapsed,29.20335094596158,1.112155237075764,26.25834053773569,1.2117304714529266e-4,co2,2023-06-15,302.25,UP,2,3,0.008981918,3.5139812940961086,umol_m2_s1
UP 2-4,min_elapsed,34.1224075994443,2.183418553685254,15.627973638792822,5.693745053344562e-4,co2,2023-06-15,301.75,UP,2,4,0.008475211,3.8806715641392873,umol_m2_s1
SW 1-1,min_elapsed,-0.00242719317885475,8.33883301812164e-4,-2.910710855559848,0.06196088489993938,ch4,2023-06-15,305.5,SW,1,1,0.006385043,-0.2054096942488677,nmol_m2_s1
SW 1-2,min_elapsed,-8.046063288269523e-4,6.96982489925315e-4,-1.154413978051543,0.3319423848521693,ch4,2023-06-15,303.05,SW,1,2,0.007651811,-0.08226164156122111,nmol_m2_s1
