chamber,gas,estimate,p.value,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,co2,40.90019409328553,9.503284591005809e-5,2023-07-06,304.15,SW,1,1,0.006385043,3.476685096895856,umol_m2_s1
SW 1-2,co2,33.03276675906178,0.00105768965388423,2023-07-06,304.05,SW,1,2,0.007651811,3.366108875262467,umol_m2_s1
SW 1-3,co2,30.11376133726339,0.00359267734434561,2023-07-06,304.75,SW,1,3,0.006955088,2.7828378430614134,umol_m2_s1
SW 1-4,co2,23.26568186872338,1.9648518464018697e-4,2023-07-06,306,SW,1,4,0.01012201,3.1161984146570876,umol_m2_s1
SW 2-1,co2,64.58740270047589,9.34355802759244e-5,2023-07-06,304,SW,2,1,0.007588473,6.528187376471025,umol_m2_s1
SW 2-2,co2,39.127308885725334,1.9626272197105743e-4,2023-07-06,303.45,SW,2,2,0.007145104,3.7304856431910207,umol_m2_s1
SW 2-3,co2,26.181835694505185,0.0071512725474311804,2023-07-06,303.85,SW,2,3,0.007081765,2.470849794172064,umol_m2_s1
SW 2-4,co2,57.56340482593675,2.3167177720046569e-4,2023-07-06,304.3,SW,2,4,0.008538549,6.540223326541557,umol_m2_s1
UP 1-1,co2,58.85535271403219,2.5808634118893635e-6,2023-07-06,304.1,UP,1,1,0.009171934,7.187774587552048,umol_m2_s1
UP 1-2,co2,50.35507930896283,8.734133264756108e-5,2023-07-06,303.15,UP,1,2,0.009551964,6.424544921949088,umol_m2_s1
UP 1-3,co2,71.40678230465588,4.62847308674651e-5,2023-07-06,303.8,UP,1,3,0.007968503,7.583896823478693,umol_m2_s1
UP 1-4,co2,50.02665537717836,0.0020252397132043,2023-07-06,303.15,UP,1,4,0.007905165,5.282248352082627,umol_m2_s1
UP 2-1,co2,43.19123425891532,1.9026208958089876e-4,2023-07-06,291.3,UP,2,1,0.00891858,5.3544494638521,umol_m2_s1
UP 2-2,co2,48.57711962329389,1.8499951121943984e-4,2023-07-06,291.55,UP,2,2,0.006765073,4.564100330442616,umol_m2_s1
UP 2-3,co2,35.42633312405868,3.819429424117604e-5,2023-07-06,291.5,UP,2,3,0.008981918,4.419984132958169,umol_m2_s1
UP 2-4,co2,48.05332770670577,3.1957654025282146e-5,2023-07-06,291.4,UP,2,4,0.008475211,5.659113721680074,umol_m2_s1
SW 1-1,ch4,-0.01795237553375805,0.08567741196197437,2023-07-06,304.15,SW,1,1,0.006385043,-1.5260259237337181,nmol_m2_s1
SW 1-2,ch4,5.534135502537945e-4,0.7074053536934678,2023-07-06,304.05,SW,1,2,0.007651811,0.05639401255084933,nmol_m2_s1
SW 1-3,ch4,-0.01188674994509546,0.18293463929377343,2023-07-06,304.75,SW,1,3,0.006955088,-1.0984644929521745,nmol_m2_s1
SW 1-4,ch4,-0.00431481761222328,0.5773237036177747,2023-07-06,306,SW,1,4,0.01012201,-0.5779253700197894,nmol_m2_s1
SW 2-1,ch4,3.2362589266147487e-4,0.9796498901451915,2023-07-06,304,SW,2,1,0.007588473,0.032710565510265376,nmol_m2_s1
SW 2-2,ch4,-0.02026207717016601,0.07244873036286818,2023-07-06,303.45,SW,2,2,0.007145104,-1.9318320154675677,nmol_m2_s1
SW 2-3,ch4,-0.00137973068363519,0.9068891356013732,2023-07-06,303.85,SW,2,3,0.007081765,-0.13020887135077255,nmol_m2_s1
SW 2-4,ch4,0.00440382631325857,0.6392876027331404,2023-07-06,304.3,SW,2,4,0.008538549,0.5003527443712585,nmol_m2_s1
UP 1-1,ch4,-0.02469419232559057,0.04601936718355282,2023-07-06,304.1,UP,1,1,0.009171934,-3.015805357932794,nmol_m2_s1
UP 1-2,ch4,-0.01290760989216554,0.2599392559081978,2023-07-06,303.15,UP,1,2,0.009551964,-1.6468153903284948,nmol_m2_s1
UP 1-3,ch4,-0.00797587120193792,0.5258153783887606,2023-07-06,303.8,UP,1,3,0.007968503,-0.8470929836157626,nmol_m2_s1
UP 1-4,ch4,-0.01396823133056208,0.262576671250281,2023-07-06,303.15,UP,1,4,0.007905165,-1.4748870651270805,nmol_m2_s1
UP 2-1,ch4,-0.00897317421658313,0.1894064603603711,2023-07-06,291.3,UP,2,1,0.00891858,-1.1124110875140718,nmol_m2_s1
UP 2-2,ch4,6.156221917232291e-4,0.6060822441865285,2023-07-06,291.55,UP,2,2,0.006765073,0.057841252640357256,nmol_m2_s1
UP 2-3,ch4,-0.00381649572998455,9.751191701299716e-4,2023-07-06,291.5,UP,2,3,0.008981918,-0.4761669945055184,nmol_m2_s1
UP 2-4,ch4,-0.0094508010543679,0.12719667613923882,2023-07-06,291.4,UP,2,4,0.008475211,-1.112995925153762,nmol_m2_s1
SW 1-1,n2o,-8.324670961521282e-4,0.2915735002091191,2023-07-06,304.15,SW,1,1,0.006385043,-0.07076313477259051,nmol_m2_s1
SW 1-2,n2o,8.626141950038203e-4,0.08140092035766948,2023-07-06,304.05,SW,1,2,0.007651811,0.08790221294234148,nmol_m2_s1
SW 1-3,n2o,-2.9372072958431335e-4,0.6659768688124028,2023-07-06,304.75,SW,1,3,0.006955088,-0.027142978003461684,nmol_m2_s1
SW 1-4,n2o,-2.61192368102179e-4,0.7325630289944621,2023-07-06,306,SW,1,4,0.01012201,-0.03498402703145024,nmol_m2_s1
SW 2-1,n2o,-0.00165703221988028,0.49757022202730705,2023-07-06,304,SW,2,1,0.007588473,-0.16748493309746454,nmol_m2_s1
SW 2-2,n2o,-0.00112662109371548,0.45944360749775065,2023-07-06,303.45,SW,2,2,0.007145104,-0.1074145893267674,nmol_m2_s1
SW 2-3,n2o,0.00108120181105595,0.5195201148063123,2023-07-06,303.85,SW,2,3,0.007081765,0.10203590395560865,nmol_m2_s1
SW 2-4,n2o,0.00152734835882047,0.3807591975608623,2023-07-06,304.3,SW,2,4,0.008538549,0.1735338518337904,nmol_m2_s1
UP 1-1,n2o,-5.113117738850982e-4,0.635321656412054,2023-07-06,304.1,UP,1,1,0.009171934,-0.06244451192917979,nmol_m2_s1
UP 1-2,n2o,-5.590895258664091e-5,0.9699207666458798,2023-07-06,303.15,UP,1,2,0.009551964,-0.007133134975880439,nmol_m2_s1
UP 1-3,n2o,7.585702199959076e-4,0.4422842544438114,2023-07-06,303.8,UP,1,3,0.007968503,0.08056543224798683,nmol_m2_s1
UP 1-4,n2o,3.901093548438484e-4,0.7902808624632378,2023-07-06,303.15,UP,1,4,0.007905165,0.04119113063265038,nmol_m2_s1
UP 2-1,n2o,2.978393428890889e-4,0.8377059016130977,2023-07-06,291.3,UP,2,1,0.00891858,0.03692336505797725,nmol_m2_s1
UP 2-2,n2o,-1.4687069334824937e-5,0.9765249833077496,2023-07-06,291.55,UP,2,2,0.006765073,-0.001379934803136497,nmol_m2_s1
UP 2-3,n2o,2.540051976189404e-4,0.6427933594445635,2023-07-06,291.5,UP,2,3,0.008981918,0.03169108525099299,nmol_m2_s1
UP 2-4,n2o,-0.00100943481904994,0.17979536716672825,2023-07-06,291.4,UP,2,4,0.008475211,-0.11887847748013479,nmol_m2_s1
