chamber,gas,estimate,p.value,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,co2,35.860805132210466,4.003676526431665e-6,2023-08-02,307.2,SW,1,1,0.006385043,3.018051403093157,umol_m2_s1
SW 1-2,co2,32.020245687153405,1.651948052164956e-5,2023-08-02,307.25,SW,1,2,0.007651811,3.2289475024410117,umol_m2_s1
SW 1-3,co2,29.635298560395757,1.8650145873446588e-5,2023-08-02,304.85,SW,1,3,0.006955088,2.7377243472365174,umol_m2_s1
SW 1-4,co2,24.13724539621527,1.240554691241242e-5,2023-08-02,306.15,SW,1,4,0.01012201,3.231351374972038,umol_m2_s1
SW 2-1,co2,51.056784563294805,8.123711324648758e-5,2023-08-02,305.65,SW,2,1,0.007588473,5.132718365710114,umol_m2_s1
SW 2-2,co2,34.26709223607671,9.142219131782417e-5,2023-08-02,307.1,SW,2,2,0.007145104,3.228270912547661,umol_m2_s1
SW 2-3,co2,36.982624295342696,2.7464931560316336e-4,2023-08-02,307.75,SW,2,3,0.007081765,3.4459197283679033,umol_m2_s1
SW 2-4,co2,43.57931072984134,9.302614783309678e-4,2023-08-02,306.35,SW,2,4,0.008538549,4.918249186082115,umol_m2_s1
UP 1-1,co2,46.734457813097634,5.832470183193801e-5,2023-08-02,307.7,UP,1,1,0.009171934,5.640720940777453,umol_m2_s1
UP 1-2,co2,38.01838772837012,1.246202289334579e-4,2023-08-02,307.05,UP,1,2,0.009551964,4.788960469695904,umol_m2_s1
UP 1-3,co2,45.46728255599583,5.7938880712756325e-5,2023-08-02,307.45,UP,1,3,0.007968503,4.77161310857928,umol_m2_s1
UP 1-4,co2,40.03826649470567,1.8648573145354087e-4,2023-08-02,307.2,UP,1,4,0.007905165,4.171852788136685,umol_m2_s1
UP 2-1,co2,35.407973305184726,2.2730700529638797e-4,2023-08-02,307.05,UP,2,1,0.00891858,4.164392552875487,umol_m2_s1
UP 2-2,co2,34.6600000491566,3.0857539090550697e-4,2023-08-02,306.8,UP,2,2,0.006765073,3.0946367057826234,umol_m2_s1
UP 2-3,co2,27.318345971453443,2.32361949224954e-4,2023-08-02,305.9,UP,2,3,0.008981918,3.2479399499794988,umol_m2_s1
UP 2-4,co2,36.42160775875697,4.231839021063809e-4,2023-08-02,306.15,UP,2,4,0.008475211,4.082623676388919,umol_m2_s1
SW 1-1,ch4,-0.0030157525895928,0.0491976713733188,2023-08-02,307.2,SW,1,1,0.006385043,-0.25380624614663644,nmol_m2_s1
SW 1-2,ch4,-0.02783298903724179,0.5634797561310807,2023-08-02,307.25,SW,1,2,0.007651811,-2.806701151369569,nmol_m2_s1
SW 1-3,ch4,-8.549309740963937e-4,0.2767425492357562,2023-08-02,304.85,SW,1,3,0.006955088,-0.07897896956294653,nmol_m2_s1
SW 1-4,ch4,-9.98492782525853e-5,0.9143097808719128,2023-08-02,306.15,SW,1,4,0.01012201,-0.013367229660019467,nmol_m2_s1
SW 2-1,ch4,-0.00322003254357423,0.11707595542892296,2023-08-02,305.65,SW,2,1,0.007588473,-0.32370859849387174,nmol_m2_s1
SW 2-2,ch4,-0.00530851042694787,0.0132691522291819,2023-08-02,307.1,SW,2,2,0.007145104,-0.5001098337205705,nmol_m2_s1
SW 2-3,ch4,-0.01798000137472966,0.8493213280164649,2023-08-02,307.75,SW,2,3,0.007081765,-1.6753176020844316,nmol_m2_s1
SW 2-4,ch4,0.02284925766928902,0.1810072920451936,2023-08-02,306.35,SW,2,4,0.008538549,2.5787085902120324,nmol_m2_s1
UP 1-1,ch4,0.09495499119840212,0.13064668032021984,2023-08-02,307.7,UP,1,1,0.009171934,11.460807129211119,nmol_m2_s1
UP 1-2,ch4,-0.0086723776196604,3.801148490452732e-5,2023-08-02,307.05,UP,1,2,0.009551964,-1.092410175191025,nmol_m2_s1
UP 1-3,ch4,-0.0090540312162842,9.489519279816694e-6,2023-08-02,307.45,UP,1,3,0.007968503,-0.9501850915304052,nmol_m2_s1
UP 1-4,ch4,-0.01677481780627033,0.4166126940530001,2023-08-02,307.2,UP,1,4,0.007905165,-1.7478796302239417,nmol_m2_s1
UP 2-1,ch4,-0.00411645293422648,0.03064193656803554,2023-08-02,307.05,UP,2,1,0.00891858,-0.48414309951609263,nmol_m2_s1
UP 2-2,ch4,-0.12236308926996708,0.2790799124196217,2023-08-02,306.8,UP,2,2,0.006765073,-10.925254095520707,nmol_m2_s1
UP 2-3,ch4,-0.00211645121441149,0.3690810006876052,2023-08-02,305.9,UP,2,3,0.008981918,-0.251629672552389,nmol_m2_s1
UP 2-4,ch4,-0.0019112211932081,0.20869389235745203,2023-08-02,306.15,UP,2,4,0.008475211,-0.21423537768816964,nmol_m2_s1
SW 1-1,n2o,0.00122189416026744,0.01467729004897788,2023-08-02,307.2,SW,1,1,0.006385043,0.10283481843842163,nmol_m2_s1
SW 1-2,n2o,0.00126481359465045,0.04551717441321984,2023-08-02,307.25,SW,1,2,0.007651811,0.12754482702606262,nmol_m2_s1
SW 1-3,n2o,9.17516268412884e-4,0.12269415428938676,2023-08-02,304.85,SW,1,3,0.006955088,0.08476063171425001,nmol_m2_s1
SW 1-4,n2o,7.514457239765121e-4,0.19419122530747404,2023-08-02,306.15,SW,1,4,0.01012201,0.10059910041636737,nmol_m2_s1
SW 2-1,n2o,4.552101444003762e-4,0.26964823689867395,2023-08-02,305.65,SW,2,1,0.007588473,0.04576209583909189,nmol_m2_s1
SW 2-2,n2o,-2.620096576159845e-5,0.9660218479274836,2023-08-02,307.1,SW,2,2,0.007145104,-0.0024683686338514256,nmol_m2_s1
SW 2-3,n2o,1.4258775673236173e-4,0.6720827454374573,2023-08-02,307.75,SW,2,3,0.007081765,0.013285859868242097,nmol_m2_s1
SW 2-4,n2o,-3.6687630825579256e-5,0.9258824935492916,2023-08-02,306.35,SW,2,4,0.008538549,-0.0041404718758809795,nmol_m2_s1
UP 1-1,n2o,7.80174586276009e-4,0.1652785992942127,2023-08-02,307.7,UP,1,1,0.009171934,0.09416493380257279,nmol_m2_s1
UP 1-2,n2o,3.624930431040145e-4,0.4343946082696208,2023-08-02,307.05,UP,1,2,0.009551964,0.04566119074716799,nmol_m2_s1
UP 1-3,n2o,7.81914809343101e-4,0.12214232570218198,2023-08-02,307.45,UP,1,3,0.007968503,0.08205889475490102,nmol_m2_s1
UP 1-4,n2o,6.283106568476311e-4,0.00198069480753449,2023-08-02,307.2,UP,1,4,0.007905165,0.0654678585031245,nmol_m2_s1
UP 2-1,n2o,5.527991542206143e-4,0.2669391900121817,2023-08-02,307.05,UP,2,1,0.00891858,0.06501565794885825,nmol_m2_s1
UP 2-2,n2o,3.1487711769447594e-4,0.04500698206686691,2023-08-02,306.8,UP,2,2,0.006765073,0.028113972442191954,nmol_m2_s1
UP 2-3,n2o,7.122416891792734e-4,0.19168438802532545,2023-08-02,305.9,UP,2,3,0.008981918,0.08468002560416969,nmol_m2_s1
UP 2-4,n2o,8.722802992132285e-4,0.01770089062638455,2023-08-02,306.15,UP,2,4,0.008475211,0.09777690830134504,nmol_m2_s1
