chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,NA,NA,NA,NA
SW 1-3,min_elapsed,NA,NA,NA,NA
SW 1-4,min_elapsed,NA,NA,NA,NA
SW 2-1,min_elapsed,6.081462965336439e-4,1.5213504813014366e-4,3.9974108794010847,0.028055957877597838
SW 2-3,min_elapsed,4.4961534352452507e-4,1.3801746180911373e-4,3.257669990673858,0.04721467839237862
SW 2-4,min_elapsed,5.017664362283432e-4,2.4955951369758653e-4,2.010608326622956,0.18206743432506867
UP 1-1,min_elapsed,6.061999251521953e-4,9.878494385887984e-5,6.136561924033564,0.008702832426278838
UP 1-2,min_elapsed,5.55622348694224e-4,9.383115830278153e-5,5.921512200683908,0.009622526943389146
UP 1-3,min_elapsed,5.547355315372026e-4,1.5417705850825913e-4,3.598041997327935,0.03681310824173983
UP 1-4,min_elapsed,4.841449470683672e-4,2.0740459133419549e-4,2.3343019744835543,0.1017481488778034
UP 2-1,min_elapsed,4.452128145554466e-4,1.6627583745390157e-4,2.677555689225608,0.07520509136897979
UP 2-2,min_elapsed,3.3310193877724494e-4,1.7076245748484797e-4,1.9506743091162273,0.1461774064676361
UP 2-3,min_elapsed,5.106066469964447e-4,6.632938191566338e-5,7.698046208928525,0.004555707712176339
UP 2-4,min_elapsed,2.7375844965250894e-4,1.7477404462369264e-4,1.5663564360597158,0.21524611182817102
