chamber,gas,estimate,p.value,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,co2,34.69893709239287,6.58818268143882e-5,2023-06-02,312.1,SW,1,1,0.006385043,2.8744198985910097,umol_m2_s1
SW 1-2,co2,32.671603903533395,0.00230577360920442,2023-06-02,312.1,SW,1,2,0.007651811,3.243432785690235,umol_m2_s1
SW 1-3,co2,34.814928142243375,9.929614129305448e-5,2023-06-02,311.55,SW,1,3,0.006955088,3.147055183197853,umol_m2_s1
SW 1-4,co2,43.921340707489456,3.979726684035082e-6,2023-06-02,312.6,SW,1,4,0.01012201,5.75860590620229,umol_m2_s1
SW 2-1,co2,48.743717697143744,0.02967372895997155,2023-06-02,308.55,SW,2,1,0.007588473,4.85413078959247,umol_m2_s1
SW 2-2,co2,35.042976581347716,0.00168475618804622,2023-06-02,309.5,SW,2,2,0.007145104,3.2757660003333133,umol_m2_s1
SW 2-3,co2,23.83480916766896,5.974384363569951e-4,2023-06-02,310.25,SW,2,3,0.007081765,2.202953760349057,umol_m2_s1
SW 2-4,co2,45.129249115509914,0.0014296822236309,2023-06-02,310,SW,2,4,0.008538549,5.033203271070657,umol_m2_s1
UP 1-1,co2,32.91946472904628,3.880707213811749e-4,2023-06-02,309.25,UP,1,1,0.009171934,3.953374521496892,umol_m2_s1
UP 1-2,co2,28.57389557332153,7.480010859270902e-4,2023-06-02,309.8,UP,1,2,0.009551964,3.5673415990466126,umol_m2_s1
UP 1-3,co2,29.122574847958948,0.00126318081831305,2023-06-02,309.8,UP,1,3,0.007968503,3.033116409180581,umol_m2_s1
UP 1-4,co2,29.140107222521603,7.594059444279944e-4,2023-06-02,310.35,UP,1,4,0.007905165,3.005483280163448,umol_m2_s1
UP 2-1,co2,26.31728900106652,2.251245546168976e-4,2023-06-02,309,UP,2,1,0.00891858,3.075688607223498,umol_m2_s1
UP 2-2,co2,26.611521815791708,0.00146180890147641,2023-06-02,308.7,UP,2,2,0.006765073,2.361399952777926,umol_m2_s1
UP 2-3,co2,14.67610733267842,0.0326193175825818,2023-06-02,308.55,UP,2,3,0.008981918,1.7298896322091029,umol_m2_s1
UP 2-4,co2,36.43047126952703,7.101936253800824e-4,2023-06-02,310.4,UP,2,4,0.008475211,4.027704288845707,umol_m2_s1
SW 1-1,ch4,0.00130178901267736,0.489176381426643,2023-06-02,312.1,SW,1,1,0.006385043,0.10783869926169272,nmol_m2_s1
SW 1-2,ch4,-0.00763349574332692,0.27123261575070445,2023-06-02,312.1,SW,1,2,0.007651811,-0.7578057825516107,nmol_m2_s1
SW 1-3,ch4,-0.00108163697101822,0.7606481257172281,2023-06-02,311.55,SW,1,3,0.006955088,-0.09777332361777992,nmol_m2_s1
SW 1-4,ch4,0.01187898195199571,0.02525141586521735,2023-06-02,312.6,SW,1,4,0.01012201,1.5574746700928523,nmol_m2_s1
SW 2-1,ch4,-0.00515800605756823,0.26162126716936274,2023-06-02,308.55,SW,2,1,0.007588473,-0.5136587277259231,nmol_m2_s1
SW 2-2,ch4,-0.0061684968532024,0.04940277441439277,2023-06-02,309.5,SW,2,2,0.007145104,-0.5766220291811277,nmol_m2_s1
SW 2-3,ch4,-0.00942418209972757,0.09353450299781976,2023-06-02,310.25,SW,2,3,0.007081765,-0.8710385406806909,nmol_m2_s1
