chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,-0.002427193178854755,8.33883301812164e-4,-2.910710855559848,0.06196088489993938
SW 1-2,min_elapsed,-8.046063288269523e-4,6.96982489925315e-4,-1.154413978051543,0.3319423848521693
SW 1-3,min_elapsed,-0.002106828418703432,0.0011865781981543757,-1.775549577752591,0.17389350394906702
SW 1-4,min_elapsed,-0.001129235074944978,6.957390247915268e-4,-1.62307278261895,0.20303188074314815
SW 2-1,min_elapsed,-0.0058703329151611125,4.863012513836289e-4,-12.07139175245547,0.0012234103811571407
SW 2-2,min_elapsed,-0.005761491890413606,0.0012629784257808083,-4.561829222737271,0.019751450964538342
SW 2-3,min_elapsed,-0.013092858244868407,0.0031916882876304817,-4.102173227758586,0.026213812105178917
SW 2-4,min_elapsed,-0.014480586364995966,0.001258193413615756,-11.509030494272038,0.001408235452490269
UP 1-1,min_elapsed,-0.009927760824887987,7.662461896619279e-4,-12.956359142572925,9.926261527236349e-4
UP 1-2,min_elapsed,-0.01095619510222875,0.0015989748808906048,-6.852012019179635,0.006363255580976194
UP 1-3,min_elapsed,-0.010030783679194688,9.704042319846082e-4,-10.336706445189728,0.001931442567995367
UP 1-4,min_elapsed,-0.011729491205787168,0.0019866079701984043,-5.904280754806261,0.009701633089196929
UP 2-1,min_elapsed,-0.0032209659811795422,7.366220200397e-4,-4.372617018706486,0.02212950396381671
UP 2-2,min_elapsed,-0.008552147322093829,0.001346132504611702,-6.35312444562115,0.007889840482601456
UP 2-3,min_elapsed,-0.004281094852518104,0.0015673976705229075,-2.731339297633297,0.07185967095126126
UP 2-4,min_elapsed,-0.004229896779063752,0.0013760487190046045,-3.073944054919467,0.054393671475223296
