chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,7.647650227676935,0.16128570663244424,47.41678842692024,2.0652821704379613e-5
SW 1-2,min_elapsed,15.735542151539034,0.7297579095986283,21.562688042934248,2.182778098821851e-4
SW 1-3,min_elapsed,10.781759471628868,1.156665960733954,9.321411572263596,0.0026140769487603566
SW 1-4,min_elapsed,14.29774702131708,0.5203121936023767,27.479169616085223,1.0577749522995214e-4
SW 2-1,min_elapsed,42.60104372558706,1.4267364801257878,29.859083523140274,8.250694133177324e-5
SW 2-2,min_elapsed,28.137674308137644,0.859621902292567,32.73261678546804,6.267166822685185e-5
SW 2-3,min_elapsed,23.887988996436555,1.0210328257969148,23.395906960965736,1.7108113466356197e-4
SW 2-4,min_elapsed,33.53752284127661,4.436627206664678,7.559238421226088,0.004800988991819075
UP 1-1,min_elapsed,31.913173828838993,1.0314531263115243,30.940013670771915,7.41785647416611e-5
UP 1-2,min_elapsed,29.812116228215505,0.9166824885100399,32.52174728097142,6.38958845846386e-5
UP 1-3,min_elapsed,32.77430223859923,1.4491778604713632,22.615790050738823,1.8931590472016376e-4
UP 1-4,min_elapsed,31.83681920734414,0.5663436821739151,56.21466295013345,1.2400162657625202e-5
UP 2-1,min_elapsed,23.156526683680628,1.3223863051599833,17.511166437011106,4.0592913127215376e-4
UP 2-2,min_elapsed,22.239159693741048,1.2410898457405297,17.919057004669515,3.790333492983216e-4
UP 2-3,min_elapsed,15.516829632417796,1.4645819421036068,10.594715929742161,0.0017965805306144806
UP 2-4,min_elapsed,27.90117287878383,1.157689514925541,24.10073903155143,1.5656493472580851e-4
