DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES
9/2/22,STD,STD,STD,STD,10/25/22,220902_001,
9/2/22,STD,STD,STD,STD,10/25/22,220902_002,
9/2/22,STD,STD,STD,STD,10/25/22,220902_003,
9/2/22,STD,STD,STD,STD,10/25/22,220902_004,
9/2/22,STD,STD,STD,STD,10/25/22,220902_005,
9/2/22,STD,STD,STD,STD,10/25/22,220902_006,
9/2/22,STD,STD,STD,STD,10/25/22,220902_007,
9/2/22,JWP,SW-2,1,T0,10/25/22,220902_008,
9/2/22,JWP,SW-2,1,T1,10/25/22,220902_009,
9/2/22,JWP,SW-2,1,T2,10/25/22,220902_010,
9/2/22,JWP,SW-2,1,T3,10/25/22,220902_011,
9/2/22,JWP,SW-2,1,T4,10/25/22,220902_012,
9/2/22,JWP,SW-1,2,T0,10/25/22,220902_013,
9/2/22,JWP,SW-1,2,T1,10/25/22,220902_014,
9/2/22,JWP,SW-1,2,T2,10/25/22,220902_015,
9/2/22,JWP,SW-1,2,T3,10/25/22,220902_016,
9/2/22,JWP,SW-1,2,T4,10/25/22,220902_017,
N/A,STD,N/A,N/A,N/A,10/25/22,220902_018,
9/2/22,JWP,SW-1,3,T0,10/25/22,220902_019,
9/2/22,JWP,SW-1,3,T1,10/25/22,220902_020,
9/2/22,JWP,SW-1,3,T2,10/25/22,220902_021,
9/2/22,JWP,SW-1,3,T3,10/25/22,220902_022,
9/2/22,JWP,SW-1,3,T4,10/25/22,220902_023,
9/2/22,JWP,SW-1,4,T0,10/25/22,220902_024,
9/2/22,JWP,SW-1,4,T1,10/25/22,220902_025,
9/2/22,JWP,SW-1,4,T2,10/25/22,220902_026,
9/2/22,JWP,SW-1,4,T3,10/25/22,220902_027,
9/2/22,JWP,SW-1,4,T4,10/25/22,220902_028,
N/A,STD,N/A,N/A,N/A,10/25/22,220902_029,
9/2/22,JWP,UP-1,1,T0,10/25/22,220902_030,
9/2/22,JWP,UP-1,1,T1,10/25/22,220902_031,
9/2/22,JWP,UP-1,1,T2,10/25/22,220902_032,
9/2/22,JWP,UP-1,1,T3,10/25/22,220902_033,
9/2/22,JWP,UP-1,1,T4,10/25/22,220902_034,
9/2/22,JWP,UP-1,2,T0,10/25/22,220902_035,
9/2/22,JWP,UP-1,2,T1,10/25/22,220902_036,
9/2/22,JWP,UP-1,2,T2,10/25/22,220902_037,
9/2/22,JWP,UP-1,2,T3,10/26/22,220902_038,
9/2/22,JWP,UP-1,2,T4,10/26/22,220902_039,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_040,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_041,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_042,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_043,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_044,
9/2/22,JWP,UP-1,3,T0,10/26/22,220902_045,
9/2/22,JWP,UP-1,3,T1,10/26/22,220902_046,
9/2/22,JWP,UP-1,3,T2,10/26/22,220902_047,
9/2/22,JWP,UP-1,3,T3,10/26/22,220902_048,
9/2/22,JWP,UP-1,3,T4,10/26/22,220902_049,
9/2/22,JWP,UP-1,4,T0,10/26/22,220902_050,
9/2/22,JWP,UP-1,4,T1,10/26/22,220902_051,
9/2/22,JWP,UP-1,4,T2,10/26/22,220902_052,
9/2/22,JWP,UP-1,4,T3,10/26/22,220902_053,
9/2/22,JWP,UP-1,4,T4,10/26/22,220902_054,
N/A,STD,N/A,N/A,N/A,10/26/22,220902_055,
9/2/22,JWP,SW-1,1,T0,10/26/22,220902_056,
9/2/22,JWP,SW-1,1,T1,10/26/22,220902_057,
9/2/22,JWP,SW-1,1,T2,10/26/22,220902_058,
9/2/22,JWP,SW-1,1,T3,10/26/22,220902_059,
9/2/22,JWP,SW-1,1,T4,10/26/22,220902_060,
9/2/22,JWP,SW-2,2,T0,10/26/22,220902_061,
9/2/22,JWP,SW-2,2,T1,10/27/22,220902_062,
9/2/22,JWP,SW-2,2,T2,10/27/22,220902_063,
9/2/22,JWP,SW-2,2,T3,10/27/22,220902_064,
9/2/22,JWP,SW-2,2,T4,10/27/22,220902_065,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_066,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_067,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_068,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_069,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_070,
9/2/22,JWP,SW-2,3,T0,10/27/22,220902_071,
9/2/22,JWP,SW-2,3,T1,10/27/22,220902_072,
9/2/22,JWP,SW-2,3,T2,10/27/22,220902_073,
9/2/22,JWP,SW-2,3,T3,10/27/22,220902_074,
9/2/22,JWP,SW-2,3,T4,10/27/22,220902_075,
9/2/22,JWP,SW-2,4,T0,10/27/22,220902_076,
9/2/22,JWP,SW-2,4,T1,10/27/22,220902_077,
9/2/22,JWP,SW-2,4,T2,10/27/22,220902_078,
9/2/22,JWP,SW-2,4,T3,10/27/22,220902_079,
9/2/22,JWP,SW-2,4,T4,10/27/22,220902_080,
N/A,STD,N/A,N/A,N/A,10/27/22,220902_081,
9/2/22,JWP,UP-2,1,T0,10/27/22,220902_082,less than 5 mL pulled
9/2/22,JWP,UP-2,1,T1,10/27/22,220902_083,less than 5 mL pulled
9/2/22,JWP,UP-2,1,T2,10/27/22,220902_084,less than 5 mL pulled
9/2/22,JWP,UP-2,1,T3,10/27/22,220902_085,less than 5 mL pulled
9/2/22,JWP,UP-2,1,T4,10/27/22,220902_086,less than 5 mL pulled
9/2/22,JWP,UP-2,2,T0,10/27/22,220902_087,less than 5 mL pulled
9/2/22,JWP,UP-2,2,T1,10/27/22,220902_088,less than 5 mL pulled
9/2/22,JWP,UP-2,2,T2,10/27/22,220902_089,
9/2/22,JWP,UP-2,2,T3,10/27/22,220902_090,less than 5 mL pulled
9/2/22,JWP,UP-2,2,T4,10/27/22,220902_091,less than 5 mL pulled
N/A,STD,N/A,N/A,N/A,10/27/22,220902_092,
9/2/22,JWP,UP-2,3,T0,10/27/22,220902_093,less than 5 mL pulled
9/2/22,JWP,UP-2,3,T1,10/27/22,220902_094,less than 5 mL pulled
9/2/22,JWP,UP-2,3,T2,10/27/22,220902_095,less than 5 mL pulled
9/2/22,JWP,UP-2,3,T3,10/27/22,220902_096,less than 5 mL pulled
9/2/22,JWP,UP-2,3,T4,10/27/22,220902_097,less than 5 mL pulled
9/2/22,JWP,UP-2,4,T0,10/27/22,220902_098,
9/2/22,JWP,UP-2,4,T1,10/27/22,220902_099,less than 5 mL pulled
9/2/22,JWP,UP-2,4,T2,10/28/22,220902_100,less than 5 mL pulled
9/2/22,JWP,UP-2,4,T3,10/28/22,220902_101,less than 5 mL pulled
9/2/22,JWP,UP-2,4,T4,10/28/22,220902_102,less than 5 mL pulled
,,,,,,,
