CHAMBER,FILENAME,TIMEPOINT,NOTES
STD,06022023_001,STD,
STD,06022023_002,STD,
STD,06022023_003,STD,
STD,06022023_004,STD,
STD,06022023_005,STD,
STD,06022023_006,STD,
SW 1-1,06022023_007,T0,
SW 1-2,06022023_008,T0,
SW 1-3,06022023_009,T0,
SW 1-4,06022023_010,T0,
UP 1-1,06022023_011,T0,
UP 1-2,06022023_012,T0,
UP 1-3,06022023_013,T0,
UP 1-4,06022023_014,T0,
STD,06022023_015,STD,
SW 2-1,06022023_016,T0,
SW 2-2,06022023_017,T0,
SW 2-3,06022023_018,T0,
SW 2-4,06022023_019,T0,
UP 2-1,06022023_020,T0,
UP 2-2,06022023_021,T0,
UP 2-3,06022023_022,T0,
UP 2-4,06022023_023,T0,
STD,06022023_024,STD,
SW 1-1,06022023_025,T1,
SW 1-2,06022023_026,T1,
SW 1-3,06022023_027,T1,
SW 1-4,06022023_028,T1,
UP 1-1,06022023_029,T1,
UP 1-2,06022023_030,T1,
UP 1-3,06022023_031,T1,
UP 1-4,06022023_032,T1,
STD,06022023_033,STD,
SW 2-1,06022023_034,T1,
SW 2-2,06022023_035,T1,
SW 2-3,06022023_036,T1,
SW 2-4,06022023_037,T1,
UP 2-1,06022023_038,T1,
UP 2-2,06022023_039,T1,
UP 2-3,06022023_040,T1,
UP 2-4,06022023_041,T1,
STD,06022023_042,STD,
SW 1-1,06022023_043,T2,
SW 1-2,06022023_044,T2,
SW 1-3,06022023_045,T2,
SW 1-4,06022023_046,T2,
UP 1-1,06022023_047,T2,
UP 1-2,06022023_048,T2,
UP 1-3,06022023_049,T2,
UP 1-4,06022023_050,T2,
STD,06022023_051,STD,
SW 2-1,06022023_052,T2,
SW 2-2,06022023_053,T2,
SW 2-3,06022023_054,T2,
SW 2-4,06022023_055,T2,
UP 2-1,06022023_056,T2,
UP 2-2,06022023_057,T2,
UP 2-3,06022023_058,T2,
UP 2-4,06022023_059,T2,
STD,06022023_060,STD,
SW 1-1,06022023_061,T3,
SW 1-2,06022023_062,T3,
SW 1-3,06022023_063,T3,
SW 1-4,06022023_064,T3,
UP 1-1,06022023_065,T3,
UP 1-2,06022023_066,T3,
UP 1-3,06022023_067,T3,
UP 1-4,06022023_068,T3,
STD,06022023_069,STD,
SW 2-1,06022023_070,T3,
SW 2-2,06022023_071,T3,
SW 2-3,06022023_072,T3,
SW 2-4,06022023_073,T3,
UP 2-1,06022023_074,T3,
UP 2-2,06022023_075,T3,
UP 2-3,06022023_076,T3,
UP 2-4,06022023_077,T3,
STD,06022023_078,STD,
SW 1-1,06022023_079,T4,
SW 1-2,06022023_080,T4,
SW 1-3,06022023_081,T4,
SW 1-4,06022023_082,T4,
UP 1-1,06022023_083,T4,
UP 1-2,06022023_084,T4,
UP 1-3,06022023_085,T4,
UP 1-4,06022023_086,T4,
STD,06022023_087,STD,
SW 2-1,06022023_088,T4,
SW 2-2,06022023_089,T4,
SW 2-3,06022023_090,T4,
SW 2-4,06022023_091,T4,
UP 2-1,06022023_092,T4,
UP 2-2,06022023_093,T4,
UP 2-3,06022023_094,T4,
UP 2-4,06022023_095,T4,
