chamber,date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
SW 1-1,230718,SW,1,1,0,0:00:23,0.38
SW 1-1,230718,SW,1,1,1,0:05:21,5.35
SW 1-1,230718,SW,1,1,2,0:10:23,10.38
SW 1-1,230718,SW,1,1,3,0:20:19,20.32
SW 1-1,230718,SW,1,1,4,0:30:22,30.37
SW 1-2,230718,SW,1,2,0,0:00:25,0.42
SW 1-2,230718,SW,1,2,1,0:05:26,5.43
SW 1-2,230718,SW,1,2,2,0:10:26,10.43
SW 1-2,230718,SW,1,2,3,0:20:27,20.45
SW 1-2,230718,SW,1,2,4,0:30:26,30.43
SW 1-3,230718,SW,1,3,0,0:00:23,0.38
SW 1-3,230718,SW,1,3,1,0:05:01,5.02
SW 1-3,230718,SW,1,3,2,0:10:22,10.37
SW 1-3,230718,SW,1,3,3,0:20:17,20.28
SW 1-3,230718,SW,1,3,4,0:30:20,30.33
SW 1-4,230718,SW,1,4,0,0:00:17,0.28
SW 1-4,230718,SW,1,4,1,0:05:14,5.23
SW 1-4,230718,SW,1,4,2,0:10:16,10.27
SW 1-4,230718,SW,1,4,3,0:20:17,20.28
SW 1-4,230718,SW,1,4,4,0:30:13,30.22
SW 2-1,230718,SW,2,1,0,0:00:24,0.4
SW 2-1,230718,SW,2,1,1,0:05:29,5.48
SW 2-1,230718,SW,2,1,2,0:10:02,10.03
SW 2-1,230718,SW,2,1,3,0:20:01,20.02
SW 2-1,230718,SW,2,1,4,0:30:01,30.02
SW 2-2,230718,SW,2,2,0,0:00:24,0.4
SW 2-2,230718,SW,2,2,1,0:05:02,5.03
SW 2-2,230718,SW,2,2,2,0:10:00,10
SW 2-2,230718,SW,2,2,3,0:20:01,20.02
SW 2-2,230718,SW,2,2,4,0:30:02,30.03
SW 2-3,230718,SW,2,3,0,0:00:22,0.37
SW 2-3,230718,SW,2,3,1,0:05:02,5.03
SW 2-3,230718,SW,2,3,2,0:10:02,10.03
SW 2-3,230718,SW,2,3,3,0:20:03,20.05
SW 2-3,230718,SW,2,3,4,0:30:03,30.05
SW 2-4,230718,SW,2,4,0,0:00:27,0.45
SW 2-4,230718,SW,2,4,1,0:05:30,5.5
SW 2-4,230718,SW,2,4,2,0:10:30,10.5
SW 2-4,230718,SW,2,4,3,0:20:32,20.53
SW 2-4,230718,SW,2,4,4,0:30:34,30.57
UP 1-1,230718,UP,1,1,0,0:00:19,0.32
UP 1-1,230718,UP,1,1,1,0:05:15,5.25
UP 1-1,230718,UP,1,1,2,0:10:20,10.33
UP 1-1,230718,UP,1,1,3,0:20:19,20.32
UP 1-1,230718,UP,1,1,4,0:30:18,30.3
UP 1-2,230718,UP,1,2,0,0:00:21,0.35
UP 1-2,230718,UP,1,2,1,0:05:17,5.28
UP 1-2,230718,UP,1,2,2,0:10:19,10.32
UP 1-2,230718,UP,1,2,3,0:20:23,20.38
UP 1-2,230718,UP,1,2,4,0:30:24,30.4
UP 1-3,230718,UP,1,3,0,0:00:18,0.3
UP 1-3,230718,UP,1,3,1,0:05:11,5.18
UP 1-3,230718,UP,1,3,2,0:10:13,10.22
UP 1-3,230718,UP,1,3,3,0:20:11,20.18
UP 1-3,230718,UP,1,3,4,0:30:10,30.17
UP 1-4,230718,UP,1,4,0,0:00:19,0.32
UP 1-4,230718,UP,1,4,1,0:05:19,5.32
UP 1-4,230718,UP,1,4,2,0:10:16,10.27
UP 1-4,230718,UP,1,4,3,0:20:16,20.27
UP 1-4,230718,UP,1,4,4,0:30:12,30.2
UP 2-1,230718,UP,2,1,0,0:00:29,0.48
UP 2-1,230718,UP,2,1,1,0:05:41,5.68
UP 2-1,230718,UP,2,1,2,0:10:02,10.03
UP 2-1,230718,UP,2,1,3,0:20:03,20.05
UP 2-1,230718,UP,2,1,4,0:30:03,30.05
UP 2-2,230718,UP,2,2,0,0:00:14,0.23
UP 2-2,230718,UP,2,2,1,0:05:00,5
UP 2-2,230718,UP,2,2,2,0:10:01,10.02
UP 2-2,230718,UP,2,2,3,0:20:01,20.02
UP 2-2,230718,UP,2,2,4,0:30:02,30.03
UP 2-3,230718,UP,2,3,0,0:00:15,0.25
UP 2-3,230718,UP,2,3,1,0:05:49,5.82
UP 2-3,230718,UP,2,3,2,0:10:49,10.82
UP 2-3,230718,UP,2,3,3,0:20:14,20.23
UP 2-3,230718,UP,2,3,4,0:30:15,30.25
UP 2-4,230718,UP,2,4,0,0:00:16,0.27
UP 2-4,230718,UP,2,4,1,0:05:01,5.02
UP 2-4,230718,UP,2,4,2,0:10:01,10.02
UP 2-4,230718,UP,2,4,3,0:20:01,20.02
UP 2-4,230718,UP,2,4,4,0:30:02,30.03
