CHAMBER,FILENAME,TIMEPOINT,NOTES,GC RUN DATE
STD,08022023_001,STD,,8/29/23
STD,08022023_002,STD,,8/29/23
STD,08022023_003,STD,,8/29/23
STD,08022023_004,STD,,8/29/23
STD,08022023_005,STD,,8/29/23
STD,08022023_006,STD,,8/29/23
SW 1-1,08022023_007,T0,,8/29/23
SW 1-2,08022023_008,T0,,8/29/23
SW 1-3,08022023_009,T0,,8/29/23
SW 1-4,08022023_010,T0,,8/29/23
UP 1-1,08022023_011,T0,,8/29/23
UP 1-2,08022023_012,T0,,8/29/23
UP 1-3,08022023_013,T0,,8/29/23
UP 1-4,08022023_014,T0,,8/29/23
STD,08022023_015,STD,,8/29/23
SW 2-1,08022023_016,T0,,8/29/23
SW 2-2,08022023_017,T0,,8/29/23
SW 2-3,08022023_018,T0,,8/29/23
SW 2-4,08022023_019,T0,,8/29/23
UP 2-1,08022023_020,T0,,8/29/23
UP 2-2,08022023_021,T0,,8/29/23
UP 2-3,08022023_022,T0,,8/29/23
UP 2-4,08022023_023,T0,,8/29/23
STD,08022023_024,STD,,8/29/23
SW 1-1,08022023_025,T1,,8/29/23
SW 1-2,08022023_026,T1,,8/29/23
SW 1-3,08022023_027,T1,,8/29/23
SW 1-4,08022023_028,T1,,8/29/23
UP 1-1,08022023_029,T1,,8/29/23
UP 1-2,08022023_030,T1,,8/29/23
UP 1-3,08022023_031,T1,,8/29/23
UP 1-4,08022023_032,T1,,8/29/23
STD,08022023_033,STD,,8/29/23
SW 2-1,08022023_034,T1,,8/29/23
SW 2-2,08022023_035,T1,,8/29/23
SW 2-3,08022023_036,T1,,8/29/23
SW 2-4,08022023_037,T1,,8/29/23
UP 2-1,08022023_038,T1,,8/29/23
UP 2-2,08022023_039,T1,,8/29/23
UP 2-3,08022023_040,T1,,8/29/23
UP 2-4,08022023_041,T1,,8/29/23
STD,08022023_042,STD,,8/29/23
SW 1-1,08022023_043,T2,,8/29/23
SW 1-2,08022023_044,T2,,8/29/23
SW 1-3,08022023_045,T2,,8/29/23
SW 1-4,08022023_046,T2,,8/29/23
UP 1-1,08022023_047,T2,,8/29/23
UP 1-2,08022023_048,T2,,8/29/23
UP 1-3,08022023_049,T2,,8/29/23
UP 1-4,08022023_050,T2,,8/29/23
STD,08022023_051,STD,,8/29/23
SW 2-1,08022023_052,T2,,8/29/23
SW 2-2,08022023_053,T2,,8/29/23
SW 2-3,08022023_054,T2,,8/29/23
SW 2-4,08022023_055,T2,,8/29/23
UP 2-1,08022023_056,T2,,8/29/23
UP 2-2,08022023_057,T2,,8/29/23
UP 2-3,08022023_058,T2,,8/29/23
UP 2-4,08022023_059,T2,,8/29/23
STD,08022023_060,STD,,8/29/23
SW 1-1,08022023_061,T3,,8/29/23
SW 1-2,08022023_062,T3,,8/29/23
SW 1-3,08022023_063,T3,,8/29/23
SW 1-4,08022023_064,T3,,8/29/23
UP 1-1,08022023_065,T3,,8/29/23
UP 1-2,08022023_066,T3,,8/29/23
UP 1-3,08022023_067,T3,,8/29/23
UP 1-4,08022023_068,T3,,8/29/23
STD,08022023_069,STD,,8/29/23
SW 2-1,08022023_070,T3,,8/29/23
SW 2-2,08022023_071,T3,,8/29/23
SW 2-3,08022023_072,T3,,8/29/23
SW 2-4,08022023_073,T3,,8/29/23
UP 2-1,08022023_074,T3,,8/29/23
UP 2-2,08022023_075,T3,,8/29/23
UP 2-3,08022023_076,T3,,8/29/23
UP 2-4,08022023_077,T3,,8/29/23
STD,08022023_078,STD,,8/29/23
SW 1-1,08022023_079,T4,,8/29/23
SW 1-2,08022023_080,T4,,8/29/23
SW 1-3,08022023_081,T4,,8/29/23
SW 1-4,08022023_082,T4,,8/29/23
UP 1-1,08022023_083,T4,,8/29/23
UP 1-2,08022023_084,T4,,8/29/23
UP 1-3,08022023_085,T4,,8/29/23
UP 1-4,08022023_086,T4,,8/29/23
STD,08022023_087,STD,,8/29/23
SW 2-1,08022023_088,T4,,8/29/23
SW 2-2,08022023_089,T4,,8/29/23
SW 2-3,08022023_090,T4,,8/29/23
SW 2-4,08022023_091,T4,,8/29/23
UP 2-1,08022023_092,T4,,8/29/23
UP 2-2,08022023_093,T4,,8/29/23
UP 2-3,08022023_094,T4,,8/29/23
UP 2-4,08022023_095,T4,,8/29/23
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
