row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,co2_ppm,ch4_ppm,n2o_ppm
7,2023-03-22,0,2023-05-23,032223_007,SW 1-1,NA,NA,4291,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,NA,NA,0.3129473541638449
8,2023-03-22,0,2023-05-23,032223_008,SW 1-3,463909,2253,4287,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,478.08088879159374,2.308116794605065,0.3126556297600567
9,2023-03-22,0,2023-05-23,032223_009,SW 1-4,452787,2401,4316,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,466.6191244258666,2.4597374273620773,0.31477063168752145
10,2023-03-22,0,2023-05-23,032223_010,UP 1-1,468563,2227,4229,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,482.87706316293827,2.281480737499103,0.308425625905127
11,2023-03-22,0,2023-05-23,032223_011,UP 1-2,465965,2227,4259,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,480.1996972375508,2.281480737499103,0.3106135589335389
12,2023-03-22,0,2023-05-23,032223_012,UP 1-3,459513,2233,4275,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,473.55059602484886,2.2876275199081713,0.3117804565486919
13,2023-03-22,0,2023-05-23,032223_013,UP 1-4,463181,2226,4277,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,477.3306492251264,2.2804562737642584,0.311926318750586
15,2023-03-22,0,2023-05-23,032223_015,SW 2-1,468755,2207,4302,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,483.0749285431055,2.2609914628022096,0.3137495962742626
16,2023-03-22,0,2023-05-23,032223_016,SW 2-3,472439,2215,4311,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,486.8714705250636,2.269187172680967,0.31440597618278615
17,2023-03-22,0,2023-05-23,032223_017,SW 2-4,474740,2239,4309,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,489.2427634405049,2.2937743023172392,0.31426011398089204
18,2023-03-22,0,2023-05-23,032223_018,UP 2-1,485628,2195,4323,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,500.4633793741533,2.2486978979840733,0.3152811493941509
19,2023-03-22,0,2023-05-23,032223_019,UP 2-2,490521,2192,4283,968416,9956.42857142857,13711.57142857143,0.621481433974009,1.0069049383497908,1.811367040963376,505.5058549218518,2.245624506779539,0.3123639053562684
