row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height
1,2023-07-06,STD,2023-08-24,07062023_001,STD,952661,9900,12589
2,2023-07-06,STD,2023-08-24,07062023_002,STD,320280,1834,4299
3,2023-07-06,STD,2023-08-24,07062023_003,STD,958963,9946,13362
4,2023-07-06,STD,2023-08-24,07062023_004,STD,939702,9648,12350
5,2023-07-06,STD,2023-08-24,07062023_005,STD,945244,9758,12381
6,2023-07-06,STD,2023-08-24,07062023_006,STD,933192,9597,12258
7,2023-07-06,T0,2023-08-24,07062023_007,SW 1-1,532020,2723,4746
8,2023-07-06,T0,2023-08-24,07062023_008,SW 1-2,612905,2329,4860
9,2023-07-06,T0,2023-08-24,07062023_009,SW 1-3,485158,3237,4828
10,2023-07-06,T0,2023-08-24,07062023_010,SW 1-4,449339,2392,4719
11,2023-07-06,T0,2023-08-24,07062023_011,UP 1-1,546974,2732,5263
12,2023-07-06,T0,2023-08-24,07062023_012,UP 1-2,494553,2669,5261
13,2023-07-06,T0,2023-08-24,07062023_013,UP 1-3,479381,2516,5125
14,2023-07-06,T0,2023-08-24,07062023_014,UP 1-4,850722,2685,5318
15,2023-07-06,STD,2023-08-24,07062023_015,STD,947559,9854,13293
16,2023-07-06,T0,2023-08-24,07062023_016,SW 2-1,520834,2652,4702
17,2023-07-06,T0,2023-08-24,07062023_017,SW 2-2,497004,2677,5398
18,2023-07-06,T0,2023-08-24,07062023_018,SW 2-3,512277,2618,5331
19,2023-07-06,T0,2023-08-24,07062023_019,SW 2-4,543954,2198,4610
20,2023-07-06,T0,2023-08-24,07062023_020,UP 2-1,494590,2490,5169
21,2023-07-06,T0,2023-08-24,07062023_021,UP 2-2,477459,2189,4841
22,2023-07-06,T0,2023-08-24,07062023_022,UP 2-3,536316,2271,4833
23,2023-07-06,T0,2023-08-24,07062023_023,UP 2-4,480421,2501,5097
24,2023-07-06,STD,2023-08-24,07062023_024,STD,936798,9692,13121
25,2023-07-06,T1,2023-08-24,07062023_025,SW 1-1,698195,2594,4697
26,2023-07-06,T1,2023-08-24,07062023_026,SW 1-2,724023,2310,4860
27,2023-07-06,T1,2023-08-24,07062023_027,SW 1-3,712041,3508,5114
28,2023-07-06,T1,2023-08-24,07062023_028,SW 1-4,592475,2674,5058
29,2023-07-06,T1,2023-08-24,07062023_029,UP 1-1,869874,2552,5049
30,2023-07-06,T1,2023-08-24,07062023_030,UP 1-2,819106,2565,5130
31,2023-07-06,T1,2023-08-24,07062023_031,UP 1-3,886105,2580,5131
32,2023-07-06,T1,2023-08-24,07062023_032,UP 1-4,1097475,2700,5331
33,2023-07-06,STD,2023-08-24,07062023_033,STD,952125,9903,13209
34,2023-07-06,T1,2023-08-24,07062023_034,SW 2-1,748958,2152,5964
35,2023-07-06,T1,2023-08-24,07062023_035,SW 2-2,724636,2626,5456
36,2023-07-06,T1,2023-08-24,07062023_036,SW 2-3,689673,2297,4810
37,2023-07-06,T1,2023-08-24,07062023_037,SW 2-4,873564,2558,5098
38,2023-07-06,T1,2023-08-24,07062023_038,UP 2-1,832944,2185,4501
39,2023-07-06,T1,2023-08-24,07062023_039,UP 2-2,792124,2155,4507
40,2023-07-06,T1,2023-08-24,07062023_040,UP 2-3,680868,2265,4478
41,2023-07-06,T1,2023-08-24,07062023_041,UP 2-4,739934,2536,4934
42,2023-07-06,STD,2023-08-24,07062023_042,STD,948718,9922,13177
43,2023-07-06,T2,2023-08-24,07062023_043,SW 1-1,943137,2226,4238
44,2023-07-06,T2,2023-08-24,07062023_044,SW 1-2,979482,2269,4737
45,2023-07-06,T2,2023-08-24,07062023_045,SW 1-3,892831,3111,4692
46,2023-07-06,T2,2023-08-24,07062023_046,SW 1-4,724278,2290,4631
47,2023-07-06,T2,2023-08-24,07062023_047,UP 1-1,1132448,2158,4707
48,2023-07-06,T2,2023-08-24,07062023_048,UP 1-2,1044923,2203,4528
49,2023-07-06,T2,2023-08-24,07062023_049,UP 1-3,1232499,2153,4906
50,2023-07-06,T2,2023-08-24,07062023_050,UP 1-4,1140757,2262,4890
51,2023-07-06,STD,2023-08-24,07062023_051,STD,950221,9868,13325
52,2023-07-06,T2,2023-08-24,07062023_052,SW 2-1,1161626,2208,4751
53,2023-07-06,T2,2023-08-24,07062023_053,SW 2-2,943027,2190,4481
54,2023-07-06,T2,2023-08-24,07062023_054,SW 2-3,923531,2164,4571
55,2023-07-06,T2,2023-08-24,07062023_055,SW 2-4,1132144,2284,4626
56,2023-07-06,T2,2023-08-24,07062023_056,UP 2-1,1027873,2193,4488
57,2023-07-06,T2,2023-08-24,07062023_057,UP 2-2,1006820,2207,4727
58,2023-07-06,T2,2023-08-24,07062023_058,UP 2-3,897698,2231,4648
59,2023-07-06,T2,2023-08-24,07062023_059,UP 2-4,987725,2246,4571
60,2023-07-06,STD,2023-08-24,07062023_060,STD,950986,9923,13137
61,2023-07-06,T3,2023-08-24,07062023_061,SW 1-1,1344144,2186,4359
62,2023-07-06,T3,2023-08-24,07062023_062,SW 1-2,1304353,2299,5021
63,2023-07-06,T3,2023-08-24,07062023_063,SW 1-3,1209870,3159,4690
64,2023-07-06,T3,2023-08-24,07062023_064,SW 1-4,916578,2365,4561
65,2023-07-06,T3,2023-08-24,07062023_065,UP 1-1,1691024,2039,4613
66,2023-07-06,T3,2023-08-24,07062023_066,UP 1-2,1487989,2098,4613
67,2023-07-06,T3,2023-08-24,07062023_067,UP 1-3,1915177,2017,4873
68,2023-07-06,T3,2023-08-24,07062023_068,UP 1-4,1873279,2107,4743
69,2023-07-06,STD,2023-08-24,07062023_069,STD,940914,9942,13204
70,2023-07-06,T3,2023-08-24,07062023_070,SW 2-1,1743320,2177,4279
71,2023-07-06,T3,2023-08-24,07062023_071,SW 2-2,1272204,2130,4902
72,2023-07-06,T3,2023-08-24,07062023_072,SW 2-3,1136166,2137,4814
73,2023-07-06,T3,2023-08-24,07062023_073,SW 2-4,1565469,2202,4443
74,2023-07-06,T3,2023-08-24,07062023_074,UP 2-1,1360078,2140,4571
75,2023-07-06,T3,2023-08-24,07062023_075,UP 2-2,1489990,2212,4664
76,2023-07-06,T3,2023-08-24,07062023_076,UP 2-3,1197509,2200,4729
77,2023-07-06,T3,2023-08-24,07062023_077,UP 2-4,1434859,2336,4646
78,2023-07-06,STD,2023-08-24,07062023_078,STD,950492,9916,13138
79,2023-07-06,T4,2023-08-24,07062023_079,SW 1-1,1669678,2206,4423
80,2023-07-06,T4,2023-08-24,07062023_080,SW 1-2,1511984,2340,5155
81,2023-07-06,T4,2023-08-24,07062023_081,SW 1-3,1337999,2984,4865
82,2023-07-06,T4,2023-08-24,07062023_082,SW 1-4,1123532,2376,4812
83,2023-07-06,T4,2023-08-24,07062023_083,UP 1-1,2230278,2018,5103
84,2023-07-06,T4,2023-08-24,07062023_084,UP 1-2,1961592,2349,5312
85,2023-07-06,T4,2023-08-24,07062023_085,UP 1-3,2521901,2425,5530
86,2023-07-06,T4,2023-08-24,07062023_086,UP 1-4,2214002,2397,5660
87,2023-07-06,STD,2023-08-24,07062023_087,STD,926200,9682,13224
88,2023-07-06,T4,2023-08-24,07062023_088,SW 2-1,2300100,2537,4759
89,2023-07-06,T4,2023-08-24,07062023_089,SW 2-2,1619912,2129,4967
90,2023-07-06,T4,2023-08-24,07062023_090,SW 2-3,1252568,2533,5628
91,2023-07-06,T4,2023-08-24,07062023_091,SW 2-4,2221484,2526,5579
92,2023-07-06,T4,2023-08-24,07062023_092,UP 2-1,1730493,2170,5152
93,2023-07-06,T4,2023-08-24,07062023_093,UP 2-2,1848427,2188,4740
94,2023-07-06,T4,2023-08-24,07062023_094,UP 2-3,1539969,2165,4789
95,2023-07-06,T4,2023-08-24,07062023_095,UP 2-4,1851130,2230,4665
