date,chamber,ecosystem_name,ecosystem_block,rep,temp_start,temp_end,average_temp_kelvin
230818,SW 1-1,SW,1,1,22.7,34.8,301.75
230818,SW 1-2,SW,1,2,22.7,31.3,300
230818,SW 1-3,SW,1,3,22.7,,284.35
230818,SW 1-4,SW,1,4,22.7,,284.35
230818,SW 2-1,SW,2,1,,,273
230818,SW 2-2,SW,2,2,,,273
230818,SW 2-3,SW,2,3,,,273
230818,SW 2-4,SW,2,4,,,273
230818,UP 1-1,UP,1,1,23.33,39.1,304.215
230818,UP 1-2,UP,1,2,23.33,35.8,302.565
230818,UP 1-3,UP,1,3,23.33,37.3,303.315
230818,UP 1-4,UP,1,4,23.33,35.6,302.465
230818,UP 2-1,UP,2,1,23.6,37.1,303.35
230818,UP 2-2,UP,2,2,23.6,38.9,304.25
230818,UP 2-3,UP,2,3,23.6,38.6,304.1
230818,UP 2-4,UP,2,4,23.6,38.1,303.85
