plot,mean_wt_c,year,total_cover,total_richness,change_in_c
I9,8.03,2020,86,13,6.09
B1,6.24,2020,51,11,4.67
H1,5.19,2020,52,14,4.37
G1,7.21,2020,75,16,4.359999999999999
H14,4.42,2020,79,12,3.7
E22,5.08,2020,120,3,3.62
E6,8.54,2020,94,11,3.549999999999999
A19,3.71,2020,111,8,3.46
H10,5.95,2020,116,12,3.45
B20,6.21,2020,160,8,3.42
H11,3.45,2020,145,14,3.35
J9,5.78,2020,123,16,3.1300000000000003
H16,3.85,2020,143,8,3.08
J10,6.56,2020,75,16,3.05
B19,6.41,2020,131,12,2.9000000000000004
I15,3.33,2020,200,9,2.9
I13,3.04,2020,75,9,2.88
J7,8.38,2020,146,9,2.820000000000001
G16,5.91,2020,53,14,2.8000000000000003
H13,2.78,2020,81,10,2.78
I1,5.95,2020,57,7,2.6900000000000004
G15,5.61,2020,155,15,2.6100000000000003
C21,5.91,2020,114,6,2.58
E3,7.87,2020,109,14,2.49
A24,2.44,2020,88,5,2.41
I14,2.87,2020,103,9,2.19
D3,7.93,2020,114,13,2.1499999999999995
I10,6.35,2020,92,16,2.1399999999999997
C1,7.12,2020,66,13,1.9800000000000004
K10,3.94,2020,232,13,1.97
H9,6.5,2020,113,14,1.96
C5,7.01,2020,87,14,1.8599999999999994
B21,3.28,2020,287,6,1.8099999999999998
I6,7.82,2020,99,15,1.7000000000000002
A9,2.77,2020,196,6,1.69
A25,1.67,2020,45,4,1.67
L11,1.99,2020,148,5,1.62
K1,4.04,2020,81,15,1.6099999999999999
B23,2.57,2020,124,10,1.5999999999999999
J11,4.77,2020,178,11,1.5799999999999996
A16,1.84,2020,70,6,1.57
I3,8.82,2020,114,8,1.5500000000000007
L1,2.44,2020,111,5,1.5299999999999998
A22,2.48,2020,60,6,1.52
E1,5.59,2020,56,12,1.5
F16,5.24,2020,98,15,1.4900000000000002
A5,3.04,2020,158,7,1.49
H2,5.38,2020,60,11,1.48
F2,5.79,2020,107,20,1.4699999999999998
H4,4.85,2020,151,10,1.3799999999999994
L10,1.43,2020,49,8,1.3499999999999999
H15,4.04,2020,99,10,1.33
B15,3.39,2020,178,8,1.2000000000000002
A21,2.06,2020,36,6,1.17
B3,5,2020,135,7,1.1600000000000001
E10,5.17,2020,114,16,1.1500000000000004
D17,5,2020,100,1,1.15
D1,5.49,2020,87,13,1.0700000000000003
I5,8.9,2020,132,13,1.0600000000000005
B4,5.83,2020,183,11,1.0600000000000005
F21,5.41,2020,110,3,1.0499999999999998
L12,1.47,2020,15,5,1.04
B13,5.29,2020,126,12,1
A23,3.01,2020,75,6,0.9699999999999998
A20,1.91,2020,107,6,0.96
A4,3.48,2020,194,7,0.9500000000000002
J2,4.33,2020,98,16,0.94
D6,5.99,2020,90,14,0.9199999999999999
D2,7.16,2020,101,18,0.9100000000000001
H5,6.48,2020,85,12,0.9100000000000001
H3,5.05,2020,88,15,0.9100000000000001
G2,6.23,2020,126,18,0.8900000000000006
C15,4.87,2020,126,14,0.8799999999999999
B8,4.32,2020,106,10,0.8600000000000003
I7,6.65,2020,100,12,0.8200000000000003
A11,2.88,2020,34,4,0.8199999999999998
F6,5.8,2020,88,6,0.79
B24,2.54,2020,204,5,0.77
L13,0.75,2020,20,2,0.73
E19,3.65,2020,85,2,0.7199999999999998
E15,4.53,2020,118,15,0.7100000000000004
C3,5.32,2020,120,17,0.71
F1,3.91,2020,77,14,0.6500000000000004
J12,1.68,2020,25,7,0.6499999999999999
F3,6.89,2020,116,13,0.6499999999999995
A14,2,2020,33,5,0.6299999999999999
H7,5.59,2020,104,16,0.5599999999999996
D7,5.11,2020,131,15,0.5
E5,3.87,2020,60,13,0.4900000000000002
D15,5.22,2020,130,12,0.45999999999999996
F12,3.54,2020,59,8,0.41999999999999993
F19,4.31,2020,80,4,0.4099999999999997
A10,1.15,2020,86,6,0.3899999999999999
C22,5.5,2020,50,7,0.3700000000000001
K9,3.62,2020,128,11,0.3600000000000003
G11,3.32,2020,57,8,0.33999999999999986
F4,7.35,2020,126,11,0.3099999999999996
G14,4.81,2020,170,15,0.29000000000000004
G5,8.53,2020,175,13,0.27999999999999936
H12,2.26,2020,91,12,0.23999999999999977
A8,0.98,2020,41,4,0.21999999999999997
