plot,mean_wt_c,year
B10,5.454545454545454,1979
B10,5.2924528301886795,1980
B10,5.051020408163265,1981
B10,5.48,1982
B10,5.21875,1984
B10,5.246031746031746,1987
B10,4.616161616161616,1995
B10,5.701754385964913,2005
B10,3.7837837837837838,2020
B11,3.888888888888889,1979
B11,4.1610738255033555,1980
B11,4.2592592592592595,1981
B11,3.9495798319327733,1982
B11,3.460122699386503,1984
B11,4.448979591836735,1987
B11,4.628571428571429,1995
B11,4.440677966101695,2005
B11,3.411214953271028,2020
B12,4.979381443298969,1979
B12,4.686440677966102,1980
B12,4.198412698412699,1981
B12,5.101010101010101,1982
B12,4.294871794871795,1984
B12,4.52054794520548,1987
B12,4.987421383647798,1995
B12,3.9646017699115044,2005
B12,4.320388349514563,2020
B13,4.285714285714286,1979
B13,4.046357615894039,1980
B13,4.188679245283019,1981
B13,4.614035087719298,1982
B13,5.2770562770562774,1984
B13,6.221818181818182,1987
B13,4.453237410071942,2005
B13,5.2936507936507935,2020
B14,3.7857142857142856,1979
B14,4.328467153284672,1980
B14,4.323741007194244,1981
B14,3.026666666666667,1982
B14,5.212903225806452,1984
B14,4.779342723004695,1987
B14,3.3532934131736525,1995
B14,3.383419689119171,2005
B14,1.9940119760479043,2020
B15,2.1894736842105265,1979
B15,2.1794871794871793,1980
B15,3.4363636363636365,1981
B15,3.918918918918919,1982
B15,3.4879227053140096,1984
B15,5.236641221374046,1987
B15,4.609375,1995
B15,4.771929824561403,2005
B15,3.3876404494382024,2020
B16,5.306930693069307,1979
B16,5.061538461538461,1980
B16,5.162162162162162,1981
B16,5.37984496124031,1982
B16,4.235576923076923,1984
B16,5.603448275862069,1987
B16,4.755395683453237,1995
B16,4.313559322033898,2005
B16,4.327586206896552,2020
B17,4.707964601769912,1979
B17,4.522935779816514,1980
B17,4.531468531468532,1981
B17,4.160714285714286,1982
B17,3.3547008547008548,1984
B17,4.844748858447488,1987
B17,5.465909090909091,1995
B17,4.385714285714286,2005
B17,3.221105527638191,2020
B18,3.5058823529411764,1979
B18,3.9740259740259742,1980
B18,4.1208791208791204,1981
B18,3.4693877551020407,1982
B18,3.4318181818181817,1984
