genus,species,percent_cover,plot,native,richness,year,c_value
elymus,repens,20,A1,0,1,1979,0
ambrosia,trifida,1,A1,1,1,1979,0
symphyotrichum,ericoides,3,A1,1,1,1979,6
daucus,carota,8,A1,0,1,1979,0
melilotus,officinalis,2,A1,0,1,1979,0
oxalis,stricta,8,A1,1,1,1979,0
poa,compressa,10,A1,0,1,1979,0
poa,pratensis,5,A1,0,1,1979,0
ratibida,pinnata,5,A1,1,1,1979,4
rhamnus,cathartica,10,A1,0,1,1979,0
rosa,carolina,8,A1,1,1,1979,5
solidago,rigida,3,A1,1,1,1979,3
taraxacum,officinale,4,A1,0,1,1979,0
tragopogon,sp.,1,A1,0,1,1979,0
elymus,repens,2,B1,0,1,1979,0
ambrosia,artemisiifolia,3,B1,1,1,1979,0
ambrosia,trifida,15,B1,1,1,1979,0
symphyotrichum,ericoides,3,B1,1,1,1979,6
symphyotrichum,laeve,4,B1,1,1,1979,9
convolvulus,arvensis,2,B1,0,1,1979,0
daucus,carota,5,B1,0,1,1979,0
schedonorus,arundinaceus,2,B1,0,1,1979,0
fragaria,virginiana,8,B1,1,1,1979,0
lithospermum,canescens,1,B1,1,1,1979,8
melilotus,officinalis,3,B1,0,1,1979,0
poa,compressa,15,B1,0,1,1979,0
poa,pratensis,10,B1,0,1,1979,0
ratibida,pinnata,8,B1,1,1,1979,4
scutellaria,parvula,1,B1,1,1,1979,7
solidago,rigida,15,B1,1,1,1979,3
heserostipa,spartea,2,B1,1,1,1979,8
taraxacum,officinale,4,B1,0,1,1979,0
trifolium,repens,2,B1,0,1,1979,0
viola,sororia,2,B1,1,1,1979,3
ambrosia,artemisiifolia,1,C1,1,1,1979,0
symphyotrichum,ericoides,8,C1,1,1,1979,6
symphyotrichum,laeve,3,C1,1,1,1979,9
coreopsis,palmata,1,C1,1,1,1979,10
daucus,carota,2,C1,0,1,1979,0
liatris,sp.,1,C1,1,1,1979,7
poa,compressa,1,C1,0,1,1979,0
ratibida,pinnata,8,C1,1,1,1979,4
silphium,laciniatum,2,C1,1,1,1979,5
solidago,rigida,22,C1,1,1,1979,3
heserostipa,spartea,20,C1,1,1,1979,8
trifolium,repens,1,C1,0,1,1979,0
acer,negundo,1,D1,1,1,1979,0
allium,cernuum,3,D1,1,1,1979,7
ambrosia,artemisiifolia,1,D1,1,1,1979,0
andropogon,gerardii,8,D1,1,1,1979,5
asclepias,verticillata,1,D1,1,1,1979,1
symphyotrichum,ericoides,4,D1,1,1,1979,6
symphyotrichum,laeve,10,D1,1,1,1979,9
convolvulus,arvensis,2,D1,0,1,1979,0
daucus,carota,1,D1,0,1,1979,0
melilotus,officinalis,1,D1,0,1,1979,0
plantago,major,1,D1,0,1,1979,0
poa,compressa,3,D1,0,1,1979,0
poa,pratensis,8,D1,0,1,1979,0
ratibida,pinnata,15,D1,1,1,1979,4
rosa,carolina,5,D1,1,1,1979,5
silphium,terebinthinaceum,8,D1,1,1,1979,5
solidago,rigida,8,D1,1,1,1979,3
heserostipa,spartea,8,D1,1,1,1979,8
elymus,repens,3,E1,0,1,1979,0
allium,cernuum,4,E1,1,1,1979,7
symphyotrichum,ericoides,3,E1,1,1,1979,6
symphyotrichum,laeve,4,E1,1,1,1979,9
comandra,umbellata,5,E1,1,1,1979,9
dichanthelium,leibergii,1,E1,1,1,1979,10
dalea,purpurea,3,E1,1,1,1979,9
phlox,pilosa ssp. fulgida,1,E1,1,1,1979,8
poa,compressa,8,E1,0,1,1979,0
poa,pratensis,5,E1,0,1,1979,0
solidago,rigida,15,E1,1,1,1979,3
trifolium,repens,1,E1,0,1,1979,0
viola,sororia,2,E1,1,1,1979,3
zizia,aurea,2,E1,1,1,1979,5
elymus,repens,25,F1,0,1,1979,0
allium,canadense,2,F1,1,1,1979,3
allium,cernuum,2,F1,1,1,1979,7
ambrosia,artemisiifolia,4,F1,1,1,1979,0
symphyotrichum,ericoides,4,F1,1,1,1979,6
symphyotrichum,laeve,12,F1,1,1,1979,9
cirsium,discolor,2,F1,1,1,1979,3
comandra,umbellata,6,F1,1,1,1979,9
calystegia,sepium,2,F1,1,1,1979,1
daucus,carota,4,F1,0,1,1979,0
eryngium,yuccifolium,2,F1,1,1,1979,9
fragaria,virginiana,25,F1,1,1,1979,0
dichanthelium,acuminatum,2,F1,1,1,1979,4
dichanthelium,leibergii,2,F1,1,1,1979,10
poa,compressa,2,F1,0,1,1979,0
poa,pratensis,8,F1,0,1,1979,0
ratibida,pinnata,12,F1,1,1,1979,4
rosa,carolina,30,F1,1,1,1979,5
solidago,rigida,15,F1,1,1,1979,3
spartina,pectinata,4,F1,1,1,1979,4
heserostipa,spartea,4,F1,1,1,1979,8
viola,sororia,3,F1,1,1,1979,3
elymus,repens,6,G1,0,1,1979,0
ambrosia,artemisiifolia,2,G1,1,1,1979,0
andropogon,gerardii,5,G1,1,1,1979,5
symphyotrichum,ericoides,2,G1,1,1,1979,6
symphyotrichum,laeve,1,G1,1,1,1979,9
cirsium,discolor,1,G1,1,1,1979,3
comandra,umbellata,2,G1,1,1,1979,9
calystegia,sepium,2,G1,1,1,1979,1
daucus,carota,2,G1,0,1,1979,0
melilotus,officinalis,1,G1,0,1,1979,0
panicum,virgatum,2,G1,1,1,1979,3
phlox,pilosa ssp. fulgida,3,G1,1,1,1979,8
poa,compressa,3,G1,0,1,1979,0
poa,pratensis,1,G1,0,1,1979,0
ratibida,pinnata,1,G1,1,1,1979,4
sisyrinchium,albidum,1,G1,1,1,1979,6
solidago,canadensis,3,G1,1,1,1979,1
solidago,rigida,30,G1,1,1,1979,3
taraxacum,officinale,3,G1,0,1,1979,0
agropyron,sp.,4,H1,0,1,1979,0
agrostis,gigantea,55,H1,0,1,1979,0
ambrosia,artemisiifolia,1,H1,1,1,1979,0
andropogon,gerardii,4,H1,1,1,1979,5
hordeum,jubatum,2,H1,0,1,1979,0
koeleria,macrantha,1,H1,1,1,1979,8
poa,compressa,4,H1,0,1,1979,0
ratibida,pinnata,4,H1,1,1,1979,4
rumex,crispus,3,H1,0,1,1979,0
scirpus,pendulus,1,H1,1,1,1979,2
spartina,pectinata,6,H1,1,1,1979,4
elymus,repens,3,I1,0,1,1979,0
allium,canadense,2,I1,1,1,1979,3
ambrosia,artemisiifolia,4,I1,1,1,1979,0
apocynum,cannabinum,10,I1,1,1,1979,2
symphyotrichum,ericoides,45,I1,1,1,1979,6
symphyotrichum,laeve,1,I1,1,1,1979,9
symphyotrichum,novae-angliae,8,I1,1,1,1979,3
carex,sp.,8,I1,1,1,1979,7
daucus,carota,2,I1,0,1,1979,0
equisetum,arvense,1,I1,1,1,1979,0
fragaria,virginiana,30,I1,1,1,1979,0
helianthus,grosseserratus,2,I1,1,1,1979,4
melilotus,officinalis,1,I1,0,1,1979,0
panicum,virgatum,1,I1,1,1,1979,3
poa,compressa,2,I1,0,1,1979,0
poa,pratensis,3,I1,0,1,1979,0
pycnanthemum,virginianum,3,I1,1,1,1979,5
silphium,laciniatum,8,I1,1,1,1979,5
silphium,terebinthinaceum,4,I1,1,1,1979,5
solidago,canadensis,10,I1,1,1,1979,1
ulmus,rubra,3,I1,1,1,1979,4
andropogon,gerardii,8,J1,1,1,1979,5
apocynum,cannabinum,6,J1,1,1,1979,2
symphyotrichum,ericoides,3,J1,1,1,1979,6
calamagrostis,canadensis,3,J1,1,1,1979,6
carex,sp.,9,J1,1,1,1979,7
juncus,balticus ssp. littoralis,3,J1,1,1,1979,2
silphium,laciniatum,3,J1,1,1,1979,5
solidago,canadensis,60,J1,1,1,1979,1
elymus,repens,1,K1,0,1,1979,0
agrostis,gigantea,10,K1,0,1,1979,0
ambrosia,artemisiifolia,8,K1,1,1,1979,0
symphyotrichum,ericoides,6,K1,1,1,1979,6
symphyotrichum,novae-angliae,10,K1,1,1,1979,3
bidens,frondosa,20,K1,1,1,1979,1
carex,sp.,2,K1,1,1,1979,7
eleocharis,palustris,2,K1,1,1,1979,1
geum,canadense,3,K1,1,1,1979,1
helianthus,grosseserratus,3,K1,1,1,1979,4
lycopus,americanus,3,K1,1,1,1979,4
lythrum,salicaria,3,K1,0,1,1979,0
panicum,virgatum,4,K1,1,1,1979,3
poa,pratensis,4,K1,0,1,1979,0
silphium,laciniatum,20,K1,1,1,1979,5
elymus,repens,25,L1,0,1,1979,0
ambrosia,artemisiifolia,3,L1,1,1,1979,0
apocynum,cannabinum,6,L1,1,1,1979,2
bidens,frondosa,3,L1,1,1,1979,1
calystegia,sepium,4,L1,1,1,1979,1
equisetum,arvense,8,L1,1,1,1979,0
helianthus,grosseserratus,10,L1,1,1,1979,4
lactuca,canadensis,1,L1,1,1,1979,1
poa,pratensis,2,L1,0,1,1979,0
solanum,dulcamara,1,L1,0,1,1979,0
sonchus,arvensis,1,L1,0,1,1979,0
taraxacum,officinale,2,L1,0,1,1979,0
elymus,repens,20,A2,0,1,1979,0
allium,canadense,2,A2,1,1,1979,3
ambrosia,trifida,3,A2,1,1,1979,0
symphyotrichum,ericoides,2,A2,1,1,1979,6
calamagrostis,canadensis,1,A2,1,1,1979,6
convolvulus,arvensis,1,A2,0,1,1979,0
calystegia,sepium,3,A2,1,1,1979,1
daucus,carota,6,A2,0,1,1979,0
poa,pratensis,20,A2,0,1,1979,0
rosa,carolina,45,A2,1,1,1979,5
trifolium,repens,1,A2,0,1,1979,0
allium,cernuum,2,B2,1,1,1979,7
symphyotrichum,laeve,4,B2,1,1,1979,9
comandra,umbellata,13,B2,1,1,1979,9
convolvulus,arvensis,1,B2,0,1,1979,0
coreopsis,palmata,18,B2,1,1,1979,10
helianthus,grosseserratus,30,B2,1,1,1979,4
dalea,purpurea,1,B2,1,1,1979,9
poa,compressa,8,B2,0,1,1979,0
ratibida,pinnata,10,B2,1,1,1979,4
rosa,carolina,5,B2,1,1,1979,5
silphium,laciniatum,2,B2,1,1,1979,5
sisyrinchium,albidum,1,B2,1,1,1979,6
solidago,rigida,5,B2,1,1,1979,3
heserostipa,spartea,8,B2,1,1,1979,8
taraxacum,officinale,1,B2,0,1,1979,0
zizia,aurea,2,B2,1,1,1979,5
allium,canadense,1,C2,1,1,1979,3
ambrosia,artemisiifolia,1,C2,1,1,1979,0
symphyotrichum,laeve,3,C2,1,1,1979,9
symphyotrichum,pilosum,1,C2,1,1,1979,0
comandra,umbellata,8,C2,1,1,1979,9
coreopsis,palmata,6,C2,1,1,1979,10
daucus,carota,3,C2,0,1,1979,0
eryngium,yuccifolium,18,C2,1,1,1979,9
ratibida,pinnata,15,C2,1,1,1979,4
scutellaria,parvula,1,C2,1,1,1979,7
silphium,laciniatum,2,C2,1,1,1979,5
solidago,rigida,12,C2,1,1,1979,3
heserostipa,spartea,4,C2,1,1,1979,8
allium,canadense,1,D2,1,1,1979,3
symphyotrichum,ericoides,1,D2,1,1,1979,6
symphyotrichum,laeve,16,D2,1,1,1979,9
comandra,umbellata,6,D2,1,1,1979,9
coreopsis,palmata,2,D2,1,1,1979,10
eryngium,yuccifolium,2,D2,1,1,1979,9
liatris,sp.,6,D2,1,1,1979,7
dichanthelium,leibergii,5,D2,1,1,1979,10
ratibida,pinnata,18,D2,1,1,1979,4
rosa,carolina,10,D2,1,1,1979,5
silphium,terebinthinaceum,3,D2,1,1,1979,5
solidago,rigida,10,D2,1,1,1979,3
heserostipa,spartea,5,D2,1,1,1979,8
ulmus,rubra,3,D2,1,1,1979,4
zizia,aurea,5,D2,1,1,1979,5
allium,canadense,1,E2,1,1,1979,3
allium,cernuum,4,E2,1,1,1979,7
ambrosia,artemisiifolia,1,E2,1,1,1979,0
symphyotrichum,laeve,5,E2,1,1,1979,9
comandra,umbellata,5,E2,1,1,1979,9
coreopsis,palmata,4,E2,1,1,1979,10
eryngium,yuccifolium,4,E2,1,1,1979,9
liatris,sp.,1,E2,1,1,1979,7
dichanthelium,leibergii,20,E2,1,1,1979,10
phlox,pilosa ssp. fulgida,3,E2,1,1,1979,8
poa,compressa,5,E2,0,1,1979,0
ratibida,pinnata,5,E2,1,1,1979,4
scutellaria,parvula,1,E2,1,1,1979,7
maianthemum,stellatum,2,E2,1,1,1979,5
heserostipa,spartea,6,E2,1,1,1979,8
zizia,aurea,15,E2,1,1,1979,5
