genus,species,native,n,fraction,year,plot
rosa,carolina,1,169,0.765,1995,NA
rosa,carolina,1,167,0.69,2005,NA
rosa,carolina,1,148,0.67,1987,NA
rosa,carolina,1,147,0.662,1984,NA
carex,pellita,1,146,0.661,1995,NA
fragaria,virginiana,1,133,0.599,1984,NA
fragaria,virginiana,1,132,0.597,1987,NA
carex,pellita,1,143,0.591,2005,NA
comandra,umbellata,1,124,0.561,1995,NA
rosa,carolina,1,117,0.527,1980,NA
rosa,carolina,1,117,0.527,1982,NA
rosa,carolina,1,116,0.525,1981,NA
fragaria,virginiana,1,115,0.52,1981,NA
fragaria,virginiana,1,115,0.518,1982,NA
fragaria,virginiana,1,111,0.5,1980,NA
rosa,carolina,1,110,0.495,1979,NA
fragaria,virginiana,1,109,0.491,1979,NA
fragaria,virginiana,1,107,0.484,1995,NA
allium,cernuum,1,103,0.466,1987,NA
comandra,umbellata,1,103,0.466,1987,NA
silphium,terebinthinaceum,1,102,0.462,1995,NA
comandra,umbellata,1,101,0.455,1984,NA
comandra,umbellata,1,107,0.442,2005,NA
ratibida,pinnata,1,95,0.43,1987,NA
allium,cernuum,1,95,0.428,1982,NA
comandra,umbellata,1,95,0.428,1982,NA
comandra,umbellata,1,94,0.425,1981,NA
allium,cernuum,1,91,0.412,1981,NA
ratibida,pinnata,1,91,0.412,1981,NA
carex,sp.,1,90,0.407,1987,NA
silphium,terebinthinaceum,1,90,0.407,1987,NA
comandra,umbellata,1,90,0.405,1980,NA
solidago,rigida,1,89,0.403,1981,NA
eryngium,yuccifolium,1,89,0.403,1987,NA
eryngium,yuccifolium,1,89,0.403,1995,NA
ratibida,pinnata,1,88,0.396,1980,NA
solidago,rigida,1,88,0.396,1984,NA
solidago,rigida,1,87,0.392,1982,NA
symphyotrichum,laeve,1,86,0.389,1981,NA
carex,sp.,1,85,0.385,1981,NA
comandra,umbellata,1,85,0.383,1979,NA
ratibida,pinnata,1,85,0.383,1982,NA
solidago,rigida,1,84,0.378,1979,NA
symphyotrichum,laeve,1,84,0.378,1980,NA
solidago,rigida,1,83,0.376,1987,NA
symphyotrichum,laeve,1,83,0.374,1982,NA
allium,cernuum,1,82,0.369,1979,NA
solidago,rigida,1,82,0.369,1980,NA
solidago,canadensis,1,81,0.367,1987,NA
erigeron,strigosus,1,81,0.365,1982,NA
silphium,terebinthinaceum,1,80,0.362,1981,NA
zizia,aurea,1,80,0.362,1987,NA
carex,sp.,1,80,0.36,1980,NA
dichanthelium,leibergii,1,79,0.357,1981,NA
allium,cernuum,1,79,0.357,1995,NA
symphyotrichum,ericoides,1,79,0.356,1982,NA
symphyotrichum,laeve,1,78,0.351,1979,NA
allium,cernuum,1,78,0.351,1980,NA
silphium,terebinthinaceum,1,78,0.351,1982,NA
zizia,aurea,1,78,0.351,1982,NA
ratibida,pinnata,1,77,0.347,1979,NA
dichanthelium,leibergii,1,77,0.347,1980,NA
silphium,terebinthinaceum,1,77,0.347,1980,NA
carex,sp.,1,77,0.347,1982,NA
dichanthelium,leibergii,1,77,0.347,1982,NA
dichanthelium,leibergii,1,76,0.344,1987,NA
symphyotrichum,laeve,1,75,0.339,1995,NA
fragaria,virginiana,1,82,0.339,2005,NA
solidago,canadensis,1,75,0.338,1984,NA
symphyotrichum,ericoides,1,74,0.335,1981,NA
dichanthelium,leibergii,1,73,0.329,1979,NA
silphium,terebinthinaceum,1,73,0.329,1979,NA
erigeron,strigosus,1,72,0.326,1981,NA
erigeron,strigosus,1,72,0.324,1980,NA
silphium,terebinthinaceum,1,72,0.324,1984,NA
zizia,aurea,1,71,0.32,1984,NA
tradescantia,ohiensis,1,70,0.317,1995,NA
zizia,aurea,1,69,0.312,1981,NA
symphyotrichum,laeve,1,69,0.312,1987,NA
eryngium,yuccifolium,1,69,0.311,1982,NA
eryngium,yuccifolium,1,67,0.303,1981,NA
dichanthelium,leibergii,1,67,0.303,1995,NA
carex,sp.,1,67,0.302,1979,NA
solidago,canadensis,1,67,0.302,1982,NA
eryngium,yuccifolium,1,66,0.297,1980,NA
zizia,aurea,1,66,0.297,1980,NA
eryngium,yuccifolium,1,65,0.293,1979,NA
symphyotrichum,ericoides,1,65,0.293,1979,NA
symphyotrichum,ericoides,1,65,0.293,1980,NA
coreopsis,palmata,1,65,0.293,1984,NA
eryngium,yuccifolium,1,71,0.293,2005,NA
coreopsis,palmata,1,64,0.29,1995,NA
ratibida,pinnata,1,64,0.288,1984,NA
tradescantia,ohiensis,1,63,0.285,1987,NA
poa,pratensis,0,63,0.285,1995,NA
dichanthelium,leibergii,1,68,0.281,2005,NA
silphium,terebinthinaceum,1,68,0.281,2005,NA
solidago,canadensis,1,61,0.276,1981,NA
helianthus,grosseserratus,1,61,0.276,1987,NA
coreopsis,palmata,1,61,0.275,1982,NA
coreopsis,palmata,1,60,0.271,1981,NA
andropogon,gerardii,1,60,0.271,1987,NA
viola,sororia,1,60,0.271,1995,NA
dichanthelium,leibergii,1,60,0.27,1984,NA
zizia,aurea,1,59,0.266,1979,NA
coreopsis,palmata,1,59,0.266,1980,NA
tradescantia,ohiensis,1,59,0.266,1982,NA
tradescantia,ohiensis,1,58,0.262,1981,NA
ratibida,pinnata,1,58,0.262,1995,NA
solidago,rigida,1,58,0.262,1995,NA
daucus,carota,0,58,0.261,1982,NA
coreopsis,palmata,1,57,0.258,1987,NA
poa,pratensis,0,57,0.257,1982,NA
daucus,carota,0,56,0.253,1981,NA
pycnanthemum,virginianum,1,56,0.253,1987,NA
apocynum,cannabinum,1,56,0.253,1995,NA
maianthemum,stellatum,1,56,0.253,1995,NA
coreopsis,palmata,1,56,0.252,1979,NA
allium,canadense,1,56,0.252,1982,NA
allium,cernuum,1,56,0.252,1984,NA
allium,canadense,1,55,0.249,1981,NA
poa,pratensis,0,55,0.249,1981,NA
daucus,carota,0,55,0.248,1980,NA
solidago,canadensis,1,55,0.248,1980,NA
equisetum,arvense,1,55,0.248,1982,NA
symphyotrichum,laeve,1,55,0.248,1984,NA
ratibida,pinnata,1,60,0.248,2005,NA
solidago,canadensis,1,60,0.248,2005,NA
equisetum,arvense,1,54,0.244,1987,NA
allium,cernuum,1,59,0.244,2005,NA
coreopsis,palmata,1,59,0.244,2005,NA
poa,pratensis,0,59,0.244,2005,NA
maianthemum,stellatum,1,54,0.243,1982,NA
tradescantia,ohiensis,1,54,0.243,1984,NA
ambrosia,artemisiifolia,1,53,0.24,1981,NA
poa,pratensis,0,53,0.24,1987,NA
symphyotrichum,ericoides,1,53,0.24,1987,NA
silphium,laciniatum,1,53,0.24,1995,NA
erigeron,strigosus,1,53,0.239,1979,NA
silphium,laciniatum,1,57,0.236,2005,NA
pycnanthemum,virginianum,1,52,0.235,1981,NA
pycnanthemum,virginianum,1,52,0.235,1995,NA
poa,pratensis,0,52,0.234,1979,NA
maianthemum,stellatum,1,52,0.234,1980,NA
equisetum,arvense,1,51,0.231,1981,NA
maianthemum,stellatum,1,51,0.231,1981,NA
achillea,millefolium,1,51,0.231,1995,NA
liatris,aspera,1,51,0.231,1995,NA
