genus,species,native,n,fraction,year,plot,change_species_freq,mean_native_species_freq
acalypha,rhomboidea,1,1,0.005,1995,NA,NA,NA
acer,negundo,1,5,0.023,1979,NA,NA,-0.004
acer,negundo,1,4,0.018,1980,NA,-0.005000000000000001,-0.004
acer,negundo,1,7,0.032,1981,NA,0.014000000000000002,-0.004
acer,negundo,1,4,0.018,1982,NA,-0.014000000000000002,-0.004
acer,negundo,1,2,0.009,1984,NA,-0.009,-0.004
acer,saccharinum,1,1,0.005,1979,NA,NA,0.001
acer,saccharinum,1,3,0.014,1980,NA,0.009000000000000001,0.001
acer,saccharinum,1,3,0.014,1981,NA,0,0.001
acer,saccharinum,1,2,0.009,1982,NA,-0.005000000000000001,0.001
acer,saccharinum,1,2,0.009,1987,NA,0,0.001
acer,saccharinum,1,2,0.009,1995,NA,0,0.001
achillea,millefolium,1,20,0.09,1979,NA,NA,0.008
achillea,millefolium,1,25,0.113,1980,NA,0.023000000000000007,0.008
achillea,millefolium,1,26,0.118,1981,NA,0.0049999999999999906,0.008
achillea,millefolium,1,32,0.144,1982,NA,0.025999999999999995,0.008
achillea,millefolium,1,36,0.162,1984,NA,0.018000000000000016,0.008
achillea,millefolium,1,42,0.19,1987,NA,0.027999999999999997,0.008
achillea,millefolium,1,51,0.231,1995,NA,0.04100000000000001,0.008
achillea,millefolium,1,35,0.145,2005,NA,-0.08600000000000002,0.008
allium,canadense,1,47,0.212,1979,NA,NA,-0.03
allium,canadense,1,42,0.189,1980,NA,-0.022999999999999993,-0.03
allium,canadense,1,55,0.249,1981,NA,0.06,-0.03
allium,canadense,1,56,0.252,1982,NA,0.0030000000000000027,-0.03
allium,canadense,1,26,0.117,1984,NA,-0.135,-0.03
allium,canadense,1,34,0.154,1987,NA,0.03699999999999999,-0.03
allium,canadense,1,32,0.145,1995,NA,-0.009000000000000008,-0.03
allium,canadense,1,1,0.004,2005,NA,-0.141,-0.03
allium,cernuum,1,82,0.369,1979,NA,NA,-0.018
allium,cernuum,1,78,0.351,1980,NA,-0.018000000000000016,-0.018
allium,cernuum,1,91,0.412,1981,NA,0.061,-0.018
allium,cernuum,1,95,0.428,1982,NA,0.016000000000000014,-0.018
allium,cernuum,1,56,0.252,1984,NA,-0.176,-0.018
allium,cernuum,1,103,0.466,1987,NA,0.21400000000000002,-0.018
allium,cernuum,1,79,0.357,1995,NA,-0.10900000000000004,-0.018
allium,cernuum,1,59,0.244,2005,NA,-0.11299999999999999,-0.018
ambrosia,artemisiifolia,1,49,0.221,1979,NA,NA,-0.025
ambrosia,artemisiifolia,1,50,0.225,1980,NA,0.0040000000000000036,-0.025
ambrosia,artemisiifolia,1,53,0.24,1981,NA,0.014999999999999986,-0.025
ambrosia,artemisiifolia,1,47,0.212,1982,NA,-0.027999999999999997,-0.025
ambrosia,artemisiifolia,1,19,0.086,1984,NA,-0.126,-0.025
