genus,species,native,n,fraction,year,plot,change_species_freq,mean_nonnative_species_freq
agropyron,sp.,0,4,0.018,1979,NA,NA,-0.001
agropyron,sp.,0,4,0.018,1980,NA,0,-0.001
agropyron,sp.,0,5,0.023,1981,NA,0.005000000000000001,-0.001
agropyron,sp.,0,3,0.014,1982,NA,-0.009,-0.001
agrostis,gigantea,0,9,0.041,1979,NA,NA,-0.005
agrostis,gigantea,0,11,0.05,1980,NA,0.009000000000000001,-0.005
agrostis,gigantea,0,20,0.09,1981,NA,0.039999999999999994,-0.005
agrostis,gigantea,0,15,0.068,1982,NA,-0.021999999999999992,-0.005
agrostis,gigantea,0,9,0.041,1984,NA,-0.027000000000000003,-0.005
agrostis,gigantea,0,8,0.036,1987,NA,-0.0050000000000000044,-0.005
agrostis,gigantea,0,2,0.009,1995,NA,-0.026999999999999996,-0.005
alliaria,petiolata,0,1,0.005,1995,NA,NA,0.045
alliaria,petiolata,0,12,0.05,2005,NA,0.045000000000000005,0.045
atriplex,patula,0,12,0.05,2005,NA,NA,NA
barbarea,vulgaris,0,3,0.014,1995,NA,NA,NA
bromus,inermis,0,1,0.005,1987,NA,NA,NA
chenopodium,album,0,3,0.014,1979,NA,NA,0
chenopodium,album,0,3,0.014,1980,NA,0,0
chenopodium,album,0,5,0.023,1981,NA,0.009,0
chenopodium,album,0,8,0.036,1982,NA,0.012999999999999998,0
chenopodium,album,0,4,0.018,1984,NA,-0.018,0
chenopodium,album,0,8,0.036,1987,NA,0.018,0
chenopodium,album,0,4,0.018,1995,NA,-0.018,0
chenopodium,album,0,4,0.017,2005,NA,-9.999999999999974e-4,0
cichorium,intybus,0,1,0.005,1982,NA,NA,NA
cirsium,arvense,0,1,0.005,1987,NA,NA,0.006
cirsium,arvense,0,5,0.023,1995,NA,0.018,0.006
cirsium,arvense,0,4,0.017,2005,NA,-0.005999999999999998,0.006
cirsium,vulgare,0,8,0.036,1979,NA,NA,-0.006
cirsium,vulgare,0,8,0.036,1980,NA,0,-0.006
cirsium,vulgare,0,7,0.032,1981,NA,-0.003999999999999997,-0.006
cirsium,vulgare,0,8,0.036,1982,NA,0.003999999999999997,-0.006
cirsium,vulgare,0,7,0.032,1984,NA,-0.003999999999999997,-0.006
cirsium,vulgare,0,1,0.005,1987,NA,-0.027,-0.006
convolvulus,arvensis,0,10,0.045,1979,NA,NA,-0.005
convolvulus,arvensis,0,8,0.036,1980,NA,-0.009000000000000001,-0.005
convolvulus,arvensis,0,9,0.041,1981,NA,0.0050000000000000044,-0.005
convolvulus,arvensis,0,8,0.036,1982,NA,-0.0050000000000000044,-0.005
convolvulus,arvensis,0,9,0.041,1984,NA,0.0050000000000000044,-0.005
convolvulus,arvensis,0,3,0.014,1987,NA,-0.027000000000000003,-0.005
convolvulus,arvensis,0,4,0.018,1995,NA,0.003999999999999998,-0.005
convolvulus,arvensis,0,2,0.008,2005,NA,-0.009999999999999998,-0.005
dactylis,glomerata,0,1,0.005,1979,NA,NA,0.001
dactylis,glomerata,0,3,0.014,1980,NA,0.009000000000000001,0.001
dactylis,glomerata,0,3,0.014,1981,NA,0,0.001
dactylis,glomerata,0,3,0.014,1982,NA,0,0.001
dactylis,glomerata,0,1,0.005,1984,NA,-0.009000000000000001,0.001
dactylis,glomerata,0,2,0.009,1987,NA,0.003999999999999999,0.001
dactylis,glomerata,0,3,0.012,2005,NA,0.003000000000000001,0.001
daucus,carota,0,51,0.23,1979,NA,NA,-0.028
daucus,carota,0,55,0.248,1980,NA,0.017999999999999988,-0.028
daucus,carota,0,56,0.253,1981,NA,0.0050000000000000044,-0.028
daucus,carota,0,58,0.261,1982,NA,0.008000000000000007,-0.028
daucus,carota,0,17,0.077,1984,NA,-0.184,-0.028
daucus,carota,0,14,0.063,1987,NA,-0.013999999999999999,-0.028
daucus,carota,0,14,0.063,1995,NA,0,-0.028
daucus,carota,0,8,0.033,2005,NA,-0.03,-0.028
elymus,repens,0,24,0.108,1979,NA,NA,-0.01
elymus,repens,0,26,0.117,1980,NA,0.009000000000000008,-0.01
elymus,repens,0,27,0.122,1981,NA,0.0049999999999999906,-0.01
elymus,repens,0,23,0.104,1982,NA,-0.018000000000000002,-0.01
elymus,repens,0,8,0.036,1984,NA,-0.068,-0.01
elymus,repens,0,15,0.068,1987,NA,0.03200000000000001,-0.01
elymus,repens,0,11,0.05,1995,NA,-0.018000000000000002,-0.01
elymus,repens,0,9,0.037,2005,NA,-0.013000000000000005,-0.01
fallopia,convolvulus,0,2,0.009,1982,NA,NA,-0.002
fallopia,convolvulus,0,1,0.005,1987,NA,-0.003999999999999999,-0.002
fallopia,convolvulus,0,3,0.014,1995,NA,0.009000000000000001,-0.002
fallopia,convolvulus,0,1,0.004,2005,NA,-0.01,-0.002
glechoma,hederacea,0,1,0.005,1979,NA,NA,0.003
glechoma,hederacea,0,2,0.009,1980,NA,0.003999999999999999,0.003
glechoma,hederacea,0,4,0.018,1981,NA,0.009,0.003
glechoma,hederacea,0,2,0.009,1982,NA,-0.009,0.003
glechoma,hederacea,0,6,0.027,1984,NA,0.018000000000000002,0.003
glechoma,hederacea,0,7,0.032,1987,NA,0.005000000000000001,0.003
glechoma,hederacea,0,9,0.041,1995,NA,0.009000000000000001,0.003
glechoma,hederacea,0,6,0.025,2005,NA,-0.016,0.003
hemerocallis,fulva,0,1,0.005,1984,NA,NA,NA
hieracium,caespitosum,0,1,0.004,2005,NA,NA,NA
hordeum,jubatum,0,9,0.041,1979,NA,NA,-0.007
hordeum,jubatum,0,7,0.032,1980,NA,-0.009000000000000001,-0.007
hordeum,jubatum,0,9,0.041,1981,NA,0.009000000000000001,-0.007
hordeum,jubatum,0,8,0.036,1982,NA,-0.0050000000000000044,-0.007
hordeum,jubatum,0,1,0.005,1984,NA,-0.030999999999999996,-0.007
hordeum,jubatum,0,1,0.005,1987,NA,0,-0.007
