plot,mean_wt_c,year,total_cover,total_richness,richness_change
J2,4.33,2020,98,16,11
C2,5.98,2020,137,21,8
K3,3.78,2020,104,9,8
G10,4.54,2020,97,16,7
K2,3.07,2020,95,10,7
C3,5.32,2020,120,17,6
F11,4.72,2020,155,18,6
E15,4.53,2020,118,15,6
H8,4.38,2020,117,16,6
C13,3.75,2020,162,15,6
H11,3.45,2020,145,14,6
J10,6.56,2020,75,16,5
G2,6.23,2020,126,18,5
G16,5.91,2020,53,14,4
J9,5.78,2020,123,16,4
C12,4.94,2020,102,15,4
E6,8.54,2020,94,11,3
D2,7.16,2020,101,18,3
F5,6.42,2020,64,13,3
D6,5.99,2020,90,14,3
F16,5.24,2020,98,15,3
H1,5.19,2020,52,14,3
E10,5.17,2020,114,16,3
E5,3.87,2020,60,13,3
I12,3.22,2020,23,11,3
H13,2.78,2020,81,10,3
A12,2.32,2020,231,11,3
G12,2.22,2020,98,7,3
I6,7.82,2020,99,15,2
E14,6.19,2020,154,18,2
F2,5.79,2020,107,20,2
J6,5.13,2020,122,14,2
D9,5.11,2020,80,5,2
H3,5.05,2020,88,15,2
H6,3.88,2020,129,14,2
B10,3.78,2020,111,11,2
A24,2.44,2020,88,5,2
L8,0.55,2020,80,7,2
G5,8.53,2020,175,13,1
C1,7.12,2020,66,13,1
I10,6.35,2020,92,16,1
G3,6.35,2020,136,15,1
E2,6.18,2020,136,17,1
H10,5.95,2020,116,12,1
D7,5.11,2020,131,15,1
J11,4.77,2020,178,11,1
D12,4.69,2020,131,17,1
F9,4.05,2020,126,8,1
K9,3.62,2020,128,11,1
E9,3.5,2020,48,4,1
I15,3.33,2020,200,9,1
B23,2.57,2020,124,10,1
L3,1.75,2020,53,6,1
A25,1.67,2020,45,4,1
I9,8.03,2020,86,13,0
G4,6.48,2020,126,17,0
J4,6.16,2020,95,18,0
C10,5.45,2020,104,4,0
E11,5.25,2020,76,14,0
D22,5,2020,100,1,0
F13,4.84,2020,211,9,0
G14,4.81,2020,170,15,0
E20,4.5,2020,100,2,0
D18,4.43,2020,58,3,0
I2,4.18,2020,77,10,0
K1,4.04,2020,81,15,0
K10,3.94,2020,232,13,0
K4,3.93,2020,116,11,0
F12,3.54,2020,59,8,0
B15,3.39,2020,178,8,0
I13,3.04,2020,75,9,0
