Plot,Chamber,Date,Sensor Soil Moisture (%),Oven Soil Moisture (%),Plant Biomass (g),Plant Cover (%),Soil Temperature (C),CO2_flux ppm,CH4_flux ppm,N2O_flux ppm
Swale-1,1,11/02/2022,47.7,N/A,N/A,< 5,9.6,,,
Swale-1,2,11/02/2022,46.3,N/A,N/A,< 5,9.8,,,
Swale-1,3,11/02/2022,46.8,N/A,N/A,< 5,10.1,,,
Swale-1,4,11/02/2022,46.2,N/A,N/A,10,9.8,,,
Swale-2,1,11/02/2022,34.6,N/A,N/A,5,10.6,,,
Swale-2,2,11/02/2022,37.3,N/A,N/A,5,10.8,,,
Swale-2,3,11/02/2022,41.5,N/A,N/A,<5,10.4,,,
Swale-2,4,11/02/2022,21.3,N/A,N/A,35,10.6,,,
Upland-1,1,11/02/2022,36.3,N/A,N/A,< 5,10.3,,,
Upland-1,2,11/02/2022,34.2,N/A,N/A,5,10.4,,,
Upland-1,3,11/02/2022,37.7,N/A,N/A,<5,9.8,,,
Upland-1,4,11/02/2022,39.2,N/A,N/A,<5,11.1,,,
Upland-2,1,11/02/2022,38.1,N/A,N/A,< 5,11,,,
Upland-2,2,11/02/2022,38.5,N/A,N/A,5,11.1,,,
Upland-2,3,11/02/2022,42.5,N/A,N/A,<5,10.9,,,
Upland-2,4,11/02/2022,32.9,N/A,N/A,5,10.4,,,
Swale-1,1,10/19/2022,21.6,N/A,54.86,< 5,9.9,,,
Swale-1,2,10/19/2022,28.1,N/A,54.86,<5,10.2,,,
Swale-1,3,10/19/2022,30.1,N/A,54.86,5,11.1,,,
Swale-1,4,10/19/2022,22.5,N/A,54.86,20,10.4,,,
Swale-2,1,10/19/2022,17,N/A,48.36,10,11,,,
Swale-2,2,10/19/2022,12.3,N/A,48.36,5,10.5,,,
Swale-2,3,10/19/2022,21.4,N/A,48.36,<5,10.8,,,
Swale-2,4,10/19/2022,15.7,N/A,48.36,65,11.1,,,
Upland-1,1,10/19/2022,26.8,N/A,52.51,10,10.6,,,
Upland-1,2,10/19/2022,29.1,N/A,52.51,15,11.1,,,
Upland-1,3,10/19/2022,31.1,N/A,52.51,15,11.4,,,
Upland-1,4,10/19/2022,23.7,N/A,52.51,5,10.8,,,
Upland-2,1,10/19/2022,21.4,N/A,52.21,10,9.9,,,
Upland-2,2,10/19/2022,19.4,N/A,52.21,10,10.1,,,
Upland-2,3,10/19/2022,18.7,N/A,52.21,5,10.2,,,
Upland-2,4,10/19/2022,20.1,N/A,52.21,5,9.8,,,
Swale-1,1,09/30/2022,43.4,N/A,47.23,20,14.5,,,
Swale-1,2,09/30/2022,46.5,N/A,47.23,15,14.6,,,
Swale-1,3,09/30/2022,43.4,N/A,47.23,10,14.3,,,
Swale-1,4,09/30/2022,44.3,N/A,47.23,20,14.4,,,
Swale-2,1,09/30/2022,12.6,N/A,54.91,5,13.5,,,
Swale-2,2,09/30/2022,40.4,N/A,54.91,<5,13.5,,,
Swale-2,3,09/30/2022,35.9,N/A,54.91,5,13.7,,,
Swale-2,4,09/30/2022,12.9,N/A,54.91,85,13.5,,,
Upland-1,1,09/30/2022,29.9,N/A,81.85,5,15.3,,,
Upland-1,2,09/30/2022,28.9,N/A,81.85,5,15.1,,,
Upland-1,3,09/30/2022,23.5,N/A,81.85,<5,14.6,,,
Upland-1,4,09/30/2022,30.6,N/A,81.85,<5,14.9,,,
Upland-2,1,09/30/2022,35.7,N/A,95.3,< 5,14.8,,,
Upland-2,2,09/30/2022,35.5,N/A,95.3,5,15.1,,,
Upland-2,3,09/30/2022,38.5,N/A,95.3,<5,14.9,,,
Upland-2,4,09/30/2022,30.1,N/A,95.3,10,14.5,,,
Swale-1,1,09/16/2022,43.1,47.5,44.56,30,19.3,,,
Swale-1,2,09/16/2022,46.5,45.7,44.56,20,18.9,,,
Swale-1,3,09/16/2022,37,36.1,44.56,20,19,,,
Swale-1,4,09/16/2022,41.9,40.7,44.56,25,19.1,,,
