row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height
1,2023-07-18,STD,2023-08-28,07182023_001,STD,957725,9966,11320
2,2023-07-18,STD,2023-08-28,07182023_002,STD,288259,1591,3652
3,2023-07-18,STD,2023-08-28,07182023_003,STD,985662,10570,11792
4,2023-07-18,STD,2023-08-28,07182023_004,STD,965282,10043,11460
5,2023-07-18,STD,2023-08-28,07182023_005,STD,954769,9908,11409
6,2023-07-18,STD,2023-08-28,07182023_006,STD,1006980,9869,11587
7,2023-07-18,T0,2023-08-28,07182023_007,SW 1-1,483647,2326,3623
8,2023-07-18,T0,2023-08-28,07182023_008,SW 1-2,453001,6971,3599
9,2023-07-18,T0,2023-08-28,07182023_009,SW 1-3,497546,2258,3588
10,2023-07-18,T0,2023-08-28,07182023_010,SW 1-4,532729,2282,3586
11,2023-07-18,T0,2023-08-28,07182023_011,UP 1-1,567592,2329,3606
12,2023-07-18,T0,2023-08-28,07182023_012,UP 1-2,490974,2309,3604
13,2023-07-18,T0,2023-08-28,07182023_013,UP 1-3,481529,2292,3600
14,2023-07-18,T0,2023-08-28,07182023_014,UP 1-4,447222,6181,3624
15,2023-07-18,STD,2023-08-28,07182023_015,STD,975097,10399,11846
16,2023-07-18,T0,2023-08-28,07182023_016,SW 2-1,465819,2314,3621
17,2023-07-18,T0,2023-08-28,07182023_017,SW 2-2,480652,2287,3814
18,2023-07-18,T0,2023-08-28,07182023_018,SW 2-3,480542,6536,3850
19,2023-07-18,T0,2023-08-28,07182023_019,SW 2-4,471199,2291,3857
20,2023-07-18,T0,2023-08-28,07182023_020,UP 2-1,694782,2280,3891
21,2023-07-18,T0,2023-08-28,07182023_021,UP 2-2,524344,7877,3867
22,2023-07-18,T0,2023-08-28,07182023_022,UP 2-3,437023,2307,3639
23,2023-07-18,T0,2023-08-28,07182023_023,UP 2-4,459111,2329,3639
24,2023-07-18,STD,2023-08-28,07182023_024,STD,979293,10525,12170
25,2023-07-18,T1,2023-08-28,07182023_025,SW 1-1,635768,2263,3668
26,2023-07-18,T1,2023-08-28,07182023_026,SW 1-2,631307,4904,3885
27,2023-07-18,T1,2023-08-28,07182023_027,SW 1-3,644157,2264,3899
28,2023-07-18,T1,2023-08-28,07182023_028,SW 1-4,648031,2276,3831
29,2023-07-18,T1,2023-08-28,07182023_029,UP 1-1,826118,2179,3857
30,2023-07-18,T1,2023-08-28,07182023_030,UP 1-2,693351,2274,3799
31,2023-07-18,T1,2023-08-28,07182023_031,UP 1-3,735690,2241,3846
32,2023-07-18,T1,2023-08-28,07182023_032,UP 1-4,704275,5161,3647
33,2023-07-18,STD,2023-08-28,07182023_033,STD,952703,9985,11665
34,2023-07-18,T1,2023-08-28,07182023_034,SW 2-1,765794,2236,3800
35,2023-07-18,T1,2023-08-28,07182023_035,SW 2-2,670764,2270,3860
36,2023-07-18,T1,2023-08-28,07182023_036,SW 2-3,733538,6196,3877
37,2023-07-18,T1,2023-08-28,07182023_037,SW 2-4,718694,2259,3664
38,2023-07-18,T1,2023-08-28,07182023_038,UP 2-1,895093,2261,3653
39,2023-07-18,T1,2023-08-28,07182023_039,UP 2-2,730842,4709,3864
40,2023-07-18,T1,2023-08-28,07182023_040,UP 2-3,603680,2297,3885
41,2023-07-18,T1,2023-08-28,07182023_041,UP 2-4,703423,2275,3667
42,2023-07-18,STD,2023-08-28,07182023_042,STD,967318,10431,12181
43,2023-07-18,T2,2023-08-28,07182023_043,SW 1-1,826037,2293,3888
44,2023-07-18,T2,2023-08-28,07182023_044,SW 1-2,781724,4526,3958
45,2023-07-18,T2,2023-08-28,07182023_045,SW 1-3,798223,2234,3943
46,2023-07-18,T2,2023-08-28,07182023_046,SW 1-4,775354,2237,3954
47,2023-07-18,T2,2023-08-28,07182023_047,UP 1-1,1098537,2181,3967
48,2023-07-18,T2,2023-08-28,07182023_048,UP 1-2,927288,2231,3675
49,2023-07-18,T2,2023-08-28,07182023_049,UP 1-3,981070,2196,3917
50,2023-07-18,T2,2023-08-28,07182023_050,UP 1-4,911809,5325,3717
51,2023-07-18,STD,2023-08-28,07182023_051,STD,951014,9776,11591
52,2023-07-18,T2,2023-08-28,07182023_052,SW 2-1,1035551,2226,3766
53,2023-07-18,T2,2023-08-28,07182023_053,SW 2-2,846445,2249,3647
54,2023-07-18,T2,2023-08-28,07182023_054,SW 2-3,918054,2227,3713
55,2023-07-18,T2,2023-08-28,07182023_055,SW 2-4,962662,2232,3628
56,2023-07-18,T2,2023-08-28,07182023_056,UP 2-1,1080190,2282,3784
57,2023-07-18,T2,2023-08-28,07182023_057,UP 2-2,940774,2279,3937
58,2023-07-18,T2,2023-08-28,07182023_058,UP 2-3,762004,2192,3963
59,2023-07-18,T2,2023-08-28,07182023_059,UP 2-4,895306,2246,3780
60,2023-07-18,STD,2023-08-28,07182023_060,STD,955663,9827,12810
61,2023-07-18,T3,2023-08-28,07182023_061,SW 1-1,1178765,2242,3892
62,2023-07-18,T3,2023-08-28,07182023_062,SW 1-2,1105111,5028,4077
63,2023-07-18,T3,2023-08-28,07182023_063,SW 1-3,1098535,2260,3959
64,2023-07-18,T3,2023-08-28,07182023_064,SW 1-4,988194,2272,3953
65,2023-07-18,T3,2023-08-28,07182023_065,UP 1-1,1503565,2159,3958
66,2023-07-18,T3,2023-08-28,07182023_066,UP 1-2,1279201,2147,3610
67,2023-07-18,T3,2023-08-28,07182023_067,UP 1-3,1413291,2111,3901
68,2023-07-18,T3,2023-08-28,07182023_068,UP 1-4,1294897,5197,3754
69,2023-07-18,STD,2023-08-28,07182023_069,STD,948281,9944,11896
70,2023-07-18,T3,2023-08-28,07182023_070,SW 2-1,1476811,2188,3913
71,2023-07-18,T3,2023-08-28,07182023_071,SW 2-2,1185604,2227,3574
72,2023-07-18,T3,2023-08-28,07182023_072,SW 2-3,1227738,4228,3802
73,2023-07-18,T3,2023-08-28,07182023_073,SW 2-4,1464384,2162,3772
74,2023-07-18,T3,2023-08-28,07182023_074,UP 2-1,1435434,2183,3894
