row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,co2_ppm,ch4_ppm,n2o_ppm
7,2023-07-18,T0,2023-08-28,07182023_007,SW 1-1,483647,2326,3623,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,497.6369106655375,2.3438885004711674,0.30430035276331263
8,2023-07-18,T0,2023-08-28,07182023_008,SW 1-2,453001,6971,3599,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,466.10444842705357,7.0246116667173295,0.3022845624055098
9,2023-07-18,T0,2023-08-28,07182023_009,SW 1-3,497546,2258,3588,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,511.93795134466984,2.275365534851202,0.3013606584915169
10,2023-07-18,T0,2023-08-28,07182023_010,SW 1-4,532729,2282,3586,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,548.1386502592617,2.2995501109523664,0.30119267596169996
11,2023-07-18,T0,2023-08-28,07182023_011,UP 1-1,567592,2329,3606,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,584.0100928951772,2.3469115724838128,0.302872501259869
12,2023-07-18,T0,2023-08-28,07182023_012,UP 1-2,490974,2309,3604,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,505.1758505213547,2.326757759066176,0.30270451873005205
13,2023-07-18,T0,2023-08-28,07182023_013,UP 1-3,481529,2292,3600,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,495.45764567104857,2.309627017661185,0.30236855367041826
14,2023-07-18,T0,2023-08-28,07182023_014,UP 1-4,447222,6181,3624,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,460.1582858193332,6.228536036720673,0.30438434402822107
16,2023-07-18,T0,2023-08-28,07182023_016,SW 2-1,465819,2314,3621,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,479.2932202397824,2.3317962124205853,0.3041323702334957
17,2023-07-18,T0,2023-08-28,07182023_017,SW 2-2,480652,2287,3814,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,494.55527768230127,2.3045885643067754,0.32034268436082647
18,2023-07-18,T0,2023-08-28,07182023_018,SW 2-3,480542,6536,3850,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,494.44209583650627,6.586266224883728,0.32336636989753065
19,2023-07-18,T0,2023-08-28,07182023_019,SW 2-4,471199,2291,3857,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,484.8288414250282,2.308619326990303,0.3239543087518898
20,2023-07-18,T0,2023-08-28,07182023_020,UP 2-1,694782,2280,3891,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,714.8791744103106,2.297534729610603,0.3268100117587771
21,2023-07-18,T0,2023-08-28,07182023_021,UP 2-2,524344,7877,3867,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,539.5111068320709,7.9375794145362795,0.3247942214009743
22,2023-07-18,T0,2023-08-28,07182023_022,UP 2-3,437023,2307,3639,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,449.66427086239594,2.3247423777244123,0.3056442130018478
23,2023-07-18,T0,2023-08-28,07182023_023,UP 2-4,459111,2329,3639,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,472.39118549802976,2.3469115724838128,0.3056442130018478
25,2023-07-18,T1,2023-08-28,07182023_025,SW 1-1,635768,2263,3668,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,654.1581430671698,2.2804039882056113,0.30807995968419283
26,2023-07-18,T1,2023-08-28,07182023_026,SW 1-2,631307,4904,3885,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,649.5681047572475,4.941715050004559,0.3263060641693264
27,2023-07-18,T1,2023-08-28,07182023_027,SW 1-3,644157,2264,3899,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,662.789802197844,2.281411678876493,0.3274819418780447
28,2023-07-18,T1,2023-08-28,07182023_028,SW 1-4,648031,2276,3831,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,666.7758610215693,2.293503966927075,0.3217705358642701
29,2023-07-18,T1,2023-08-28,07182023_029,UP 1-1,826118,2179,3857,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,850.0141825860443,2.1957579718515365,0.3239543087518898
30,2023-07-18,T1,2023-08-28,07182023_030,UP 1-2,693351,2274,3799,969943.5384615385,10122.153846153846,11906,1.8893982316502607,3.0342003275030462,3.3215032176530803,713.4067814891049,2.2914885855853115,0.31908281538719974
