plot,mean_wt_c,year,total_cover,total_richness
F5,8.96,1979,105,10
I5,8.9,2020,132,13
I3,8.82,2020,114,8
E14,8.81,1979,77,16
C11,8.79,1984,90,12
F5,8.79,1995,141,13
G5,8.76,1995,147,18
F5,8.71,1981,120,13
E14,8.66,1980,106,16
B6,8.55,1979,110,11
E6,8.54,2020,94,11
G5,8.53,2020,175,13
F15,8.49,1995,144,19
G5,8.43,1984,201,11
E14,8.38,1995,183,17
J7,8.38,2020,146,9
E14,8.3,1981,115,19
B6,8.3,1982,148,12
D5,8.3,1987,125,15
E14,8.26,1982,100,18
F4,8.26,1987,151,19
G5,8.25,1979,83,12
D5,8.24,1982,98,18
F5,8.2,1982,102,13
I3,8.2,2005,88,10
D16,8.19,1984,141,14
G5,8.19,2005,54,14
G5,8.18,1980,92,13
C16,8.15,1984,155,12
G2,8.15,2005,75,12
E13,8.14,1982,73,18
G6,8.11,1984,165,12
G5,8.08,1981,93,15
E13,8.08,2005,59,18
D5,8.05,1981,82,17
G5,8.03,1982,77,14
I3,8.03,1984,189,9
I9,8.03,2020,86,13
G7,8.02,1984,109,9
J6,8.02,1987,237,16
F6,8,1995,152,16
I3,7.98,1995,194,15
F5,7.95,1980,57,10
D5,7.95,1984,130,15
F5,7.95,2005,85,11
D3,7.93,2020,114,13
I3,7.92,1982,129,17
I5,7.92,1982,112,17
F6,7.9,1987,165,13
G5,7.9,1987,213,17
D5,7.89,1995,150,18
C2,7.89,2005,76,16
E14,7.87,1987,203,20
C6,7.87,1987,257,17
D5,7.87,2005,130,12
E3,7.87,2020,109,14
I5,7.84,1979,108,16
I4,7.82,1982,112,19
I6,7.82,2020,99,15
E13,7.81,1987,166,15
D16,7.8,1981,92,16
G6,7.78,1987,190,17
J6,7.77,1995,167,17
I5,7.76,1980,117,17
I5,7.76,1981,117,17
E2,7.76,1987,147,10
C6,7.75,1980,116,19
I4,7.73,1984,180,12
G6,7.72,1995,140,16
I6,7.7,1982,89,17
C6,7.65,2005,120,17
D3,7.64,2005,133,12
E14,7.63,1984,161,16
E2,7.62,1980,85,17
G4,7.62,1981,112,20
I6,7.62,1984,133,11
C6,7.61,1982,94,22
C7,7.61,1995,190,19
B7,7.59,1980,131,13
J7,7.57,2005,93,12
C2,7.56,1987,95,13
G2,7.56,1995,177,14
E13,7.56,1995,107,14
G4,7.55,1987,134,19
C6,7.5,1979,103,18
F15,7.48,1987,186,17
E4,7.48,2005,141,10
B6,7.47,1980,152,12
F4,7.46,1982,70,19
I6,7.46,1995,145,17
D1,7.46,2005,41,13
H9,7.46,2005,46,12
G3,7.44,1981,124,16
D7,7.44,1987,299,19
D15,7.44,1987,209,16
B6,7.42,1981,174,17
I6,7.42,2005,69,12
F14,7.41,1987,201,16
F4,7.35,2020,126,11
E3,7.33,1987,189,14
D5,7.32,1979,88,15
G3,7.32,1980,111,16
C11,7.3,1987,172,18
D5,7.28,2020,175,10
I3,7.27,1979,109,10
F4,7.25,1981,93,18
C6,7.23,1981,93,20
F14,7.23,1995,118,15
E13,7.22,1980,89,19
E2,7.22,1995,170,16
D5,7.21,1980,98,16
J5,7.21,1982,111,17
G1,7.21,2020,75,16
G7,7.2,1987,168,17
G3,7.19,1979,140,14
C2,7.19,1980,72,17
J8,7.19,1981,74,18
B6,7.18,1995,166,19
E2,7.17,1979,82,16
E2,7.17,1982,94,19
C22,7.17,1987,182,18
F4,7.17,2005,96,21
F6,7.16,1984,132,11
I5,7.16,2005,82,11
D2,7.16,2020,101,18
H7,7.15,2005,66,13
B7,7.14,1987,264,19
B5,7.13,1995,142,18
E13,7.12,1981,104,21
C1,7.12,2020,66,13
I5,7.11,1987,220,14
F3,7.11,1995,144,17
F14,7.11,2005,81,15
G4,7.11,2005,66,14
I3,7.09,1980,103,10
F4,7.09,1980,138,17
D13,7.09,1995,124,16
G4,7.08,1979,108,17
G6,7.08,1982,78,16
C11,7.08,1995,177,17
D1,7.08,1995,92,14
E12,7.08,2005,105,17
C16,7.07,1982,97,21
J6,7.06,1982,116,14
J8,7.05,1979,92,14
D14,7.05,1984,149,20
G8,7.05,1984,191,16
F4,7.04,1979,101,15
J4,7.04,1984,222,15
G8,7.04,1995,157,19
C1,7.04,2005,81,12
B5,7.03,1980,154,15
I9,7.03,2005,37,11
G4,7.02,1980,142,21
D1,7.02,1987,99,15
F5,7.02,1987,170,24
C18,7.01,1979,81,18
C5,7.01,2020,87,14
D22,7,1979,60,1
K3,7,1979,85,1
D22,7,1980,60,1
G4,7,1982,84,20
F13,6.99,1984,136,12
B2,6.99,1987,123,13
E7,6.98,1981,151,26
B5,6.96,1979,99,15
C23,6.96,1984,161,10
D13,6.96,1987,219,20
D20,6.96,1987,80,3
G4,6.96,1995,135,22
I6,6.95,1980,124,14
B5,6.95,1982,97,17
J6,6.95,2005,61,16
E4,6.93,1979,110,15
C7,6.92,1979,166,23
E7,6.92,1979,121,21
I7,6.92,1987,209,13
F2,6.92,1995,152,20
D22,6.9,1982,79,2
C7,6.9,1987,332,22
J5,6.9,1987,153,13
E7,6.9,1987,191,26
J5,6.89,1979,111,14
F7,6.89,1979,62,17
C19,6.89,1982,89,4
F3,6.89,2020,116,13
I3,6.88,1981,94,14
F14,6.88,1982,92,19
E7,6.88,1982,114,23
D22,6.88,1984,102,3
H4,6.88,2005,64,9
J6,6.87,1980,89,12
I6,6.87,1987,311,17
F14,6.86,1984,240,16
K3,6.85,1980,88,3
G3,6.85,1982,102,14
D16,6.85,1982,133,18
H7,6.85,1995,137,14
C6,6.84,2020,208,17
D14,6.83,1987,252,22
D22,6.82,1981,83,2
E13,6.82,1984,146,8
G8,6.81,1982,83,17
D14,6.81,1995,89,19
F3,6.81,2005,83,19
D6,6.8,2005,75,16
C7,6.8,2005,94,20
I4,6.79,1980,144,16
G16,6.79,2005,34,13
G8,6.79,2005,53,10
C5,6.79,2005,52,12
C13,6.78,1981,77,12
C20,6.78,1984,107,3
B2,6.78,1995,125,15
E15,6.78,1995,115,19
J5,6.77,1984,185,10
E4,6.76,1981,133,19
F7,6.76,1982,90,18
E13,6.75,1979,99,19
B5,6.75,1981,111,17
G6,6.74,1979,86,17
J8,6.74,1980,90,15
K3,6.74,1982,96,4
F7,6.74,1995,168,15
G7,6.73,1979,95,19
E20,6.73,1981,55,2
C6,6.72,1995,126,19
E7,6.72,2005,97,14
H6,6.71,1979,99,12
K3,6.71,1981,87,3
J4,6.71,1987,149,16
E3,6.71,2005,104,19
I8,6.7,1979,97,18
G6,6.7,1981,84,17
B1,6.7,2005,63,17
F14,6.69,1981,96,17
C7,6.69,1981,201,27
E2,6.69,1981,67,20
I6,6.68,1981,91,14
J6,6.68,1981,97,13
G8,6.68,1981,106,18
F6,6.68,1982,87,11
C7,6.68,1984,206,13
I3,6.68,1987,169,18
G3,6.67,1987,202,16
E2,6.67,2005,78,15
F7,6.66,1981,131,19
D3,6.66,1987,194,16
D18,6.65,1982,68,2
D21,6.65,1984,98,3
I7,6.65,2020,100,12
G8,6.64,2020,90,13
C2,6.63,1982,94,18
I5,6.63,1984,144,11
F16,6.63,1995,119,12
C4,6.62,1984,168,14
C6,6.62,1984,183,17
D18,6.61,1984,114,2
E16,6.61,1987,206,14
E20,6.59,1980,58,2
J6,6.57,1979,77,12
G9,6.57,1979,69,19
D19,6.57,1981,69,3
C12,6.57,1984,142,11
D15,6.57,1995,108,19
C19,6.56,1980,82,5
J5,6.56,1980,151,16
G7,6.56,1982,106,21
J10,6.56,2020,75,16
K7,6.55,1980,110,19
E21,6.55,1984,115,4
E1,6.54,2005,87,16
E13,6.54,2020,134,17
K5,6.53,1980,101,17
J8,6.53,1982,118,17
G4,6.53,1984,131,11
D15,6.53,1984,148,15
D19,6.53,1984,95,2
