"plot","soil_temp_c","soil_moist_percent","date"
"1","UP_1",25.2,26.4,2023-07-18
"2","UP_1",25.2,26.4,2023-07-18
"3","UP_1",25.2,26.4,2023-07-18
"4","SW_1",24.4,45.2,2023-06-15
"5","SW_1",24.4,45.2,2023-06-15
"6","SW_1",24.4,45.2,2023-06-15
"7","UP_1",24.3,27.5,2023-07-18
"8","UP_1",24.3,27.5,2023-07-18
"9","UP_1",24.3,27.5,2023-07-18
"10","UP_1",24.3,27.5,2023-08-02
"11","UP_2",24.3,24.7,2023-08-02
"12","UP_1",24.3,27.5,2023-08-02
"13","UP_2",24.3,24.7,2023-08-02
"14","UP_1",24.3,27.5,2023-08-02
"15","UP_2",24.3,24.7,2023-08-02
"16","SW_1",24.2,40.1,2023-06-15
"17","SW_1",24.2,40.1,2023-06-15
"18","SW_1",24.2,40.1,2023-06-15
"19","SW_1",24.1,41.3,2023-06-15
"20","SW_1",24.1,41.3,2023-06-15
"21","SW_1",24.1,41.3,2023-06-15
"22","SW_1",24.1,34.9,2023-08-02
"23","UP_2",24.1,27.2,2023-08-02
"24","SW_1",24.1,34.9,2023-08-02
"25","UP_2",24.1,27.2,2023-08-02
"26","SW_1",24.1,34.9,2023-08-02
"27","UP_2",24.1,27.2,2023-08-02
"28","SW_2",23.9,NA,2022-07-22
"29","SW_2",23.9,NA,2022-07-22
"30","SW_2",23.9,NA,2022-07-22
"31","SW_1",23.9,45.7,2023-06-15
"32","SW_1",23.9,45.7,2023-06-15
"33","SW_1",23.9,45.7,2023-06-15
"34","SW_1",23.9,43.1,2023-08-02
"35","SW_2",23.9,15.2,2023-08-02
"36","SW_1",23.9,43.1,2023-08-02
"37","SW_2",23.9,15.2,2023-08-02
"38","SW_1",23.9,43.1,2023-08-02
"39","SW_2",23.9,15.2,2023-08-02
"40","SW_2",23.8,25.9,2023-07-18
"41","SW_2",23.8,25.9,2023-07-18
"42","SW_2",23.8,25.9,2023-07-18
"43","UP_2",23.7,33.9,2023-08-02
"44","UP_2",23.7,33.9,2023-08-02
"45","UP_2",23.7,33.9,2023-08-02
"46","SW_2",23.6,NA,2022-07-22
"47","SW_2",23.6,NA,2022-07-22
"48","SW_2",23.6,NA,2022-07-22
"49","UP_1",23.6,24.7,2023-08-02
"50","UP_2",23.6,20.3,2023-08-02
"51","UP_1",23.6,24.7,2023-08-02
"52","UP_2",23.6,20.3,2023-08-02
"53","UP_1",23.6,24.7,2023-08-02
"54","UP_2",23.6,20.3,2023-08-02
"55","UP_1",23.4,24.9,2023-08-02
"56","UP_1",23.4,24.9,2023-08-02
"57","UP_1",23.4,24.9,2023-08-02
"58","SW_2",23.3,NA,2022-07-22
"59","SW_2",23.3,NA,2022-07-22
"60","SW_2",23.3,NA,2022-07-22
"61","SW_2",23.3,38,2023-07-18
"62","SW_2",23.3,32.2,2023-07-18
"63","SW_2",23.3,38,2023-07-18
"64","SW_2",23.3,32.2,2023-07-18
"65","SW_2",23.3,38,2023-07-18
"66","SW_2",23.3,32.2,2023-07-18
"67","UP_1",23.3,24.1,2023-08-02
"68","UP_1",23.3,24.1,2023-08-02
"69","UP_1",23.3,24.1,2023-08-02
"70","SW_2",23.2,NA,2022-07-22
"71","SW_2",23.2,NA,2022-07-22
"72","SW_2",23.2,NA,2022-07-22
"73","UP_1",23.2,28.9,2023-07-18
"74","UP_1",23.2,28.9,2023-07-18
"75","UP_1",23.2,28.9,2023-07-18
"76","SW_2",23.2,33.2,2023-08-02
"77","SW_2",23.2,33.2,2023-08-02
"78","SW_2",23.2,33.2,2023-08-02
"79","UP_2",23.1,35.2,2022-09-02
"80","UP_2",23.1,35.2,2022-09-02
"81","UP_2",23.1,35.2,2022-09-02
"82","SW_2",23.1,30.7,2023-07-18
"83","SW_2",23.1,30.7,2023-07-18
"84","SW_2",23.1,30.7,2023-07-18
"85","SW_1",23.1,22.5,2023-08-02
"86","SW_1",23.1,22.5,2023-08-02
"87","SW_1",23.1,22.5,2023-08-02
"88","SW_1",22.9,NA,2022-07-22
"89","SW_1",22.9,NA,2022-07-22
"90","SW_1",22.9,NA,2022-07-22
"91","UP_2",22.9,39.1,2022-09-02
"92","UP_2",22.9,39.1,2022-09-02
"93","UP_2",22.9,39.1,2022-09-02
"94","SW_1",22.9,41.9,2023-08-02
"95","SW_2",22.9,30.6,2023-08-02
"96","SW_1",22.9,41.9,2023-08-02
"97","SW_2",22.9,30.6,2023-08-02
"98","SW_1",22.9,41.9,2023-08-02
"99","SW_2",22.9,30.6,2023-08-02
"100","UP_2",22.8,27.5,2022-09-02
"101","UP_2",22.8,27.5,2022-09-02
"102","UP_2",22.8,27.5,2022-09-02
"103","UP_1",22.8,27.6,2023-07-18
"104","UP_1",22.8,27.6,2023-07-18
"105","UP_1",22.8,27.6,2023-07-18
"106","UP_2",22.7,NA,2022-07-22
"107","UP_2",22.7,NA,2022-07-22
"108","UP_2",22.7,NA,2022-07-22
"109","SW_2",22.7,3.9,2022-08-12
"110","SW_2",22.7,3.9,2022-08-12
"111","SW_2",22.7,3.9,2022-08-12
"112","SW_1",22.6,NA,2022-07-22
"113","SW_1",22.6,NA,2022-07-22
"114","SW_1",22.6,NA,2022-07-22
"115","SW_1",22.5,NA,2022-07-22
"116","SW_1",22.5,NA,2022-07-22
"117","SW_1",22.5,NA,2022-07-22
"118","UP_2",22.4,24.6,2022-09-02
"119","UP_2",22.4,24.6,2022-09-02
"120","UP_2",22.4,24.6,2022-09-02
"121","SW_2",22.4,24.1,2023-08-02
"122","SW_2",22.4,24.1,2023-08-02
"123","SW_2",22.4,24.1,2023-08-02
"124","UP_1",22.3,18.5,2022-09-02
"125","UP_1",22.3,18.5,2022-09-02
"126","UP_1",22.3,18.5,2022-09-02
"127","SW_1",22.1,41,2022-08-12
"128","UP_2",22.1,21.7,2022-08-12
"129","UP_2",22.1,35.4,2022-08-12
"130","SW_1",22.1,41,2022-08-12
"131","UP_2",22.1,21.7,2022-08-12
"132","UP_2",22.1,35.4,2022-08-12
"133","SW_1",22.1,41,2022-08-12
"134","UP_2",22.1,21.7,2022-08-12
"135","UP_2",22.1,35.4,2022-08-12
"136","UP_1",22,19.5,2022-09-02
"137","UP_1",22,19.5,2022-09-02
"138","UP_1",22,19.5,2022-09-02
"139","UP_1",21.9,NA,2022-07-22
"140","UP_2",21.9,NA,2022-07-22
"141","UP_1",21.9,NA,2022-07-22
"142","UP_2",21.9,NA,2022-07-22
"143","UP_1",21.9,NA,2022-07-22
"144","UP_2",21.9,NA,2022-07-22
"145","SW_2",21.9,10.8,2022-08-12
"146","SW_2",21.9,10.8,2022-08-12
"147","SW_2",21.9,10.8,2022-08-12
"148","UP_1",21.8,NA,2022-07-22
"149","UP_1",21.8,NA,2022-07-22
"150","UP_1",21.8,NA,2022-07-22
"151","UP_1",21.8,NA,2022-07-22
"152","UP_1",21.8,NA,2022-07-22
"153","UP_1",21.8,NA,2022-07-22
"154","UP_1",21.8,21.6,2022-09-02
"155","UP_1",21.8,21.6,2022-09-02
"156","UP_1",21.8,21.6,2022-09-02
"157","UP_2",21.8,28.2,2023-07-18
"158","UP_2",21.8,28.2,2023-07-18
"159","UP_2",21.8,28.2,2023-07-18
"160","UP_2",21.7,NA,2022-07-22
"161","UP_2",21.7,NA,2022-07-22
"162","UP_2",21.7,NA,2022-07-22
"163","UP_2",21.7,25.5,2023-07-18
"164","UP_2",21.7,25.5,2023-07-18
"165","UP_2",21.7,25.5,2023-07-18
"166","SW_2",21.6,8.3,2022-08-12
"167","SW_2",21.6,8.3,2022-08-12
"168","SW_2",21.6,8.3,2022-08-12
"169","UP_2",21.6,40.6,2023-08-18
"170","UP_2",21.6,40.6,2023-08-18
"171","UP_2",21.6,40.6,2023-08-18
"172","UP_2",21.5,25.4,2022-08-12
"173","UP_2",21.5,25.4,2022-08-12
"174","UP_2",21.5,25.4,2022-08-12
"175","SW_2",21.4,19.4,2022-09-02
"176","SW_2",21.4,31.2,2022-09-02
"177","UP_1",21.4,23.3,2022-09-02
"178","SW_2",21.4,19.4,2022-09-02
"179","SW_2",21.4,31.2,2022-09-02
"180","UP_1",21.4,23.3,2022-09-02
"181","SW_2",21.4,19.4,2022-09-02
"182","SW_2",21.4,31.2,2022-09-02
"183","UP_1",21.4,23.3,2022-09-02
