chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,NA,NA,NA,NA
SW 1-3,min_elapsed,NA,NA,NA,NA
SW 1-4,min_elapsed,NA,NA,NA,NA
SW 2-1,min_elapsed,5.566372540945432,1.091106924962133,5.101583001261415,0.014565414317451238
SW 2-3,min_elapsed,2.0731581591242865,0.34152372157698485,6.070319653204423,0.008973345610970001
SW 2-4,min_elapsed,5.573025331194739,0.1540399323196542,36.179094909168995,7.631102041587628e-4
UP 1-1,min_elapsed,5.379031615112818,0.49889034948475525,10.781991715550687,0.001706419217179623
UP 1-2,min_elapsed,4.855306072248858,1.054201431569912,4.605672053602088,0.01924829451281473
UP 1-3,min_elapsed,4.390602930055576,0.8763231433278834,5.010255592910658,0.015306210167339691
UP 1-4,min_elapsed,3.93392812911974,1.399214387847857,2.811526355993628,0.06720777592894882
UP 2-1,min_elapsed,3.189014852306796,0.5451055736475174,5.850270124680314,0.009955177112484169
UP 2-2,min_elapsed,1.7647738883959574,0.4536676264466457,3.890015036379296,0.03012104565811616
UP 2-3,min_elapsed,2.658180121947189,0.5986591416361041,4.4402230536103096,0.021239273723401366
UP 2-4,min_elapsed,3.174422259976158,0.5361211527687396,5.921091237646935,0.009624449402005502
