chamber,gas,estimate,p.value,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-1,co2,NA,NA,2023-03-22,273,SW,1,1,0.006385043,NA,umol_m2_s1
SW 1-3,co2,NA,NA,2023-03-22,273,SW,1,3,0.006955088,NA,umol_m2_s1
SW 1-4,co2,NA,NA,2023-03-22,273,SW,1,4,0.01012201,NA,umol_m2_s1
SW 2-1,co2,5.566372540945432,0.01456541431745123,2023-03-22,285.7,SW,2,1,0.007588473,0.5986602232386441,umol_m2_s1
SW 2-3,co2,2.0731581591242865,0.00897334561097,2023-03-22,285.9,SW,2,3,0.007081765,0.20793316897108505,umol_m2_s1
SW 2-4,co2,5.573025331194739,7.631102041587628e-4,2023-03-22,285.6,SW,2,4,0.008538549,0.6746536439486849,umol_m2_s1
UP 1-1,co2,5.379031615112818,0.00170641921717962,2023-03-22,286.1,UP,1,1,0.009171934,0.6982503167722554,umol_m2_s1
UP 1-2,co2,4.855306072248858,0.01924829451281473,2023-03-22,285.85,UP,1,2,0.009551964,0.6569541710245705,umol_m2_s1
UP 1-3,co2,4.390602930055576,0.01530621016733969,2023-03-22,285.7,UP,1,3,0.007968503,0.4958549401262704,umol_m2_s1
UP 1-4,co2,3.93392812911974,0.06720777592894882,2023-03-22,285.95,UP,1,4,0.007905165,0.44036342513056503,umol_m2_s1
UP 2-1,co2,3.189014852306796,0.00995517711248416,2023-03-22,286.25,UP,2,1,0.00891858,0.4023191826250639,umol_m2_s1
UP 2-2,co2,1.7647738883959574,0.03012104565811616,2023-03-22,286.45,UP,2,2,0.006765073,0.16876279578900058,umol_m2_s1
UP 2-3,co2,2.658180121947189,0.02123927372340136,2023-03-22,285.85,UP,2,3,0.008981918,0.33820441815652563,umol_m2_s1
UP 2-4,co2,3.174422259976158,0.0096244494020055,2023-03-22,286.05,UP,2,4,0.008475211,0.3808353418275554,umol_m2_s1
SW 1-1,ch4,NA,NA,2023-03-22,273,SW,1,1,0.006385043,NA,nmol_m2_s1
SW 1-3,ch4,NA,NA,2023-03-22,273,SW,1,3,0.006955088,NA,nmol_m2_s1
SW 1-4,ch4,NA,NA,2023-03-22,273,SW,1,4,0.01012201,NA,nmol_m2_s1
SW 2-1,ch4,7.76632293130812e-5,0.9629548315706902,2023-03-22,285.7,SW,2,1,0.007588473,0.008352636453273814,nmol_m2_s1
SW 2-3,ch4,0.00138777441587867,0.00351563710974887,2023-03-22,285.9,SW,2,3,0.007081765,0.13919069842338488,nmol_m2_s1
SW 2-4,ch4,0.00112758111640099,0.39489629179356944,2023-03-22,285.6,SW,2,4,0.008538549,0.13650157029962226,nmol_m2_s1
UP 1-1,ch4,0.00241975722368866,7.849605806444587e-4,2023-03-22,286.1,UP,1,1,0.009171934,0.314107885740159,nmol_m2_s1
UP 1-2,ch4,0.00205045079211516,0.03216307351717031,2023-03-22,285.85,UP,1,2,0.009551964,0.27743919339296513,nmol_m2_s1
UP 1-3,ch4,-6.418652143557899e-4,0.5094911450496484,2023-03-22,285.7,UP,1,3,0.007968503,-0.07248936934260582,nmol_m2_s1
UP 1-4,ch4,4.999736136805386e-4,0.7010942150606302,2023-03-22,285.95,UP,1,4,0.007905165,0.055966984085327805,nmol_m2_s1
UP 2-1,ch4,1.871616438658588e-4,0.8132301654692281,2023-03-22,286.25,UP,2,1,0.00891858,0.02361190620495473,nmol_m2_s1
UP 2-2,ch4,0.00233287372769463,0.05433090205850195,2023-03-22,286.45,UP,2,2,0.006765073,0.22308936861384449,nmol_m2_s1
UP 2-3,ch4,0.00244122211937378,0.05041364631377802,2023-03-22,285.85,UP,2,3,0.008981918,0.3106005118527678,nmol_m2_s1
UP 2-4,ch4,-4.822475629878355e-4,0.4020730703011106,2023-03-22,286.05,UP,2,4,0.008475211,-0.0578552254410405,nmol_m2_s1
SW 1-1,n2o,NA,NA,2023-03-22,273,SW,1,1,0.006385043,NA,nmol_m2_s1
SW 1-3,n2o,NA,NA,2023-03-22,273,SW,1,3,0.006955088,NA,nmol_m2_s1
SW 1-4,n2o,NA,NA,2023-03-22,273,SW,1,4,0.01012201,NA,nmol_m2_s1
SW 2-1,n2o,6.081462965336439e-4,0.02805595787759783,2023-03-22,285.7,SW,2,1,0.007588473,0.06540579074909514,nmol_m2_s1
SW 2-3,n2o,4.4961534352452507e-4,0.04721467839237862,2023-03-22,285.9,SW,2,3,0.007081765,0.04509542254922229,nmol_m2_s1
SW 2-4,n2o,5.017664362283432e-4,0.18206743432506867,2023-03-22,285.6,SW,2,4,0.008538549,0.060742331946304996,nmol_m2_s1
UP 1-1,n2o,6.061999251521953e-4,0.00870283242627883,2023-03-22,286.1,UP,1,1,0.009171934,0.07869061200079229,nmol_m2_s1
UP 1-2,n2o,5.55622348694224e-4,0.00962252694338914,2023-03-22,285.85,UP,1,2,0.009551964,0.0751792809881646,nmol_m2_s1
UP 1-3,n2o,5.547355315372026e-4,0.03681310824173983,2023-03-22,285.7,UP,1,3,0.007968503,0.06264933499072134,nmol_m2_s1
UP 1-4,n2o,4.841449470683672e-4,0.1017481488778034,2023-03-22,285.95,UP,1,4,0.007905165,0.05419512511490343,nmol_m2_s1
UP 2-1,n2o,4.452128145554466e-4,0.07520509136897979,2023-03-22,286.25,UP,2,1,0.00891858,0.05616708103964628,nmol_m2_s1
UP 2-2,n2o,3.3310193877724494e-4,0.1461774064676361,2023-03-22,286.45,UP,2,2,0.006765073,0.031854060647893895,nmol_m2_s1
UP 2-3,n2o,5.106066469964447e-4,0.00455570771217633,2023-03-22,285.85,UP,2,3,0.008981918,0.06496528302521026,nmol_m2_s1
UP 2-4,n2o,2.7375844965250894e-4,0.21524611182817105,2023-03-22,286.05,UP,2,4,0.008475211,0.03284279286536313,nmol_m2_s1
