chamber,term,estimate,std.error,statistic,p.value
SW 1-1,min_elapsed,-8.324670961521282e-4,6.520570777947145e-4,-1.27667826100066,0.2915735002091191
SW 1-2,min_elapsed,8.626141950038203e-4,3.3365400872724035e-4,2.5853554054223906,0.08140092035766948
SW 1-3,min_elapsed,-2.9372072958431335e-4,6.158104137557785e-4,-0.47696616202531245,0.6659768688124028
SW 1-4,min_elapsed,-2.61192368102179e-4,6.964046423849861e-4,-0.37505833850801173,0.7325630289944621
SW 2-1,min_elapsed,-0.001657032219880285,0.002153046420654253,-0.7696221521209735,0.49757022202730705
SW 2-2,min_elapsed,-0.0011266210937154867,0.0013308830990939593,-0.8465214521714715,0.45944360749775065
SW 2-3,min_elapsed,0.0010812018110559502,0.0014860549437909361,0.7275651654559939,0.5195201148063123
SW 2-4,min_elapsed,0.0015273483588204796,0.0014899723963566545,1.0250850032894692,0.38075919756086235
UP 1-1,min_elapsed,-5.113117738850982e-4,9.721584923623743e-4,-0.5259551584460218,0.635321656412054
UP 1-2,min_elapsed,-5.5908952586640916e-5,0.0013658481800361741,-0.04093350447277397,0.9699207666458798
UP 1-3,min_elapsed,7.585702199959076e-4,8.591309586343913e-4,0.8829506286232226,0.4422842544438114
UP 1-4,min_elapsed,3.901093548438484e-4,0.0013423771355918054,0.29061084586476016,0.7902808624632378
UP 2-1,min_elapsed,2.978393428890889e-4,0.001334335664031976,0.223211708206243,0.8377059016130977
UP 2-2,min_elapsed,-1.4687069334824937e-5,4.598119783365562e-4,-0.03194146744057815,0.9765249833077497
UP 2-3,min_elapsed,2.540051976189404e-4,4.942920086376528e-4,0.5138768039544459,0.6427933594445635
UP 2-4,min_elapsed,-0.0010094348190499425,5.793283085310778e-4,-1.7424227405862938,0.17979536716672825
