DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES
11/2/22,JWP,SW-1,1,T0,12/19/22,221102_001,
11/2/22,JWP,SW-1,1,T1,12/19/22,221102_002,
11/2/22,JWP,SW-1,1,T2,12/19/22,221102_003,
11/2/22,JWP,SW-1,1,T3,12/19/22,221102_004,
11/2/22,JWP,SW-1,1,T4,12/19/22,221102_005,
N/A,STD,STD,STD,STD,12/20/22,221102_006,
N/A,STD,STD,STD,STD,12/20/22,221102_007,
N/A,STD,STD,STD,STD,12/20/22,221102_008,
N/A,STD,STD,STD,STD,12/20/22,221102_009,
N/A,STD,STD,STD,STD,12/20/22,221102_010,
N/A,STD,STD,STD,STD,12/20/22,221102_011,
11/2/22,JWP,SW-1,2,T0,12/20/22,221102_012,
11/2/22,JWP,SW-1,2,T1,12/20/22,221102_013,
11/2/22,JWP,SW-1,2,T2,12/20/22,221102_014,
11/2/22,JWP,SW-1,2,T3,12/20/22,221102_015,
11/2/22,JWP,SW-1,2,T4,12/20/22,221102_016,
11/2/22,JWP,SW-1,3,T0,12/20/22,221102_017,
11/2/22,JWP,SW-1,3,T1,12/20/22,221102_018,
11/2/22,JWP,SW-1,3,T2,12/20/22,221102_019,
11/2/22,JWP,SW-1,3,T3,12/20/22,221102_020,
11/2/22,JWP,SW-1,3,T4,12/20/22,221102_021,
N/A,STD,STD,STD,STD,12/20/22,221102_022,
11/2/22,JWP,SW-1,4,T0,12/20/22,221102_023,
11/2/22,JWP,SW-1,4,T1,12/20/22,221102_024,
11/2/22,JWP,SW-1,4,T2,12/20/22,221102_025,
11/2/22,JWP,SW-1,4,T3,12/20/22,221102_026,
11/2/22,JWP,SW-1,4,T4,12/20/22,221102_027,
11/2/22,JWP,UP-1,1,T0,12/20/22,221102_028,
11/2/22,JWP,UP-1,1,T1,12/20/22,221102_029,
11/2/22,JWP,UP-1,1,T2,12/20/22,221102_030,
11/2/22,JWP,UP-1,1,T3,12/20/22,221102_031,
11/2/22,JWP,UP-1,1,T4,12/20/22,221102_032,
N/A,STD,STD,STD,STD,12/21/22,221102_033,
N/A,STD,STD,STD,STD,12/21/22,221102_034,
N/A,STD,STD,STD,STD,12/21/22,221102_035,
N/A,STD,STD,STD,STD,12/21/22,221102_036,
N/A,STD,STD,STD,STD,12/21/22,221102_037,
11/2/22,JWP,UP-1,2,T0,12/21/22,221102_038,not very pressurized
11/2/22,JWP,UP-1,2,T1,12/21/22,221102_039,not very pressurized
11/2/22,JWP,UP-1,2,T2,12/21/22,221102_040,not very pressurized
11/2/22,JWP,UP-1,2,T3,12/21/22,221102_041,not very pressurized
11/2/22,JWP,UP-1,2,T4,12/21/22,221102_042,not very pressurized
11/2/22,JWP,UP-1,3,T0,12/21/22,221102_043,not very pressurized
11/2/22,JWP,UP-1,3,T1,12/21/22,221102_044,not very pressurized
11/2/22,JWP,UP-1,3,T2,12/21/22,221102_045,not very pressurized
11/2/22,JWP,UP-1,3,T3,12/21/22,221102_046,not very pressurized
11/2/22,JWP,UP-1,3,T4,12/21/22,221102_047,not very pressurized
N/A,STD,STD,STD,STD,12/21/22,221102_048,
11/2/22,JWP,UP-1,4,T0,12/21/22,221102_049,not very pressurized
11/2/22,JWP,UP-1,4,T1,12/21/22,221102_050,not very pressurized
11/2/22,JWP,UP-1,4,T2,12/21/22,221102_051,not very pressurized
11/2/22,JWP,UP-1,4,T3,12/21/22,221102_052,not very pressurized
11/2/22,JWP,UP-1,4,T4,12/21/22,221102_053,not very pressurized
11/2/22,JWP,SW-2,1,T0,12/21/22,221102_054,
11/2/22,JWP,SW-2,1,T1,12/21/22,221102_055,
11/2/22,JWP,SW-2,1,T2,12/21/22,221102_056,
11/2/22,JWP,SW-2,1,T3,12/21/22,221102_057,
11/2/22,JWP,SW-2,1,T4,12/21/22,221102_058,
N/A,STD,STD,STD,STD,12/21/22,221102_059,
11/2/22,JWP,SW-2,2,T0,12/21/22,221102_060,
11/2/22,JWP,SW-2,2,T1,12/21/22,221102_061,
N/A,STD,STD,STD,STD,1/3/23,221102_062,
N/A,STD,STD,STD,STD,1/3/23,221102_063,
N/A,STD,STD,STD,STD,1/3/23,221102_064,
N/A,STD,STD,STD,STD,1/3/23,221102_065,
N/A,STD,STD,STD,STD,1/3/23,221102_066,
11/2/22,JWP,SW-2,2,T2,1/3/23,221102_067,
11/2/22,JWP,SW-2,2,T3,1/3/23,221102_068,
11/2/22,JWP,SW-2,2,T4,1/3/23,221102_069,
11/2/22,JWP,SW-2,3,T0,1/3/23,221102_070,
11/2/22,JWP,SW-2,3,T1,1/3/23,221102_071,
11/2/22,JWP,SW-2,3,T2,1/3/23,221102_072,
11/2/22,JWP,SW-2,3,T3,1/3/23,221102_073,
11/2/22,JWP,SW-2,3,T4,1/3/23,221102_074,
N/A,STD,STD,STD,STD,1/3/23,221102_075,
11/2/22,JWP,SW-2,4,T0,1/3/23,221102_076,
11/2/22,JWP,SW-2,4,T1,1/3/23,221102_077,
11/2/22,JWP,SW-2,4,T2,1/3/23,221102_078,
11/2/22,JWP,SW-2,4,T3,1/3/23,221102_079,
11/2/22,JWP,SW-2,4,T4,1/3/23,221102_080,
11/2/22,JWP,UP-2,1,T0,1/3/23,221102_081,
11/2/22,JWP,UP-2,1,T1,1/3/23,221102_082,
11/2/22,JWP,UP-2,1,T2,1/3/23,221102_083,
11/2/22,JWP,UP-2,1,T3,1/3/23,221102_084,
11/2/22,JWP,UP-2,1,T4,1/3/23,221102_085,
N/A,STD,STD,STD,STD,1/3/23,221102_086,
11/2/22,JWP,UP-2,2,T0,1/3/23,221102_087,
11/2/22,JWP,UP-2,2,T1,1/3/23,221102_088,
11/2/22,JWP,UP-2,2,T2,1/3/23,221102_089,
11/2/22,JWP,UP-2,2,T3,1/3/23,221102_090,
11/2/22,JWP,UP-2,2,T4,1/3/23,221102_091,
11/2/22,JWP,UP-2,3,T0,1/3/23,221102_092,
11/2/22,JWP,UP-2,3,T1,1/3/23,221102_093,
N/A,STD,STD,STD,STD,1/4/23,221102_094,
N/A,STD,STD,STD,STD,1/4/23,221102_095,
N/A,STD,STD,STD,STD,1/4/23,221102_096,
N/A,STD,STD,STD,STD,1/4/23,221102_097,
N/A,STD,STD,STD,STD,1/4/23,221102_098,
11/2/22,JWP,UP-2,3,T2,1/4/23,221102_099,
11/2/22,JWP,UP-2,3,T3,1/4/23,221102_100,
11/2/22,JWP,UP-2,3,T4,1/4/23,221102_101,
11/2/22,JWP,UP-2,4,T0,1/4/23,221102_102,
11/2/22,JWP,UP-2,4,T1,1/4/23,221102_103,
11/2/22,JWP,UP-2,4,T2,1/4/23,221102_104,
11/2/22,JWP,UP-2,4,T3,1/4/23,221102_105,less than 4 mL of gas
11/2/22,JWP,UP-2,4,T4,1/4/23,221102_106,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
