ecosystem_name,ecosystem_block,rep,h_cm_1,h_cm_2,h_cm_3,h_cm_4,mean_h_cm,diameter_cm,radius_cm,lid_h_cm,vol_cm3,total_vol_m3
SW,1,1,10,4,8.5,8.5,7.75,25.4,12.70,15.24,11649.20,0.01164920494
SW,1,2,10.5,9,11,10.5,10.25,25.4,12.70,15.24,12915.97,0.01291597364
SW,1,3,8,11,9.5,7,8.875,25.4,12.70,15.24,12219.25,0.01221925086
SW,1,4,15,13.5,16.5,15.5,15.125,25.4,12.70,15.24,15386.17,0.0153861726
SW,2,1,11,11,8,10.5,10.125,25.4,12.70,15.24,12852.64,0.01285263521
SW,2,2,8,8.5,11,9.5,9.25,25.4,12.70,15.24,12409.27,0.01240926616
SW,2,3,10,9,8,9.5,9.125,25.4,12.70,15.24,12345.93,0.01234592773
SW,2,4,12,13,12,11,12,25.4,12.70,15.24,13802.71,0.01380271173
UP,1,1,14,12.5,11.5,15,13.25,25.4,12.70,15.24,14436.10,0.01443609608
UP,1,2,15,14,12.5,14.5,14,25.4,12.70,15.24,14816.13,0.01481612669
UP,1,3,11,10.5,11.5,10.5,10.875,25.4,12.70,15.24,13232.67,0.01323266582
UP,1,4,11,10.5,11.5,10,10.75,25.4,12.70,15.24,13169.33,0.01316932738
UP,2,1,13,12,12,14,12.75,25.4,12.70,15.24,14182.74,0.01418274234
UP,2,2,10,10,8.5,5.5,8.5,25.4,12.70,15.24,12029.24,0.01202923555
UP,2,3,13,12.5,13.5,12.5,12.875,25.4,12.70,15.24,14246.08,0.01424608077
UP,2,4,12,13,11.5,11,11.875,25.4,12.70,15.24,13739.37,0.0137393733
