DATE COLLECTED,SITE ,ECOSYSTEM,CHAMBER #,TIME POINT,GC RUN DATE,FILENAME,NOTES,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_001,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_002,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_003,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_004,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_005,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_006,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_007,,,,,,,
N/A,STD,STD,STD,STD,11/1/22,220916_008,,,,,,,
9/16/22,JWP,SW-1,1,T0,11/1/22,220916_009,,,,,,,
9/16/22,JWP,SW-1,1,T1,11/1/22,220916_010,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_011,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_012,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_013,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_014,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_015,,,,,,,
N/A,STD,STD,STD,STD,11/10/22,220916_016,,,,,,,
9/16/22,JWP,SW-1,1,T2,11/10/22,220916_017,,,,,,,
9/16/22,JWP,SW-1,1,T3,11/10/22,220916_018,,,,,,,
9/16/22,JWP,SW-1,1,T4,11/10/22,220916_019,,,,,,,
9/16/22,JWP,SW-1,2,T0,11/10/22,220916_020,,,,,,,
9/16/22,JWP,SW-1,2,T1,11/10/22,220916_021,,,,,,,
9/16/22,JWP,SW-1,2,T2,11/10/22,220916_022,,,,,,,
9/16/22,JWP,SW-1,2,T3,11/10/22,220916_023,,,,,,,
9/16/22,JWP,SW-1,2,T4,11/10/22,220916_024,,,,,,,
9/16/22,JWP,SW-1,3,T0,11/10/22,220916_025,,,,,,,
N/A,STD,STD,STD,STD,11/14/22,220916_026,,,,,,,
N/A,STD,STD,STD,STD,11/14/22,220916_027,,,,,,,
N/A,STD,STD,STD,STD,11/14/22,220916_028,,,,,,,
N/A,STD,STD,STD,STD,11/14/22,220916_029,,,,,,,
N/A,STD,STD,STD,STD,11/14/22,220916_030,,,,,,,
9/16/22,JWP,SW-1,3,T1,11/14/22,220916_031,,,,,,,
9/16/22,JWP,SW-1,3,T2,11/14/22,220916_032,,,,,,,
9/16/22,JWP,SW-1,3,T3,11/14/22,220916_033,,,,,,,
9/16/22,JWP,SW-1,3,T4,11/14/22,220916_034,,,,,,,
9/16/22,JWP,SW-1,4,T0,11/14/22,220916_035,,,,,,,
9/16/22,JWP,SW-1,4,T1,11/14/22,220916_036,,,,,,,
9/16/22,JWP,SW-1,4,T2,11/14/22,220916_037,,,,,,,
9/16/22,JWP,SW-1,4,T3,11/14/22,220916_038,,,,,,,
9/16/22,JWP,SW-1,4,T4,11/14/22,220916_039,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_040,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_041,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_042,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_043,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_044,,,,,,,
N/A,STD,STD,STD,STD,11/15/22,220916_045,,,,,,,
9/16/22,JWP,UP-1,1,T0,11/15/22,220916_046,,,,,,,
9/16/22,JWP,UP-1,1,T1,11/15/22,220916_047,,,,,,,
9/16/22,JWP,UP-1,1,T2,11/15/22,220916_048,,,,,,,
9/16/22,JWP,UP-1,1,T3,11/15/22,220916_049,,,,,,,
9/16/22,JWP,UP-1,1,T4,11/15/22,220916_050,,,,,,,
9/16/22,JWP,UP-1,2,T0,11/15/22,220916_051,,,,,,,
9/16/22,JWP,UP-1,2,T1,11/15/22,220916_052,,,,,,,
9/16/22,JWP,UP-1,2,T2,11/15/22,220916_053,,,,,,,
9/16/22,JWP,UP-1,2,T3,11/15/22,220916_054,,,,,,,
9/16/22,JWP,UP-1,2,T4,11/15/22,220916_055,,,,,,,
N/A,STD,N/A,N/A,N/A,11/15/22,220916_056,,,,,,,
9/16/22,JWP,UP-1,3,T0,11/15/22,220916_057,,,,,,,
9/16/22,JWP,UP-1,3,T1,11/15/22,220916_058,,,,,,,
9/16/22,JWP,UP-1,3,T2,11/15/22,220916_059,,,,,,,
9/16/22,JWP,UP-1,3,T3,11/15/22,220916_060,,,,,,,
9/16/22,JWP,UP-1,3,T4,11/15/22,220916_061,,,,,,,
9/16/22,JWP,UP-1,4,T0,11/15/22,220916_062,,,,,,,
9/16/22,JWP,UP-1,4,T1,11/15/22,220916_063,,,,,,,
9/16/22,JWP,UP-1,4,T2,11/15/22,220916_064,,,,,,,
9/16/22,JWP,UP-1,4,T3,11/15/22,220916_065,less than 5 ml pulled ,,,,,,
9/16/22,JWP,UP-1,4,T4,11/15/22,220916_066,less than 5 ml pulled ,,,,,,
N/A,STD,N/A,N/A,N/A,11/15/22,220916_067,,,,,,,
9/16/22,JWP,SW-1,1,T0,11/15/22,220916_068,less than 5 ml pulled ,All of these were accidently re-ran twice - JB,,,,,
9/16/22,JWP,SW-1,1,T1,11/15/22,220916_069,less than 5 ml pulled ,,,,,,
9/16/22,JWP,SW-1,1,T2,11/15/22,220916_070,less than 5 ml pulled ,,,,,,
9/16/22,JWP,SW-1,1,T3,11/15/22,220916_071,less than 5 ml pulled ,,,,,,
9/16/22,JWP,SW-1,1,T4,11/15/22,220916_072,less than 5 ml pulled ,,,,,,
N/A,STD,STD,STD,STD,11/16/22,220916_073,,,,,,,
N/A,STD,STD,STD,STD,11/16/22,220916_074,,,,,,,
N/A,STD,STD,STD,STD,11/16/22,220916_075,,,,,,,
N/A,STD,STD,STD,STD,11/16/22,220916_076,,,,,,,
N/A,STD,STD,STD,STD,11/16/22,220916_077,,,,,,,
9/16/22,JWP,SW-2,1,T0,11/16/22,220916_078,,,,,,,
9/16/22,JWP,SW-2,1,T1,11/16/22,220916_079,,,,,,,
9/16/22,JWP,SW-2,1,T2,11/16/22,220916_080,,,,,,,
9/16/22,JWP,SW-2,1,T3,11/16/22,220916_081,,,,,,,
9/16/22,JWP,SW-2,1,T4,11/16/22,220916_082,,,,,,,
9/16/22,JWP,SW-2,2,T0,11/16/22,220916_083,,,,,,,
9/16/22,JWP,SW-2,2,T1,11/16/22,220916_084,,,,,,,
9/16/22,JWP,SW-2,2,T2,11/16/22,220916_085,,,,,,,
9/16/22,JWP,SW-2,2,T3,11/16/22,220916_086,,,,,,,
9/16/22,JWP,SW-2,2,T4,11/16/22,220916_087,,,,,,,
N/A,STD,N/A,N/A,N/A,11/16/22,220916_088,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_089,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_090,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_091,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_092,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_093,,,,,,,
9/16/22,JWP,SW-2,3,T0,11/28/22,220916_094,,,,,,,
9/16/22,JWP,SW-2,3,T1,11/28/22,220916_095,,,,,,,
9/16/22,JWP,SW-2,3,T2,11/28/22,220916_096,,,,,,,
9/16/22,JWP,SW-2,3,T3,11/28/22,220916_097,,,,,,,
9/16/22,JWP,SW-2,3,T4,11/28/22,220916_098,,,,,,,
9/16/22,JWP,SW-2,4,T0,11/28/22,220916_099,,,,,,,
9/16/22,JWP,SW-2,4,T1,11/28/22,220916_100,,,,,,,
9/16/22,JWP,SW-2,4,T2,11/28/22,220916_101,,,,,,,
9/16/22,JWP,SW-2,4,T3,11/28/22,220916_102,,,,,,,
9/16/22,JWP,SW-2,4,T4,11/28/22,220916_103,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_104,,,,,,,
9/16/22,JWP,UP-2,1,T0,11/28/22,220916_105,less than 5 ml pulled ,,,,,,
9/16/22,JWP,UP-2,1,T1,11/28/22,220916_106,,,,,,,
9/16/22,JWP,UP-2,1,T2,11/28/22,220916_107,,,,,,,
9/16/22,JWP,UP-2,1,T3,11/28/22,220916_108,"less than 5 ml pulled , minimal bubbling",,,,,,
9/16/22,JWP,UP-2,1,T4,11/28/22,220916_109,less than 5 ml pulled,,,,,,
9/16/22,JWP,UP-2,2,T0,11/28/22,220916_110,slightly less than 5 mL pulled,,,,,,
9/16/22,JWP,UP-2,2,T1,11/28/22,220916_111,,,,,,,
9/16/22,JWP,UP-2,2,T2,11/28/22,220916_112,,,,,,,
9/16/22,JWP,UP-2,2,T3,11/28/22,220916_113,,,,,,,
9/16/22,JWP,UP-2,2,T4,11/28/22,220916_114,,,,,,,
N/A,STD,N/A,N/A,N/A,11/28/22,220916_115,,,,,,,
9/16/22,JWP,UP-2,3,T0,11/28/22,220916_116,,,,,,,
9/16/22,JWP,UP-2,3,T1,11/28/22,220916_117,,,,,,,
9/16/22,JWP,UP-2,3,T2,11/28/22,220916_118,,,,,,,
9/16/22,JWP,UP-2,3,T3,11/28/22,220916_119,,,,,,,
9/16/22,JWP,UP-2,3,T4,11/28/22,220916_120,,,,,,,
9/16/22,JWP,UP-2,4,T0,11/28/22,220916_121,,,,,,,
9/16/22,JWP,UP-2,4,T1,11/28/22,220916_122,,,,,,,
9/16/22,JWP,UP-2,4,T2,11/28/22,220916_123,,,,,,,
9/16/22,JWP,UP-2,4,T3,11/28/22,220916_124,,,,,,,
N/A,STD,N/A,N/A,N/A,11/29/22,220916_125,,,,,,,
N/A,STD,N/A,N/A,N/A,11/29/22,220916_126,,,,,,,
N/A,STD,N/A,N/A,N/A,11/29/22,220916_127,,,,,,,
N/A,STD,N/A,N/A,N/A,11/29/22,220916_128,,,,,,,
N/A,STD,N/A,N/A,N/A,11/29/22,220916_129,,,,,,,
9/16/22,JWP,UP-2,4,T4,11/29/22,220916_130,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
