CHAMBER,FILENAME,TIMEPOINT,NOTES
STD,032223_001,STD,
STD,032223_002,STD,
STD,032223_003,STD,
STD,032223_004,STD,
STD,032223_005,STD,
STD,032223_006,STD,
SW 1-1,032223_007,T0,
SW 1-3,032223_008,T0,
SW 1-4,032223_009,T0,
UP 1-1,032223_010,T0,
UP 1-2,032223_011,T0,
UP 1-3,032223_012,T0,
UP 1-4,032223_013,T0,
STD,032223_014,STD,
SW 2-1,032223_015,T0,
SW 2-3,032223_016,T0,
SW 2-4,032223_017,T0,
UP 2-1,032223_018,T0,
UP 2-2,032223_019,T0,
UP 2-3,032223_020,T0,
UP 2-4,032223_021,T0,
STD,032223_022,STD,
SW 1-1,032223_023,T1,
SW 1-3,032223_024,T1,
SW 1-4,032223_025,T1,
UP 1-1,032223_026,T1,
UP 1-2,032223_027,T1,
UP 1-3,032223_028,T1,
UP 1-4,032223_029,T1,
STD,032223_030,STD,
SW 2-1,032223_031,T1,
SW 2-3,032223_032,T1,
SW 2-4,032223_033,T1,
UP 2-1,032223_034,T1,
UP 2-2,032223_035,T1,
UP 2-3,032223_036,T1,
UP 2-4,032223_037,T1,
STD,032223_038,STD,
SW 1-1,032223_039,T2,
SW 1-3,032223_040,T2,
SW 1-4,032223_041,T2,
UP 1-1,032223_042,T2,
UP 1-2,032223_043,T2,
UP 1-3,032223_044,T2,
UP 1-4,032223_045,T2,
STD,032223_046,STD,
SW 2-1,032223_047,T2,
SW 2-3,032223_048,T2,
SW 2-4,032223_049,T2,
UP 2-1,032223_050,T2,
UP 2-2,032223_051,T2,
UP 2-3,032223_052,T2,
UP 2-4,032223_053,T2,
STD,032223_054,STD,
SW 1-1,032223_055,T3,
SW 1-3,032223_056,T3,
SW 1-4,032223_057,T3,
UP 1-1,032223_058,T3,
UP 1-2,032223_059,T3,
UP 1-3,032223_060,T3,
UP 1-4,032223_061,T3,
STD,032223_062,STD,
SW 2-1,032223_063,T3,
SW 2-3,032223_064,T3,
SW 2-4,032223_065,T3,
UP 2-1,032223_066,T3,
UP 2-2,032223_067,T3,
UP 2-3,032223_068,T3,
UP 2-4,032223_069,T3,
STD,032223_070,STD,
SW 1-1,032223_071,T4,
SW 1-3,032223_072,T4,
SW 1-4,032223_073,T4,
UP 1-1,032223_074,T4,
UP 1-2,032223_075,T4,
UP 1-3,032223_076,T4,
UP 1-4,032223_077,T4,
STD,032223_078,STD,
SW 2-1,032223_079,T4,
SW 2-3,032223_080,T4,
SW 2-4,032223_081,T4,
UP 2-1,032223_082,T4,
UP 2-2,032223_083,T4,
UP 2-3,032223_084,T4,
UP 2-4,032223_085,T4,
