date_collected,site,ecosystem,chamber_no,timepoint,gc_run_date,filename,notes
NA,STD,STD,STD,STD,NA,05182023_001,
NA,STD,STD,STD,STD,NA,05182023_002,
NA,STD,STD,STD,STD,NA,05182023_003,
NA,STD,STD,STD,STD,NA,05182023_004,
NA,STD,STD,STD,STD,NA,05182023_005,
NA,STD,STD,STD,STD,NA,05182023_006,
20230518,JWP,SW-1,1,T0,NA,05182023_007,
20230518,JWP,SW-1,2,T0,NA,05182023_008,
20230518,JWP,SW-1,3,T0,NA,05182023_009,
20230518,JWP,SW-1,4,T0,NA,05182023_010,
20230518,JWP,UP-1,1,T0,NA,05182023_011,
20230518,JWP,UP-1,2,T0,NA,05182023_012,
20230518,JWP,UP-1,3,T0,NA,05182023_013,
20230518,JWP,UP-1,4,T0,NA,05182023_014,
NA,,,STD,STD,NA,05182023_015,
20230518,JWP,SW-2,1,T0,NA,05182023_016,
20230518,JWP,SW-2,2,T0,NA,05182023_017,
20230518,JWP,SW-2,3,T0,NA,05182023_018,
20230518,JWP,SW-2,4,T0,NA,05182023_019,
20230518,JWP,UP-2,1,T0,NA,05182023_020,
20230518,JWP,UP-2,2,T0,NA,05182023_021,
20230518,JWP,UP-2,3,T0,NA,05182023_022,
20230518,JWP,UP-2,4,T0,NA,05182023_023,
NA,,,STD,STD,NA,05182023_024,
20230518,JWP,SW-1,1,T1,NA,05182023_025,
20230518,JWP,SW-1,2,T1,NA,05182023_026,
20230518,JWP,SW-1,3,T1,NA,05182023_027,
20230518,JWP,SW-1,4,T1,NA,05182023_028,
20230518,JWP,UP-1,1,T1,NA,05182023_029,
20230518,JWP,UP-1,2,T1,NA,05182023_030,
20230518,JWP,UP-1,3,T1,NA,05182023_031,
20230518,JWP,UP-1,4,T1,NA,05182023_032,
NA,,,STD,STD,NA,05182023_033,
20230518,JWP,SW-2,1,T1,NA,05182023_034,
20230518,JWP,SW-2,2,T1,NA,05182023_035,
20230518,JWP,SW-2,3,T1,NA,05182023_036,
20230518,JWP,SW-2,4,T1,NA,05182023_037,
20230518,JWP,UP-2,1,T1,NA,05182023_038,
20230518,JWP,UP-2,2,T1,NA,05182023_039,
20230518,JWP,UP-2,3,T1,NA,05182023_040,
20230518,JWP,UP-2,4,T1,NA,05182023_041,
NA,,,STD,STD,NA,05182023_042,
20230518,JWP,SW-1,1,T2,NA,05182023_043,
20230518,JWP,SW-1,2,T2,NA,05182023_044,
20230518,JWP,SW-1,3,T2,NA,05182023_045,
20230518,JWP,SW-1,4,T2,NA,05182023_046,
20230518,JWP,UP-1,1,T2,NA,05182023_047,
20230518,JWP,UP-1,2,T2,NA,05182023_048,
20230518,JWP,UP-1,3,T2,NA,05182023_049,
20230518,JWP,UP-1,4,T2,NA,05182023_050,
NA,,,STD,STD,NA,05182023_051,
20230518,JWP,SW-2,1,T2,NA,05182023_052,
20230518,JWP,SW-2,2,T2,NA,05182023_053,
20230518,JWP,SW-2,3,T2,NA,05182023_054,
20230518,JWP,SW-2,4,T2,NA,05182023_055,
20230518,JWP,UP-2,1,T2,NA,05182023_056,
20230518,JWP,UP-2,2,T2,NA,05182023_057,
20230518,JWP,UP-2,3,T2,NA,05182023_058,
20230518,JWP,UP-2,4,T2,NA,05182023_059,
NA,,,STD,STD,NA,05182023_060,
20230518,JWP,SW-1,1,T3,NA,05182023_061,
20230518,JWP,SW-1,2,T3,NA,05182023_062,
20230518,JWP,SW-1,3,T3,NA,05182023_063,
20230518,JWP,SW-1,4,T3,NA,05182023_064,
20230518,JWP,UP-1,1,T3,NA,05182023_065,
20230518,JWP,UP-1,2,T3,NA,05182023_066,
20230518,JWP,UP-1,3,T3,NA,05182023_067,
20230518,JWP,UP-1,4,T3,NA,05182023_068,
NA,,,STD,STD,NA,05182023_069,
20230518,JWP,SW-2,1,T3,NA,05182023_070,
20230518,JWP,SW-2,2,T3,NA,05182023_071,
20230518,JWP,SW-2,3,T3,NA,05182023_072,
20230518,JWP,SW-2,4,T3,NA,05182023_073,
20230518,JWP,UP-2,1,T3,NA,05182023_074,
20230518,JWP,UP-2,2,T3,NA,05182023_075,
20230518,JWP,UP-2,3,T3,NA,05182023_076,
20230518,JWP,UP-2,4,T3,NA,05182023_077,
NA,,,STD,STD,NA,05182023_078,
20230518,JWP,SW-1,1,T4,NA,05182023_079,
20230518,JWP,SW-1,2,T4,NA,05182023_080,
20230518,JWP,SW-1,3,T4,NA,05182023_081,
20230518,JWP,SW-1,4,T4,NA,05182023_082,
20230518,JWP,UP-1,1,T4,NA,05182023_083,
20230518,JWP,UP-1,2,T4,NA,05182023_084,
20230518,JWP,UP-1,3,T4,NA,05182023_085,
20230518,JWP,UP-1,4,T4,NA,05182023_086,
NA,,,STD,STD,NA,05182023_087,
20230518,JWP,SW-2,1,T4,NA,05182023_088,
20230518,JWP,SW-2,2,T4,NA,05182023_089,
20230518,JWP,SW-2,3,T4,NA,05182023_090,
20230518,JWP,SW-2,4,T4,NA,05182023_091,
20230518,JWP,UP-2,1,T4,NA,05182023_092,
20230518,JWP,UP-2,2,T4,NA,05182023_093,
20230518,JWP,UP-2,3,T4,NA,05182023_094,
20230518,JWP,UP-2,4,T4,NA,05182023_095,
