date,chamber,ecosystem_name,ecosystem_block,rep,temp_start,temp_end,average_temp_kelvin
230602,SW 1-1,SW,1,1,34.8,43.4,312.1
230602,SW 1-2,SW,1,2,34.8,43.4,312.1
230602,SW 1-3,SW,1,3,34.8,42.3,311.55
230602,SW 1-4,SW,1,4,34.8,44.4,312.6
230602,SW 2-1,SW,2,1,29.3,41.8,308.55
230602,SW 2-2,SW,2,2,29.3,43.7,309.5
230602,SW 2-3,SW,2,3,29.3,45.2,310.25
230602,SW 2-4,SW,2,4,29.3,44.7,310
230602,UP 1-1,UP,1,1,32.4,40.1,309.25
230602,UP 1-2,UP,1,2,32.4,41.2,309.8
230602,UP 1-3,UP,1,3,32.4,41.2,309.8
230602,UP 1-4,UP,1,4,32.4,42.3,310.35
230602,UP 2-1,UP,2,1,29.2,42.8,309
230602,UP 2-2,UP,2,2,29.2,42.2,308.7
230602,UP 2-3,UP,2,3,29.2,41.9,308.55
230602,UP 2-4,UP,2,4,29.2,45.6,310.4
