chamber,date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
SW 1-1,230602,SW,1,1,0,0:00:15,0.25
SW 1-1,230602,SW,1,1,1,0:07:15,7.25
SW 1-1,230602,SW,1,1,2,0:12:14,12.23
SW 1-1,230602,SW,1,1,3,0:22:20,22.33
SW 1-1,230602,SW,1,1,4,0:32:20,32.33
SW 1-2,230602,SW,1,2,0,0:00:10,0.17
SW 1-2,230602,SW,1,2,1,0:06:10,6.17
SW 1-2,230602,SW,1,2,2,0:11:09,11.15
SW 1-2,230602,SW,1,2,3,0:21:16,21.27
SW 1-2,230602,SW,1,2,4,0:31:12,31.2
SW 1-3,230602,SW,1,3,0,0:00:14,0.23
SW 1-3,230602,SW,1,3,1,0:05:20,5.33
SW 1-3,230602,SW,1,3,2,0:10:45,10.75
SW 1-3,230602,SW,1,3,3,0:20:58,20.97
SW 1-3,230602,SW,1,3,4,0:31:07,31.12
SW 1-4,230602,SW,1,4,0,0:00:11,0.18
SW 1-4,230602,SW,1,4,1,0:05:13,5.22
SW 1-4,230602,SW,1,4,2,0:10:29,10.48
SW 1-4,230602,SW,1,4,3,0:20:44,20.73
SW 1-4,230602,SW,1,4,4,0:30:54,30.9
SW 2-1,230602,SW,2,1,0,0:08:58,8.97
SW 2-1,230602,SW,2,1,1,0:07:13,7.22
SW 2-1,230602,SW,2,1,2,0:12:54,12.9
SW 2-1,230602,SW,2,1,3,0:19:23,19.38
SW 2-1,230602,SW,2,1,4,0:29:28,29.47
SW 2-2,230602,SW,2,2,0,0:01:24,1.4
SW 2-2,230602,SW,2,2,1,0:07:51,7.85
SW 2-2,230602,SW,2,2,2,0:12:08,12.13
SW 2-2,230602,SW,2,2,3,0:19:27,19.45
SW 2-2,230602,SW,2,2,4,0:29:21,29.35
SW 2-3,230602,SW,2,3,0,0:01:33,1.55
SW 2-3,230602,SW,2,3,1,0:07:04,7.07
SW 2-3,230602,SW,2,3,2,0:11:00,11
SW 2-3,230602,SW,2,3,3,0:19:48,19.8
SW 2-3,230602,SW,2,3,4,0:29:27,29.45
SW 2-4,230602,SW,2,4,0,0:01:12,1.2
SW 2-4,230602,SW,2,4,1,0:05:37,5.62
SW 2-4,230602,SW,2,4,2,0:10:12,10.2
SW 2-4,230602,SW,2,4,3,0:20:21,20.35
SW 2-4,230602,SW,2,4,4,0:30:07,30.12
UP 1-1,230602,UP,1,1,0,0:00:17,0.28
UP 1-1,230602,UP,1,1,1,0:07:56,7.93
UP 1-1,230602,UP,1,1,2,0:13:24,13.4
UP 1-1,230602,UP,1,1,3,0:23:25,23.42
UP 1-1,230602,UP,1,1,4,0:33:29,33.48
UP 1-2,230602,UP,1,2,0,0:00:15,0.25
UP 1-2,230602,UP,1,2,1,0:05:59,5.98
UP 1-2,230602,UP,1,2,2,0:11:33,11.55
UP 1-2,230602,UP,1,2,3,0:21:38,21.63
UP 1-2,230602,UP,1,2,4,0:31:36,31.6
UP 1-3,230602,UP,1,3,0,0:00:11,0.18
UP 1-3,230602,UP,1,3,1,0:05:23,5.38
UP 1-3,230602,UP,1,3,2,0:10:28,10.47
UP 1-3,230602,UP,1,3,3,0:20:59,20.98
UP 1-3,230602,UP,1,3,4,0:31:11,31.18
UP 1-4,230602,UP,1,4,0,0:00:15,0.25
UP 1-4,230602,UP,1,4,1,0:05:25,5.42
UP 1-4,230602,UP,1,4,2,0:10:27,10.45
UP 1-4,230602,UP,1,4,3,0:20:35,20.58
UP 1-4,230602,UP,1,4,4,0:30:40,30.67
UP 2-1,230602,UP,2,1,0,0:00:23,0.38
UP 2-1,230602,UP,2,1,1,0:06:33,6.55
UP 2-1,230602,UP,2,1,2,0:10:25,10.42
UP 2-1,230602,UP,2,1,3,0:20:27,20.45
UP 2-1,230602,UP,2,1,4,0:30:26,30.43
UP 2-2,230602,UP,2,2,0,0:00:31,0.52
UP 2-2,230602,UP,2,2,1,0:05:45,5.75
UP 2-2,230602,UP,2,2,2,0:10:04,10.07
UP 2-2,230602,UP,2,2,3,0:20:01,20.02
UP 2-2,230602,UP,2,2,4,0:30:00,30
UP 2-3,230602,UP,2,3,0,0:00:20,0.33
UP 2-3,230602,UP,2,3,1,0:05:02,5.03
UP 2-3,230602,UP,2,3,2,0:10:03,10.05
UP 2-3,230602,UP,2,3,3,0:20:04,20.07
UP 2-3,230602,UP,2,3,4,0:30:03,30.05
UP 2-4,230602,UP,2,4,0,0:00:48,0.8
UP 2-4,230602,UP,2,4,1,0:05:02,5.03
UP 2-4,230602,UP,2,4,2,0:10:01,10.02
UP 2-4,230602,UP,2,4,3,0:20:02,20.03
UP 2-4,230602,UP,2,4,4,0:30:02,30.03
