chamber,date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
SW 1-1,230706,SW,1,1,0,0:01:00,1
SW 1-1,230706,SW,1,1,1,0:06:00,6
SW 1-1,230706,SW,1,1,2,0:11:00,11
SW 1-1,230706,SW,1,1,3,0:21:02,21.03
SW 1-1,230706,SW,1,1,4,0:31:00,31
SW 1-2,230706,SW,1,2,0,0:00:28,0.47
SW 1-2,230706,SW,1,2,1,0:05:28,5.47
SW 1-2,230706,SW,1,2,2,0:10:28,10.47
SW 1-2,230706,SW,1,2,3,0:20:28,20.47
SW 1-2,230706,SW,1,2,4,0:30:28,30.47
SW 1-3,230706,SW,1,3,0,0:00:49,0.82
SW 1-3,230706,SW,1,3,1,0:05:49,5.82
SW 1-3,230706,SW,1,3,2,0:10:49,10.82
SW 1-3,230706,SW,1,3,3,0:20:49,20.82
SW 1-3,230706,SW,1,3,4,0:30:49,30.82
SW 1-4,230706,SW,1,4,0,0:00:21,0.35
SW 1-4,230706,SW,1,4,1,0:05:22,5.37
SW 1-4,230706,SW,1,4,2,0:10:21,10.35
SW 1-4,230706,SW,1,4,3,0:20:21,20.35
SW 1-4,230706,SW,1,4,4,0:30:20,30.33
SW 2-1,230706,SW,2,1,0,0:00:28,0.47
SW 2-1,230706,SW,2,1,1,0:05:06,5.1
SW 2-1,230706,SW,2,1,2,0:10:02,10.03
SW 2-1,230706,SW,2,1,3,0:20:00,20
SW 2-1,230706,SW,2,1,4,0:30:01,30.02
SW 2-2,230706,SW,2,2,0,0:01:20,1.33
SW 2-2,230706,SW,2,2,1,0:05:54,5.9
SW 2-2,230706,SW,2,2,2,0:10:57,10.95
SW 2-2,230706,SW,2,2,3,0:20:52,20.87
SW 2-2,230706,SW,2,2,4,0:31:01,31.02
SW 2-3,230706,SW,2,3,0,0:00:23,0.38
SW 2-3,230706,SW,2,3,1,0:04:58,4.97
SW 2-3,230706,SW,2,3,2,0:09:59,9.98
SW 2-3,230706,SW,2,3,3,0:19:57,19.95
SW 2-3,230706,SW,2,3,4,0:30:02,30.03
SW 2-4,230706,SW,2,4,0,0:00:28,0.47
SW 2-4,230706,SW,2,4,1,0:04:58,4.97
SW 2-4,230706,SW,2,4,2,0:09:57,9.95
SW 2-4,230706,SW,2,4,3,0:19:54,19.9
SW 2-4,230706,SW,2,4,4,0:30:00,30
UP 1-1,230706,UP,1,1,0,0:00:23,0.38
UP 1-1,230706,UP,1,1,1,0:06:00,6
UP 1-1,230706,UP,1,1,2,0:10:23,10.38
UP 1-1,230706,UP,1,1,3,0:20:33,20.55
UP 1-1,230706,UP,1,1,4,0:30:34,30.57
UP 1-2,230706,UP,1,2,0,0:00:31,0.52
UP 1-2,230706,UP,1,2,1,0:05:31,5.52
UP 1-2,230706,UP,1,2,2,0:10:31,10.52
UP 1-2,230706,UP,1,2,3,0:20:31,20.52
UP 1-2,230706,UP,1,2,4,0:30:31,30.52
UP 1-3,230706,UP,1,3,0,0:00:38,0.63
UP 1-3,230706,UP,1,3,1,0:05:38,5.63
UP 1-3,230706,UP,1,3,2,0:10:38,10.63
UP 1-3,230706,UP,1,3,3,0:20:39,20.65
UP 1-3,230706,UP,1,3,4,0:30:40,30.67
UP 1-4,230706,UP,1,4,0,0:00:37,0.62
UP 1-4,230706,UP,1,4,1,0:05:35,5.58
UP 1-4,230706,UP,1,4,2,0:10:37,10.62
UP 1-4,230706,UP,1,4,3,0:20:39,20.65
UP 1-4,230706,UP,1,4,4,0:30:37,30.62
UP 2-1,230706,UP,2,1,0,0:00:36,0.6
UP 2-1,230706,UP,2,1,1,0:07:24,7.4
UP 2-1,230706,UP,2,1,2,0:11:19,11.32
UP 2-1,230706,UP,2,1,3,0:20:37,20.62
UP 2-1,230706,UP,2,1,4,0:30:18,30.3
UP 2-2,230706,UP,2,2,0,0:00:50,0.83
UP 2-2,230706,UP,2,2,1,0:06:45,6.75
UP 2-2,230706,UP,2,2,2,0:11:06,11.1
UP 2-2,230706,UP,2,2,3,0:20:51,20.85
UP 2-2,230706,UP,2,2,4,0:30:50,30.83
UP 2-3,230706,UP,2,3,0,0:00:46,0.77
UP 2-3,230706,UP,2,3,1,0:05:47,5.78
UP 2-3,230706,UP,2,3,2,0:10:46,10.77
UP 2-3,230706,UP,2,3,3,0:20:47,20.78
UP 2-3,230706,UP,2,3,4,0:30:46,30.77
UP 2-4,230706,UP,2,4,0,0:00:46,0.77
UP 2-4,230706,UP,2,4,1,0:05:47,5.78
UP 2-4,230706,UP,2,4,2,0:10:47,10.78
UP 2-4,230706,UP,2,4,3,0:20:46,20.77
UP 2-4,230706,UP,2,4,4,0:30:47,30.78
