row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height
1,2023-08-18,STD,2023-08-30,08182023_001,STD,127265,624,NA
2,2023-08-18,STD,2023-08-30,08182023_002,STD,946444,9708,12445
3,2023-08-18,STD,2023-08-30,08182023_003,STD,965507,10282,12835
4,2023-08-18,STD,2023-08-30,08182023_004,STD,998417,9674,12577
5,2023-08-18,STD,2023-08-30,08182023_005,STD,960411,10352,12805
6,2023-08-18,STD,2023-08-30,08182023_006,STD,968697,10485,13001
7,2023-08-18,T0,2023-08-30,08182023_007,SW 1-1,418669,2232,3975
8,2023-08-18,T0,2023-08-30,08182023_008,SW 1-2,402398,2420,3951
9,2023-08-18,T0,2023-08-30,08182023_009,SW 1-3,402251,2385,3996
10,2023-08-18,T0,2023-08-30,08182023_010,SW 1-4,412140,2224,3970
11,2023-08-18,T0,2023-08-30,08182023_011,UP 1-1,437238,2235,3965
12,2023-08-18,T0,2023-08-30,08182023_012,UP 1-2,426206,2218,3997
13,2023-08-18,T0,2023-08-30,08182023_013,UP 1-3,429626,2210,4003
14,2023-08-18,T0,2023-08-30,08182023_014,UP 1-4,523109,2328,3991
15,2023-08-18,STD,2023-08-30,08182023_015,STD,1006336,577,12363
16,2023-08-18,T0,2023-08-30,08182023_016,SW 2-1,400410,2468,3995
17,2023-08-18,T0,2023-08-30,08182023_017,SW 2-2,400523,2495,3959
18,2023-08-18,T0,2023-08-30,08182023_018,SW 2-3,400081,2447,3946
19,2023-08-18,T0,2023-08-30,08182023_019,SW 2-4,400250,2440,3976
20,2023-08-18,T0,2023-08-30,08182023_020,UP 2-1,455434,2318,3990
21,2023-08-18,T0,2023-08-30,08182023_021,UP 2-2,424992,3409,3989
22,2023-08-18,T0,2023-08-30,08182023_022,UP 2-3,424240,2217,4007
23,2023-08-18,T0,2023-08-30,08182023_023,UP 2-4,427082,3998,4021
24,2023-08-18,STD,2023-08-30,08182023_024,STD,975395,10783,13212
25,2023-08-18,T1,2023-08-30,08182023_025,SW 1-1,456701,2323,4016
26,2023-08-18,T1,2023-08-30,08182023_026,SW 1-2,400955,2401,3994
27,2023-08-18,T1,2023-08-30,08182023_027,SW 1-3,400870,2371,3942
28,2023-08-18,T1,2023-08-30,08182023_028,SW 1-4,484936,2305,3968
29,2023-08-18,T1,2023-08-30,08182023_029,UP 1-1,653327,2190,3980
30,2023-08-18,T1,2023-08-30,08182023_030,UP 1-2,573624,2236,3945
31,2023-08-18,T1,2023-08-30,08182023_031,UP 1-3,632471,2219,4013
32,2023-08-18,T1,2023-08-30,08182023_032,UP 1-4,735751,2268,3974
33,2023-08-18,STD,2023-08-30,08182023_033,STD,961892,10566,13055
34,2023-08-18,T1,2023-08-30,08182023_034,SW 2-1,397335,2410,3995
35,2023-08-18,T1,2023-08-30,08182023_035,SW 2-2,400837,2454,3976
36,2023-08-18,T1,2023-08-30,08182023_036,SW 2-3,399471,2386,3964
37,2023-08-18,T1,2023-08-30,08182023_037,SW 2-4,399970,2454,3985
38,2023-08-18,T1,2023-08-30,08182023_038,UP 2-1,631449,2221,4014
39,2023-08-18,T1,2023-08-30,08182023_039,UP 2-2,599995,1927,4006
40,2023-08-18,T1,2023-08-30,08182023_040,UP 2-3,558209,2166,4027
