chamber,date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
SW 1-1,230518,SW,1,1,0,0:00:38,0.63
SW 1-1,230518,SW,1,1,1,0:07:27,7.45
SW 1-1,230518,SW,1,1,2,0:10:38,10.63
SW 1-1,230518,SW,1,1,3,0:20:38,20.63
SW 1-1,230518,SW,1,1,4,0:30:38,30.63
SW 1-2,230518,SW,1,2,0,0:00:39,0.65
SW 1-2,230518,SW,1,2,1,0:06:09,6.15
SW 1-2,230518,SW,1,2,2,0:10:38,10.63
SW 1-2,230518,SW,1,2,3,0:20:39,20.65
SW 1-2,230518,SW,1,2,4,0:30:39,30.65
SW 1-3,230518,SW,1,3,0,0:00:45,0.75
SW 1-3,230518,SW,1,3,1,0:05:03,5.05
SW 1-3,230518,SW,1,3,2,0:10:45,10.75
SW 1-3,230518,SW,1,3,3,0:20:45,20.75
SW 1-3,230518,SW,1,3,4,0:31:00,31
SW 1-4,230518,SW,1,4,0,0:00:52,0.87
SW 1-4,230518,SW,1,4,1,0:05:02,5.03
SW 1-4,230518,SW,1,4,2,0:10:52,10.87
SW 1-4,230518,SW,1,4,3,0:20:52,20.87
SW 1-4,230518,SW,1,4,4,0:30:52,30.87
SW 2-1,230518,SW,2,1,0,0:00:59,0.98
SW 2-1,230518,SW,2,1,1,0:08:10,8.17
SW 2-1,230518,SW,2,1,2,0:11:59,11.98
SW 2-1,230518,SW,2,1,3,0:20:59,20.98
SW 2-1,230518,SW,2,1,4,0:30:59,30.98
SW 2-2,230518,SW,2,2,0,0:00:50,0.83
SW 2-2,230518,SW,2,2,1,0:07:18,7.3
SW 2-2,230518,SW,2,2,2,0:11:00,11
SW 2-2,230518,SW,2,2,3,0:20:50,20.83
SW 2-2,230518,SW,2,2,4,0:30:00,30
SW 2-3,230518,SW,2,3,0,0:00:20,0.33
SW 2-3,230518,SW,2,3,1,0:06:58,6.97
SW 2-3,230518,SW,2,3,2,0:10:25,10.42
SW 2-3,230518,SW,2,3,3,0:20:20,20.33
SW 2-3,230518,SW,2,3,4,0:30:00,30
SW 2-4,230518,SW,2,4,0,0:00:46,0.77
SW 2-4,230518,SW,2,4,1,0:06:20,6.33
SW 2-4,230518,SW,2,4,2,0:10:00,10
SW 2-4,230518,SW,2,4,3,0:20:00,20
SW 2-4,230518,SW,2,4,4,0:30:46,30.77
UP 1-1,230518,UP,1,1,0,0:00:22,0.37
UP 1-1,230518,UP,1,1,1,0:08:45,8.75
UP 1-1,230518,UP,1,1,2,0:13:57,13.95
UP 1-1,230518,UP,1,1,3,0:24:08,24.13
UP 1-1,230518,UP,1,1,4,0:34:11,34.18
UP 1-2,230518,UP,1,2,0,0:00:26,0.43
UP 1-2,230518,UP,1,2,1,0:06:26,6.43
UP 1-2,230518,UP,1,2,2,0:11:43,11.72
UP 1-2,230518,UP,1,2,3,0:22:03,22.05
UP 1-2,230518,UP,1,2,4,0:32:11,32.18
UP 1-3,230518,UP,1,3,0,0:00:23,0.38
UP 1-3,230518,UP,1,3,1,0:05:29,5.48
UP 1-3,230518,UP,1,3,2,0:10:35,10.58
UP 1-3,230518,UP,1,3,3,0:20:51,20.85
UP 1-3,230518,UP,1,3,4,0:30:55,30.92
UP 1-4,230518,UP,1,4,0,0:00:13,0.22
UP 1-4,230518,UP,1,4,1,0:05:26,5.43
UP 1-4,230518,UP,1,4,2,0:10:27,10.45
UP 1-4,230518,UP,1,4,3,0:20:35,20.58
UP 1-4,230518,UP,1,4,4,0:30:41,30.68
UP 2-1,230518,UP,2,1,0,0:00:33,0.55
UP 2-1,230518,UP,2,1,1,0:08:31,8.52
UP 2-1,230518,UP,2,1,2,0:13:31,13.52
UP 2-1,230518,UP,2,1,3,0:23:31,23.52
UP 2-1,230518,UP,2,1,4,0:33:32,33.53
UP 2-2,230518,UP,2,2,0,0:00:19,0.32
UP 2-2,230518,UP,2,2,1,0:06:43,6.72
UP 2-2,230518,UP,2,2,2,0:11:46,11.77
UP 2-2,230518,UP,2,2,3,0:21:50,21.83
UP 2-2,230518,UP,2,2,4,0:34:07,34.12
UP 2-3,230518,UP,2,3,0,0:00:17,0.28
UP 2-3,230518,UP,2,3,1,0:05:19,5.32
UP 2-3,230518,UP,2,3,2,0:10:24,10.4
UP 2-3,230518,UP,2,3,3,0:20:27,20.45
UP 2-3,230518,UP,2,3,4,0:32:49,32.82
UP 2-4,230518,UP,2,4,0,0:00:16,0.27
UP 2-4,230518,UP,2,4,1,0:05:16,5.27
UP 2-4,230518,UP,2,4,2,0:10:29,10.48
UP 2-4,230518,UP,2,4,3,0:20:36,20.6
UP 2-4,230518,UP,2,4,4,0:30:52,30.87
