date,chamber,ecosystem_name,ecosystem_block,rep,temp_start,temp_end,average_temp_kelvin
230718,SW 1-1,SW,1,1,24,39.3,304.65
230718,SW 1-2,SW,1,2,24,36.6,303.3
230718,SW 1-3,SW,1,3,24,36.8,303.4
230718,SW 1-4,SW,1,4,24,37.9,303.95
230718,SW 2-1,SW,2,1,25.6,42.6,307.1
230718,SW 2-2,SW,2,2,25.6,42.7,307.15
230718,SW 2-3,SW,2,3,25.6,42.2,306.9
230718,SW 2-4,SW,2,4,25.6,43.3,307.45
230718,UP 1-1,UP,1,1,24,,285
230718,UP 1-2,UP,1,2,24,,285
230718,UP 1-3,UP,1,3,24,,285
230718,UP 1-4,UP,1,4,24,,285
230718,UP 2-1,UP,2,1,24.3,42.8,306.55
230718,UP 2-2,UP,2,2,24.3,41.2,305.75
230718,UP 2-3,UP,2,3,24.3,41.6,305.95
230718,UP 2-4,UP,2,4,24.3,42.2,306.25
