row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,mean_co2_height,mean_ch4_height,mean_n2o_height,co2_precision,ch4_precision,n2o_precision,co2_ppm,ch4_ppm,n2o_ppm
7,2023-08-18,T0,2023-08-30,08182023_007,SW 1-1,418669,2232,3975,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,432.5740375340144,2.2545082440707063,0.311359734724117
8,2023-08-18,T0,2023-08-30,08182023_008,SW 1-2,402398,2420,3951,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,415.76263720412146,2.444404099754081,0.3094798268918204
9,2023-08-18,T0,2023-08-30,08182023_009,SW 1-3,402251,2385,3996,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,415.6107549689488,2.4090511478981336,0.3130046540773765
10,2023-08-18,T0,2023-08-30,08182023_010,SW 1-4,412140,2224,3970,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,425.82819322488336,2.246427569360775,0.31096808725905517
11,2023-08-18,T0,2023-08-30,08182023_011,UP 1-1,437238,2235,3965,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,451.7597601525248,2.25753849708693,0.3105764397939934
12,2023-08-18,T0,2023-08-30,08182023_012,UP 1-2,426206,2218,3997,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,440.3613600271865,2.240367063328327,0.31308298357038883
13,2023-08-18,T0,2023-08-30,08182023_013,UP 1-3,429626,2210,4003,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,443.8949467230401,2.2322863886183963,0.313552960528463
14,2023-08-18,T0,2023-08-30,08182023_014,UP 1-4,523109,2328,3991,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,540.4827493804909,2.351476340589876,0.31261300661231467
16,2023-08-18,T0,2023-08-30,08182023_016,SW 2-1,400410,2468,3995,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,413.7086107855961,2.492888148013666,0.3129263245843641
17,2023-08-18,T0,2023-08-30,08182023_017,SW 2-2,400523,2495,3959,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,413.825363796307,2.5201604251596827,0.31010646283591925
18,2023-08-18,T0,2023-08-30,08182023_018,SW 2-3,400081,2447,3946,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,413.36868387830486,2.471676376900098,0.30908817942675865
19,2023-08-18,T0,2023-08-30,08182023_019,SW 2-4,400250,2440,3976,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,413.5432967881292,2.464605786528908,0.31143806421712933
20,2023-08-18,T0,2023-08-30,08182023_020,UP 2-1,455434,2318,3990,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,470.5600945144406,2.3413754972024625,0.31253467711930233
21,2023-08-18,T0,2023-08-30,08182023_021,UP 2-2,424992,3409,3989,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,439.1070400714069,3.443377510769282,0.31245634762629
22,2023-08-18,T0,2023-08-30,08182023_022,UP 2-3,424240,2217,4007,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,438.33006428331277,2.2393569789895857,0.3138662785005124
23,2023-08-18,T0,2023-08-30,08182023_023,UP 2-4,427082,3998,4021,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,441.2664541633174,4.038317186287941,0.31496289140268535
25,2023-08-18,T1,2023-08-30,08182023_025,SW 1-1,456701,2323,4016,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,471.86917473188106,2.3464259188961694,0.3145712439376236
26,2023-08-18,T1,2023-08-30,08182023_026,SW 1-2,400955,2401,3994,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,414.2717115894675,2.4252124973179954,0.31284799509135175
27,2023-08-18,T1,2023-08-30,08182023_027,SW 1-3,400870,2371,3942,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,414.1838885283132,2.3949099671557548,0.3087748614547092
28,2023-08-18,T1,2023-08-30,08182023_028,SW 1-4,484936,2305,3968,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,501.0419292223566,2.328244400798825,0.3108114282730305
29,2023-08-18,T1,2023-08-30,08182023_029,UP 1-1,653327,2190,3980,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,675.0256126438428,2.212084701843569,0.31175138218917875
30,2023-08-18,T1,2023-08-30,08182023_030,UP 1-2,573624,2236,3945,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,592.6754780182232,2.2585485814256714,0.3090098499337463
31,2023-08-18,T1,2023-08-30,08182023_031,UP 1-3,632471,2219,4013,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,653.4769330740409,2.2413771476670683,0.3143362554585865
32,2023-08-18,T1,2023-08-30,08182023_032,UP 1-4,735751,2268,3974,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,760.1871184388829,2.290871280265395,0.31128140523110465
34,2023-08-18,T1,2023-08-30,08182023_034,SW 2-1,397335,2410,3995,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,410.5314823967803,2.4343032563666673,0.3129263245843641
35,2023-08-18,T1,2023-08-30,08182023_035,SW 2-2,400837,2454,3976,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,414.14979251633565,2.478746967271287,0.31143806421712933
36,2023-08-18,T1,2023-08-30,08182023_036,SW 2-3,399471,2386,3964,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,412.73842426296255,2.410061232236875,0.31049811030098107
37,2023-08-18,T1,2023-08-30,08182023_037,SW 2-4,399970,2454,3985,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,413.25399729256225,2.478746967271287,0.31214302965424057
38,2023-08-18,T1,2023-08-30,08182023_038,UP 2-1,631449,2221,4014,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,652.4209899152215,2.2433973163445513,0.3144145849515989
39,2023-08-18,T1,2023-08-30,08182023_039,UP 2-2,599995,1927,4006,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,619.9223244382101,1.9464325207545925,0.3137879490075
40,2023-08-18,T1,2023-08-30,08182023_040,UP 2-3,558209,2166,4027,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,576.7485075747778,2.1878426777137765,0.3154328683607595
41,2023-08-18,T1,2023-08-30,08182023_041,UP 2-4,612747,1826,4051,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,633.0978500363168,1.8444140025417157,0.3173127761930561
43,2023-08-18,T2,2023-08-30,08182023_043,SW 1-1,509399,2297,4030,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,526.3174062225515,2.3201637260888943,0.3156678568397966
44,2023-08-18,T2,2023-08-30,08182023_044,SW 1-2,399449,2497,3994,965919.4166666666,10098.166666666666,12766.583333333334,2.796082541517779,5.115860694870901,2.6472512940853803,412.7156935883109,2.5221805938371653,0.31284799509135175
