row,date_collected,site,ecosystem,chamber_no,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,chamber_str,site_str,is_std
1,NA,STD,NA,NA,NA,2022-09-09,220909_000,STD,1057431,10531,18453,STD,STD,TRUE
2,NA,STD,NA,NA,NA,2022-09-09,220909_001,STD,1051697,10477,17791,STD,STD,TRUE
3,NA,STD,NA,NA,NA,2022-09-09,220909_002,STD,1038604,10360,17927,STD,STD,TRUE
4,NA,STD,NA,NA,NA,2022-09-09,220909_003,STD,741350,7341,11320,STD,STD,TRUE
5,NA,STD,NA,NA,NA,2022-09-09,220909_004,STD,155188,1243,2413,STD,STD,TRUE
6,NA,STD,NA,NA,NA,2022-09-09,220909_005,STD,1047512,10425,17181,STD,STD,TRUE
7,NA,STD,NA,NA,NA,2022-09-09,220909_006,STD,1022097,9951,16028,STD,STD,TRUE
8,NA,STD,NA,NA,NA,2022-09-09,220909_007,STD,570289,5574,9249,STD,STD,TRUE
9,NA,STD,NA,NA,NA,2022-09-09,220909_008,STD,1043663,10394,16448,STD,STD,TRUE
10,NA,STD,NA,NA,NA,2022-09-09,220909_009,STD,1032801,10326,16022,STD,STD,TRUE
11,NA,STD,NA,NA,NA,2022-09-09,220909_010,STD,1037382,10329,16284,STD,STD,TRUE
12,NA,STD,NA,NA,NA,2022-09-09,220909_011,STD,1048612,10405,16290,STD,STD,TRUE
13,NA,STD,NA,NA,NA,2022-09-09,220909_012,STD,1037512,10377,16165,STD,STD,TRUE
24,NA,STD,NA,NA,NA,2022-09-12,220909_023,STD,812541,8370,14805,STD,STD,TRUE
25,NA,STD,NA,NA,NA,2022-09-13,220909_024,STD,1040088,10222,15088,STD,STD,TRUE
26,NA,STD,NA,NA,NA,2022-09-13,220909_025,STD,1042619,10396,15312,STD,STD,TRUE
27,NA,STD,NA,NA,NA,2022-09-13,220909_026,STD,1038365,10417,15978,STD,STD,TRUE
28,NA,STD,NA,NA,NA,2022-09-13,220909_027,STD,1038943,10347,15213,STD,STD,TRUE
29,NA,STD,NA,NA,NA,2022-09-13,220909_028,STD,1042401,10437,15233,STD,STD,TRUE
40,NA,STD,NA,NA,NA,2022-09-13,220909_039,STD,1022061,9966,14534,STD,STD,TRUE
46,NA,STD,NA,NA,NA,2022-09-14,220909_045,STD,1032242,10014,14203,STD,STD,TRUE
47,NA,STD,NA,NA,NA,2022-09-14,220909_046,STD,1050367,10457,14961,STD,STD,TRUE
48,NA,STD,NA,NA,NA,2022-09-14,220909_047,STD,1041522,10536,15771,STD,STD,TRUE
49,NA,STD,NA,NA,NA,2022-09-14,220909_048,STD,1036325,10398,15619,STD,STD,TRUE
50,NA,STD,NA,NA,NA,2022-09-14,220909_049,STD,1037919,10456,14971,STD,STD,TRUE
56,NA,STD,NA,NA,NA,2022-09-14,220909_055,STD,1058287,9993,14254,STD,STD,TRUE
67,NA,STD,NA,NA,NA,2022-09-14,220909_066,STD,1089739,10176,15378,STD,STD,TRUE
68,NA,STD,NA,NA,NA,2022-09-15,220909_067,STD,412530,3429,5968,STD,STD,TRUE
69,NA,STD,NA,NA,NA,2022-09-15,220909_068,STD,1051177,10399,737,STD,STD,TRUE
70,NA,STD,NA,NA,NA,2022-09-15,220909_069,STD,4130,0,662,STD,STD,TRUE
71,NA,STD,NA,NA,NA,2022-09-15,220909_070,STD,1051517,10410,15466,STD,STD,TRUE
72,NA,STD,NA,NA,NA,2022-09-15,220909_071,STD,149831,1279,2802,STD,STD,TRUE
73,NA,STD,NA,NA,NA,2022-09-15,220909_072,STD,1054489,10452,15464,STD,STD,TRUE
74,NA,STD,NA,NA,NA,2022-09-15,220909_073,STD,1057316,10416,24,STD,STD,TRUE
75,NA,STD,NA,NA,NA,2022-09-15,220909_074,STD,3132,0,76,STD,STD,TRUE
76,NA,STD,NA,NA,NA,2022-09-15,220909_075,STD,1009682,9838,14615,STD,STD,TRUE
77,NA,STD,NA,NA,NA,2022-09-15,220909_076,STD,1052285,10401,15391,STD,STD,TRUE
78,NA,STD,NA,NA,NA,2022-09-15,220909_077,STD,1052722,10396,15451,STD,STD,TRUE
79,NA,STD,NA,NA,NA,2022-09-15,220909_078,STD,1049600,10358,15445,STD,STD,TRUE
80,NA,STD,NA,NA,NA,2022-09-15,220909_079,STD,928277,9365,12763,STD,STD,TRUE
91,NA,STD,NA,NA,NA,2022-09-15,220909_090,STD,1061893,9970,14932,STD,STD,TRUE
92,NA,STD,NA,NA,NA,2022-09-20,220909_091,STD,697301,5658,179,STD,STD,TRUE
93,NA,STD,NA,NA,NA,2022-09-20,220909_092,STD,1037967,10238,19824,STD,STD,TRUE
94,NA,STD,NA,NA,NA,2022-09-20,220909_093,STD,1040498,10267,18422,STD,STD,TRUE
95,NA,STD,NA,NA,NA,2022-09-20,220909_094,STD,1041379,10290,18240,STD,STD,TRUE
96,NA,STD,NA,NA,NA,2022-09-20,220909_095,STD,1040812,10315,17968,STD,STD,TRUE
107,NA,STD,NA,NA,NA,2022-09-20,220909_106,STD,1056386,9903,15644,STD,STD,TRUE
118,NA,STD,NA,NA,NA,2022-09-20,220909_117,STD,1060191,9871,14865,STD,STD,TRUE
