row,date_collected,site,ecosystem,chamber_no,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height,chamber_str,site_str,is_std,qc_co2_low,qc_ch4_low,qc_n2o_low,qc_any_low
1,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_001,STD,496752,2629,5352,STD,STD,TRUE,TRUE,TRUE,TRUE,TRUE
2,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_002,STD,1005853,9840,592,STD,STD,TRUE,FALSE,FALSE,TRUE,TRUE
3,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_003,STD,1021525,10094,16217,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
4,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_004,STD,1023193,10118,15816,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
5,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_005,STD,1029829,10187,15809,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
6,2022-07-22,STD,STD,NA,STD,2022-09-26,220722_006,STD,1032087,10235,15642,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
17,NA,STD,NA,NA,NA,2022-09-26,220722_017,STD,1064067,10303,540,STD,STD,TRUE,FALSE,FALSE,TRUE,TRUE
28,NA,NA,NA,NA,NA,NA,220722_028,STD,1055104,10338,14726,STD,NA,TRUE,FALSE,FALSE,FALSE,FALSE
29,NA,NA,NA,NA,NA,NA,220722_029,STD,1057551,10510,907,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
30,NA,NA,NA,NA,NA,NA,220722_030,STD,1062756,10546,270,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
31,NA,NA,NA,NA,NA,NA,220722_031,STD,1051982,10461,153,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
32,NA,STD,NA,NA,NA,2022-09-28,220722_032,STD,1060898,10484,15383,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
43,NA,STD,NA,NA,NA,2022-09-28,220722_043,STD,1092954,10350,15636,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
54,NA,NA,NA,NA,NA,NA,220722_054,STD,302196,1305,2908,STD,NA,TRUE,TRUE,TRUE,TRUE,TRUE
55,NA,NA,NA,NA,NA,NA,220722_055,STD,1046381,10425,15481,STD,NA,TRUE,FALSE,FALSE,FALSE,FALSE
56,NA,NA,NA,NA,NA,NA,220722_056,STD,1050070,10526,16317,STD,NA,TRUE,FALSE,FALSE,FALSE,FALSE
57,NA,NA,NA,NA,NA,NA,220722_057,STD,1052464,10575,15822,STD,NA,TRUE,FALSE,FALSE,FALSE,FALSE
58,NA,NA,NA,NA,NA,NA,220722_058,STD,1051499,10551,149,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
59,NA,STD,NA,NA,NA,2022-09-29,220722_059,STD,1048661,10500,15767,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
70,NA,NA,NA,NA,NA,NA,220722_070,STD,101793,351,741,STD,NA,TRUE,TRUE,TRUE,TRUE,TRUE
71,NA,NA,NA,NA,NA,NA,220722_071,STD,885,0,0,STD,NA,TRUE,TRUE,TRUE,TRUE,TRUE
72,NA,NA,NA,NA,NA,NA,220722_072,STD,285136,2403,3776,STD,NA,TRUE,TRUE,TRUE,TRUE,TRUE
73,NA,STD,NA,NA,NA,2022-09-29,220722_073,STD,1052626,10429,16207,STD,STD,TRUE,FALSE,FALSE,FALSE,FALSE
79,NA,NA,NA,NA,NA,NA,220722_079,STD,1034195,10167,13872,STD,NA,TRUE,FALSE,FALSE,FALSE,FALSE
80,NA,NA,NA,NA,NA,NA,220722_080,STD,1023518,10291,207,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
81,NA,NA,NA,NA,NA,NA,220722_081,STD,1025797,10298,239,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
82,NA,NA,NA,NA,NA,NA,220722_082,STD,1025481,10311,212,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
83,NA,NA,NA,NA,NA,NA,220722_083,STD,1030600,10304,213,STD,NA,TRUE,FALSE,FALSE,TRUE,TRUE
86,NA,NA,NA,NA,NA,NA,220722_086,STD,4227,0,0,STD,NA,TRUE,TRUE,TRUE,TRUE,TRUE
95,NA,STD,NA,NA,NA,2022-10-05,220722_095,STD,1033190,10206,201,STD,STD,TRUE,FALSE,FALSE,TRUE,TRUE
