gc_run_date,filename,co2_height,ch4_height,n2o_height
2022-10-06,220812_001,1036626,10245,15170
2022-10-06,220812_016,1021922,10243,15537
2022-10-10,220812_028,1021357,10083,15774
2022-10-11,220812_043,1048791,10357,15443
2022-10-11,220812_058,1049678,10093,15752
2022-10-11,220812_069,1054012,10133,15840
2022-10-12,220812_075,1025915,10196,15906
2022-10-12,220812_076,1020009,10215,15844
2022-10-12,220812_077,1021367,10218,15912
2022-10-12,220812_078,1016871,10147,15810
2022-10-12,220812_079,1020620,10201,15937
2022-10-13,220812_085,1013794,9919,15542
2022-10-13,220812_087,1014027,10219,15687
2022-10-13,220812_088,1011968,10201,15756
2022-10-13,220812_089,1020308,10325,15951
2022-10-13,220812_100,1029681,10056,16011
2022-10-13,220812_101,1019198,10240,16244
2022-10-13,220812_102,1025660,10401,16611
2022-10-13,220812_103,1024030,10347,16377
2022-10-13,220812_104,1024918,10420,16382
2022-10-13,220812_105,1027485,10410,16965
