date,ecosystem_name,ecosystem_block,rep,temp_start,temp_end,average_temp_kelvin
220812,SW,1,1,24.3,31.2,300.75
220812,SW,1,2,24.3,31,300.65
220812,SW,1,3,24.3,32.2,301.25
220812,SW,1,4,24.3,31.9,301.1
220812,SW,2,1,24.4,29.7,300.05
220812,SW,2,2,24.4,29.4,299.9
220812,SW,2,3,24.4,29.1,299.75
220812,SW,2,4,24.4,30.1,300.25
220812,UP,1,1,24.2,29.4,299.8
220812,UP,1,2,24.2,28.9,299.55
220812,UP,1,3,24.2,28.5,299.35
220812,UP,1,4,24.2,29.4,299.8
220812,UP,2,1,24.4,29.3,299.85
220812,UP,2,2,24.4,28.4,299.4
220812,UP,2,3,24.4,28.1,299.25
220812,UP,2,4,24.4,28.7,299.55
