date,ecosystem_name,ecosystem_block,rep,time_point,time_elapsed,min_elapsed
220812,SW,1,1,0,0:00:27,0.45
220812,SW,1,1,1,0:07:32,7.53
220812,SW,1,1,2,0:12:17,12.28
220812,SW,1,1,3,0:19:57,19.95
220812,SW,1,1,4,0:30:05,30.08
220812,SW,1,2,0,0:00:36,0.60
220812,SW,1,2,1,0:06:52,6.87
220812,SW,1,2,2,0:11:23,11.38
220812,SW,1,2,3,0:20:06,20.10
220812,SW,1,2,4,0:30:01,30.02
220812,SW,1,3,0,0:00:25,0.42
220812,SW,1,3,1,0:06:01,6.02
220812,SW,1,3,2,0:10:31,10.52
220812,SW,1,3,3,0:20:49,20.82
220812,SW,1,3,4,0:30:04,30.07
220812,SW,1,4,0,0:00:26,0.43
220812,SW,1,4,1,0:05:26,5.43
220812,SW,1,4,2,0:10:37,10.62
220812,SW,1,4,3,0:20:08,20.13
220812,SW,1,4,4,0:30:07,30.12
220812,SW,2,1,0,0:00:23,0.38
220812,SW,2,1,1,0:05:43,5.72
220812,SW,2,1,2,0:10:04,10.07
220812,SW,2,1,3,0:20:04,20.07
220812,SW,2,1,4,0:30:02,30.03
220812,SW,2,2,0,0:00:30,0.50
220812,SW,2,2,1,0:05:03,5.05
220812,SW,2,2,2,0:10:02,10.03
220812,SW,2,2,3,0:20:02,20.03
220812,SW,2,2,4,0:30:03,30.05
220812,SW,2,3,0,0:00:27,0.45
220812,SW,2,3,1,0:05:02,5.03
220812,SW,2,3,2,0:10:03,10.05
220812,SW,2,3,3,0:20:03,20.05
220812,SW,2,3,4,0:30:02,30.03
220812,SW,2,4,0,0:00:37,0.62
220812,SW,2,4,1,0:05:02,5.03
220812,SW,2,4,2,0:10:01,10.02
220812,SW,2,4,3,0:20:01,20.02
220812,SW,2,4,4,0:30:02,30.03
220812,UP,1,1,0,0:00:23,0.38
220812,UP,1,1,1,0:05:43,5.72
220812,UP,1,1,2,0:10:04,10.07
220812,UP,1,1,3,0:20:04,20.07
220812,UP,1,1,4,0:30:02,30.03
220812,UP,1,2,0,0:00:30,0.50
220812,UP,1,2,1,0:05:03,5.05
220812,UP,1,2,2,0:10:02,10.03
220812,UP,1,2,3,0:20:02,20.03
220812,UP,1,2,4,0:30:03,30.05
220812,UP,1,3,0,0:00:27,0.45
220812,UP,1,3,1,0:05:02,5.03
220812,UP,1,3,2,0:10:03,10.05
220812,UP,1,3,3,0:20:03,20.05
220812,UP,1,3,4,0:30:02,30.03
220812,UP,1,4,0,0:00:37,0.62
220812,UP,1,4,1,0:05:02,5.03
220812,UP,1,4,2,0:10:01,10.02
220812,UP,1,4,3,0:20:01,20.02
220812,UP,1,4,4,0:30:02,30.03
220812,UP,2,1,0,0:00:37,0.62
220812,UP,2,1,1,0:06:37,6.62
220812,UP,2,1,2,0:10:05,10.08
220812,UP,2,1,3,0:20:02,20.03
220812,UP,2,1,4,0:30:02,30.03
220812,UP,2,2,0,0:00:31,0.52
220812,UP,2,2,1,0:05:26,5.43
220812,UP,2,2,2,0:10:02,10.03
220812,UP,2,2,3,0:20:03,20.05
220812,UP,2,2,4,0:30:03,30.05
220812,UP,2,3,0,0:00:37,0.62
220812,UP,2,3,1,0:05:02,5.03
220812,UP,2,3,2,0:10:02,10.03
220812,UP,2,3,3,0:20:01,20.02
220812,UP,2,3,4,0:30:00,30.00
220812,UP,2,4,0,0:00:29,0.48
220812,UP,2,4,1,0:05:02,5.03
220812,UP,2,4,2,0:10:01,10.02
220812,UP,2,4,3,0:20:03,20.05
220812,UP,2,4,4,0:30:02,30.03
