date,ecosystem_name,ecosystem_block,rep,gas,n,slope,slope_se,p_value,r.squared
220902,SW,1,1,CH4_nmol,5,-4.644633284092729,1.8760351326230038,0.08960488937690661,0.6713928337137831
220902,SW,1,1,CO2_umol,5,14.831941341414433,0.434801148916718,5.538686970625501e-5,0.9974284889738769
220902,SW,1,1,N2O_nmol,5,-19.2569146748583,7.207161165480801,0.07556709376705784,0.7041164595487556
220902,SW,1,2,CH4_nmol,5,-22.019248467186234,21.58769537139826,0.38281847500861893,0.25749577023098447
220902,SW,1,2,CO2_umol,5,-4.613153690848447,10.041898257335136,0.6771971454074968,0.0657231749557099
220902,SW,1,2,N2O_nmol,5,-1.534393880490528,7.907442473127003,0.8585372750000513,0.012395482778677374
220902,SW,1,3,CH4_nmol,5,25.253282230128725,19.188302040625164,0.27967480107076514,0.366026443271415
220902,SW,1,3,CO2_umol,5,18.724908561612725,4.234845041742981,0.021479439259894453,0.8669669806909531
220902,SW,1,3,N2O_nmol,5,10.373219499706892,3.937446345553238,0.078022831873568,0.6982077504716634
220902,SW,1,4,CH4_nmol,5,-9.919000044738953,25.444549302208866,0.7226917923447409,0.04821306522566686
220902,SW,1,4,CO2_umol,5,7.303066443714088,10.192279779284904,0.5254083034579999,0.14612969742403303
220902,SW,1,4,N2O_nmol,5,-8.269817412291761,4.456582031537262,0.1605227961467839,0.5344076195782453
220902,SW,2,1,CH4_nmol,5,-47.289304387810766,2.8486542139418285,4.758353751619943e-4,0.9892310683274721
220902,SW,2,1,CO2_umol,5,-15.421593177450038,4.247058914597562,0.03596506740326304,0.8146438067853444
220902,SW,2,1,N2O_nmol,5,-3.639666916688738,6.046126405404233,0.5896397956985356,0.10777587206487614
220902,SW,2,2,CH4_nmol,5,-3.0804353089084198,0.32563792742910586,0.002504021743446672,0.967562594968234
220902,SW,2,2,CO2_umol,5,14.294081394142495,0.5520453016541991,1.263569337848132e-4,0.9955452923034515
220902,SW,2,2,N2O_nmol,5,0.9284479025364661,3.8300437774755873,0.8240885469772385,0.019211519004921133
220902,SW,2,3,CH4_nmol,5,14.212303535155927,7.534495687478173,0.15572277356820144,0.542551817633531
220902,SW,2,3,CO2_umol,5,19.24361601294351,3.674112268113504,0.013546307212099151,0.9014218187582999
220902,SW,2,3,N2O_nmol,5,-3.5850889847485687,2.9668564651765466,0.31346258673971994,0.3273816149747785
220902,SW,2,4,CH4_nmol,5,13.700689963001725,12.802385578572379,0.3629938268448505,0.27628135530828
220902,SW,2,4,CO2_umol,5,21.854008781750327,4.068977542120617,0.012636440490568283,0.905797833394629
220902,SW,2,4,N2O_nmol,5,-3.172247173226833,4.285406287025522,0.5128210959216966,0.15444403401407536
220902,UP,1,1,CH4_nmol,5,-13.782388009186683,4.427514330597099,0.0527624055012657,0.763595548824111
220902,UP,1,1,CO2_umol,5,14.249114154833698,4.019792265995103,0.038234019913657505,0.807262033964532
220902,UP,1,1,N2O_nmol,5,0.4488797543476186,7.958882103495714,0.9585694565811742,0.001059191272694769
220902,UP,1,2,CH4_nmol,5,-4.179598250538425,0.39377026890902206,0.001786857410813365,0.9740626901347066
220902,UP,1,2,CO2_umol,5,10.399185092548105,0.3427169252820786,7.862922559334042e-5,0.9967522620953663
220902,UP,1,2,N2O_nmol,5,15.063552877391823,4.586789727216601,0.04628224828481397,0.782378816598033
220902,UP,1,3,CH4_nmol,5,-6.053154972921551,0.38125193929560625,5.432426517795265e-4,0.9882390125542998
220902,UP,1,3,CO2_umol,5,25.794344593329864,0.5484983955742733,2.1169804159814378e-5,0.998645327678443
220902,UP,1,3,N2O_nmol,5,0.9213798555698458,0.6782011223759563,0.2674145298157014,0.3808940239777724
220902,UP,1,4,CH4_nmol,5,-2.5177653162843647,1.205137249018357,0.1278752608283968,0.5926531408540244
220902,UP,1,4,CO2_umol,5,12.72994097957947,0.8590948254117101,6.66867809647216e-4,0.9865210201478737
220902,UP,1,4,N2O_nmol,5,-5.372458746269556,9.319087983435503,0.6046874436772385,0.09973518072261717
220902,UP,2,1,CH4_nmol,5,-10.990101810426133,3.951200144399245,0.06890688333560283,0.7205797232055835
220902,UP,2,1,CO2_umol,5,10.127260690498655,0.3409239516730222,8.379118634445507e-5,0.9966117277674544
220902,UP,2,1,N2O_nmol,5,5.286108588179068,3.635824401535417,0.2419468134452399,0.4133534834374428
220902,UP,2,2,CH4_nmol,5,-2.9339205803058706,0.30872670925102996,0.0024705977908745366,0.9678499976869468
220902,UP,2,2,CO2_umol,5,9.310625104432345,0.7632076799810018,0.0011859203541092545,0.9802402444577902
220902,UP,2,2,N2O_nmol,5,2.5070321877860544,4.345308130134701,0.6044187578449014,0.09987571217849937
220902,UP,2,3,CH4_nmol,5,42.83110726018576,20.65748503582395,0.1298198562166146,0.5889827104273334
220902,UP,2,3,CO2_umol,5,18.796213366137025,5.310314774311411,0.038375594627508156,0.8068072428331515
220902,UP,2,3,N2O_nmol,5,5.32558896741375,4.5442082131686306,0.325819245915358,0.31404566069907675
220902,UP,2,4,CH4_nmol,2,NA,NA,NA,NA
220902,UP,2,4,CO2_umol,2,NA,NA,NA,NA
220902,UP,2,4,N2O_nmol,2,NA,NA,NA,NA
