date,ecosystem_name,ecosystem_block,rep,time_point,min_elapsed,gas,amount,delta,reason,pass
221019,SW,1,1,1,6.02,ch4_nmol,1296.6032455258114,NA,JUMP->LEVEL_OUTLIER(z=7.04),1
221019,SW,1,1,4,30,n2o_nmol,7.636753479597789,-172.04757061369426,JUMP->LEVEL_OUTLIER(z=17.65),1
221019,SW,1,2,0,0.45,ch4_nmol,1328.63668223456,NA,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,1,2,1,5.12,n2o_nmol,197.78476431551397,179.67426143415813,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,1,3,2,10.03,ch4_nmol,843.0930850560102,-373.50263510753405,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,1,3,3,20.02,ch4_nmol,0,-843.0930850560102,JUMP->LEVEL_OUTLIER(z=5.3),1
221019,SW,1,3,2,10.03,co2_umol,167.24398975587007,-91.61067422146897,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,1,3,3,20.02,co2_umol,16.642727951721312,-150.60126180414875,JUMP->LEVEL_OUTLIER(z=4.17),1
221019,SW,1,4,0,0.53,n2o_nmol,238.63768651570504,NA,JUMP->LEVEL_OUTLIER(z=43.48),1
221019,SW,1,4,2,10,n2o_nmol,5.868507027136725,-9.989901275202222,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,1,0,0.3,ch4_nmol,1420.661689869134,NA,JUMP->LEVEL_OUTLIER(z=6.51),1
221019,SW,2,1,4,30.02,ch4_nmol,1172.1113021388066,-49.71007754606558,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,1,2,10.02,n2o_nmol,351.7332811097661,291.4898780583331,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,2,0,0.43,ch4_nmol,1404.2079466114244,NA,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,2,4,30.02,ch4_nmol,138.54986581617945,-1044.180558067192,JUMP->LEVEL_OUTLIER(z=10.05),1
221019,SW,2,2,3,20.03,co2_umol,346.0725032643996,45.35142265995603,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,2,4,30.02,co2_umol,26.482586454183764,-319.5899168102158,JUMP->LEVEL_OUTLIER(z=6.96),1
221019,SW,2,2,0,0.43,n2o_nmol,379.5649200689496,NA,JUMP->LEVEL_OUTLIER(z=23.47),1
221019,SW,2,2,2,10.02,n2o_nmol,6.517211769385955,-26.06884707754384,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,3,1,5,ch4_nmol,1169.44539842844,-10.562732630966366,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,2,3,4,30.02,ch4_nmol,1142.7870732169529,-40.238981451301015,JUMP->LEVEL_OUTLIER(z=5.93),1
221019,SW,2,4,0,0.53,ch4_nmol,1507.364633996101,NA,JUMP->LEVEL_OUTLIER(z=6),1
221019,UP,1,1,2,10.27,ch4_nmol,816.8030199222222,-558.770254423965,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,1,2,10.27,co2_umol,167.71215881767355,-151.40708694177331,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,2,4,30,ch4_nmol,0,-1352.4283844603951,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,2,4,30,co2_umol,8.419304592942005,-344.8783367051461,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,2,1,5,n2o_nmol,123.06356106759068,111.30563136396876,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,2,2,10.02,n2o_nmol,234.24455006721007,111.18098899961939,JUMP->LEVEL_OUTLIER(z=3.52),1
221019,UP,1,3,1,5.02,ch4_nmol,486.6574000855875,-990.4001675580981,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,3,2,10.02,n2o_nmol,211.8816604203436,200.63623335652085,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,1,4,0,0.6,ch4_nmol,1492.8468180389157,NA,JUMP->LEVEL_OUTLIER(z=4.66),1
221019,UP,2,1,0,0.43,ch4_nmol,1564.0429594624927,NA,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,2,1,4,30.02,ch4_nmol,726.8299529315385,-623.8057695720835,JUMP->LEVEL_OUTLIER(z=6.75),1
221019,UP,2,1,3,20.03,co2_umol,341.81025951164855,29.06381234243713,LEVEL_OUTLIER_MULTI(z≥3),1
