gc_run_date,filename,co2_height,ch4_height,n2o_height,qc_any_low
2022-12-20,221102_006,950187,10335,250,FALSE
2022-12-20,221102_007,935255,10353,240,FALSE
2022-12-20,221102_008,950085,10542,16062,FALSE
2022-12-20,221102_009,952058,10587,16293,FALSE
2022-12-20,221102_011,958761,10632,16482,FALSE
2022-12-20,221102_022,917593,10181,16107,FALSE
2022-12-21,221102_033,951715,10195,319,FALSE
2022-12-21,221102_034,966406,10597,16451,FALSE
2022-12-21,221102_035,958884,10617,16409,FALSE
2022-12-21,221102_036,956814,10578,16311,FALSE
2022-12-21,221102_037,959592,10572,16497,FALSE
2022-12-21,221102_048,920073,9967,15896,FALSE
2022-12-21,221102_059,903042,9864,14980,FALSE
2023-01-03,221102_062,961579,10040,15767,FALSE
2023-01-03,221102_063,974048,10325,18,FALSE
2023-01-03,221102_064,966725,10263,78,FALSE
2023-01-03,221102_065,973745,10327,16205,FALSE
2023-01-03,221102_066,971202,10279,254,FALSE
2023-01-03,221102_075,915337,9804,142,FALSE
2023-01-03,221102_086,909598,9898,583,FALSE
2023-01-04,221102_094,943669,10098,16435,FALSE
2023-01-04,221102_095,946884,10320,16671,FALSE
2023-01-04,221102_096,946705,10374,16689,FALSE
2023-01-04,221102_097,950954,10368,16939,FALSE
2023-01-04,221102_098,957944,10414,17130,FALSE
