chamber,date,ecosystem_name,ecosystem_block,rep,timepoint,time_elapsed,min_elapsed
SW 1-1,230802,SW,1,1,0,0:00:21,0.35
SW 1-1,230802,SW,1,1,1,0:05:21,5.35
SW 1-1,230802,SW,1,1,2,0:10:21,10.35
SW 1-1,230802,SW,1,1,3,0:20:21,20.35
SW 1-1,230802,SW,1,1,4,0:30:21,30.35
SW 1-2,230802,SW,1,2,0,0:00:26,0.43
SW 1-2,230802,SW,1,2,1,0:05:26,5.43
SW 1-2,230802,SW,1,2,2,0:10:26,10.43
SW 1-2,230802,SW,1,2,3,0:20:26,20.43
SW 1-2,230802,SW,1,2,4,0:30:26,30.43
SW 1-3,230802,SW,1,3,0,0:00:15,0.25
SW 1-3,230802,SW,1,3,1,0:05:15,5.25
SW 1-3,230802,SW,1,3,2,0:10:15,10.25
SW 1-3,230802,SW,1,3,3,0:20:15,20.25
SW 1-3,230802,SW,1,3,4,0:30:15,30.25
SW 1-4,230802,SW,1,4,0,0:00:21,0.35
SW 1-4,230802,SW,1,4,1,0:05:21,5.35
SW 1-4,230802,SW,1,4,2,0:10:21,10.35
SW 1-4,230802,SW,1,4,3,0:20:21,20.35
SW 1-4,230802,SW,1,4,4,0:30:21,30.35
SW 2-1,230802,SW,2,1,0,0:00:33,0.55
SW 2-1,230802,SW,2,1,1,0:06:45,6.75
SW 2-1,230802,SW,2,1,2,0:11:03,11.05
SW 2-1,230802,SW,2,1,3,0:20:01,20.02
SW 2-1,230802,SW,2,1,4,0:30:01,30.02
SW 2-2,230802,SW,2,2,0,0:00:31,0.52
SW 2-2,230802,SW,2,2,1,0:05:36,5.6
SW 2-2,230802,SW,2,2,2,0:10:00,10
SW 2-2,230802,SW,2,2,3,0:20:00,20
SW 2-2,230802,SW,2,2,4,0:30:00,30
SW 2-3,230802,SW,2,3,0,0:00:32,0.53
SW 2-3,230802,SW,2,3,1,0:05:01,5.02
SW 2-3,230802,SW,2,3,2,0:10:01,10.02
SW 2-3,230802,SW,2,3,3,0:20:00,20
SW 2-3,230802,SW,2,3,4,0:30:00,30
SW 2-4,230802,SW,2,4,0,0:00:32,0.53
SW 2-4,230802,SW,2,4,1,0:05:01,5.02
SW 2-4,230802,SW,2,4,2,0:10:00,10
SW 2-4,230802,SW,2,4,3,0:20:00,20
SW 2-4,230802,SW,2,4,4,0:30:00,30
UP 1-1,230802,UP,1,1,0,0:00:23,0.38
UP 1-1,230802,UP,1,1,1,0:05:23,5.38
UP 1-1,230802,UP,1,1,2,0:10:23,10.38
UP 1-1,230802,UP,1,1,3,0:20:23,20.38
UP 1-1,230802,UP,1,1,4,0:30:23,30.38
UP 1-2,230802,UP,1,2,0,0:00:20,0.33
UP 1-2,230802,UP,1,2,1,0:05:21,5.35
UP 1-2,230802,UP,1,2,2,0:10:20,10.33
UP 1-2,230802,UP,1,2,3,0:20:20,20.33
UP 1-2,230802,UP,1,2,4,0:30:20,30.33
UP 1-3,230802,UP,1,3,0,0:00:18,0.3
UP 1-3,230802,UP,1,3,1,0:05:18,5.3
UP 1-3,230802,UP,1,3,2,0:10:18,10.3
UP 1-3,230802,UP,1,3,3,0:20:18,20.3
UP 1-3,230802,UP,1,3,4,0:30:18,30.3
UP 1-4,230802,UP,1,4,0,0:00:18,0.3
UP 1-4,230802,UP,1,4,1,0:05:18,5.3
UP 1-4,230802,UP,1,4,2,0:10:18,10.3
UP 1-4,230802,UP,1,4,3,0:20:18,20.3
UP 1-4,230802,UP,1,4,4,0:30:18,30.3
UP 2-1,230802,UP,2,1,0,0:00:31,0.52
UP 2-1,230802,UP,2,1,1,0:05:27,5.45
UP 2-1,230802,UP,2,1,2,0:10:01,10.02
UP 2-1,230802,UP,2,1,3,0:20:02,20.03
UP 2-1,230802,UP,2,1,4,0:30:00,30
UP 2-2,230802,UP,2,2,0,0:00:34,0.57
UP 2-2,230802,UP,2,2,1,0:05:00,5
UP 2-2,230802,UP,2,2,2,0:10:00,10
UP 2-2,230802,UP,2,2,3,0:20:00,20
UP 2-2,230802,UP,2,2,4,0:30:00,30
UP 2-3,230802,UP,2,3,0,0:00:35,0.58
UP 2-3,230802,UP,2,3,1,0:05:00,5
UP 2-3,230802,UP,2,3,2,0:10:00,10
UP 2-3,230802,UP,2,3,3,0:20:00,20
UP 2-3,230802,UP,2,3,4,0:30:00,30
UP 2-4,230802,UP,2,4,0,0:00:28,0.47
UP 2-4,230802,UP,2,4,1,0:05:00,5
UP 2-4,230802,UP,2,4,2,0:10:00,10
UP 2-4,230802,UP,2,4,3,0:20:00,20
UP 2-4,230802,UP,2,4,4,0:30:00,30
