date,temp_high,temp_avg,temp_low,dewpoint_high,dewpoint_avg,dewpoint_low,humidity_high,humidity_avg,humidity_low,speed_high,speed_avg,speed_low,pressure_high,pressure_low,precip_accum
2022-01-01T00:00:00Z,2.777777778,0,-2.777777778,2.777777778,-1.111111111,-2.777777778,99,95,84,17,6,0,30,29,0
2022-01-02T00:00:00Z,-2.777777778,-6.666666667,-11.11111111,-2.777777778,-8.333333333,-13,99,90,72,15,4,0,30,30,0
2022-01-03T00:00:00Z,-5,-8.888888889,-12.88888889,-8.888888889,-13.55555556,-16.27777778,89,71,43,13,3,0,30,30,0
2022-01-04T00:00:00Z,1.111111111,-2.222222222,-6.666666667,-3.333333333,-5.555555556,-8.888888889,87,76,67,16,4,0,30,29,0
2022-01-05T00:00:00Z,0.555555556,-8.333333333,-12.22222222,-2.777777778,-11.66666667,-15.38888889,89,79,70,24,9,0,30,29,0
2022-01-06T00:00:00Z,-8.888888889,-12.27777778,-15.5,-13.11111111,-15.27777778,-18.33333333,85,79,70,16,4,0,30,30,0
2022-01-07T00:00:00Z,-8.333333333,-13.66666667,-17.77777778,-13.27777778,-17.38888889,-20.55555556,81,74,57,12,3,0,30,30,0
2022-01-08T00:00:00Z,0.555555556,-5,-10.55555556,0,-8.333333333,-13.72222222,99,81,55,14,3,0,30,30,0
2022-01-09T00:00:00Z,0.555555556,-5.555555556,-12.5,0.555555556,-10.55555556,-17.77777778,99,71,46,16,4,0,30,30,0
2022-01-10T00:00:00Z,-9.444444444,-11.66666667,-15.27777778,-13.72222222,-18.88888889,-22.77777778,74,55,37,13,3,0,30,30,0
2022-01-11T00:00:00Z,2.222222222,-6.666666667,-15.72222222,-2.222222222,-12.61111111,-22.22222222,76,61,42,17,4,0,30,30,0
2022-01-12T00:00:00Z,5.555555556,2.222222222,0,0.555555556,-1.111111111,-2.777777778,93,79,69,9.4,2,0,30,30,0
2022-01-13T00:00:00Z,3.333333333,1.666666667,-0.555555556,1.666666667,0,-1.666666667,98,90,83,11,1,0,30,30,0
2022-01-14T00:00:00Z,1.111111111,-1.111111111,-4.444444444,0.555555556,-3.333333333,-5.555555556,96,87,79,14,4,0,30,30,0
2022-01-15T00:00:00Z,-4.444444444,-6.111111111,-7.777777778,-5.555555556,-8.333333333,-10.55555556,95,82,73,13,4,0,30,30,0
