"chamber","gas","estimate","p.value","date","average_temp_kelvin","ecosystem_name","ecosystem_block","rep","total_vol_m3","flux","units","term","std.error","statistic","soil_moist_percent","soil_temp_c","plant_cover_percent","plant_biomass_g"
"1","SW 1-1","co2",NA,NA,2023-03-22,273,"SW",1,1,0.006385043,NA,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"2","SW 1-3","co2",NA,NA,2023-03-22,273,"SW",1,3,0.006955088,NA,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"3","SW 1-4","co2",NA,NA,2023-03-22,273,"SW",1,4,0.01012201,NA,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"4","SW 2-1","co2",5.56637254094543,0.0145654143174512,2023-03-22,285.7,"SW",2,1,0.007588473,0.598660223238644,"umol_m2_s1",NA,NA,NA,55.2,6.3,NA,NA
"5","SW 2-3","co2",2.07315815912429,0.00897334561097,2023-03-22,285.9,"SW",2,3,0.007081765,0.207933168971085,"umol_m2_s1",NA,NA,NA,57.2,6.8,NA,NA
"6","SW 2-4","co2",5.57302533119474,0.000763110204158763,2023-03-22,285.6,"SW",2,4,0.008538549,0.674653643948685,"umol_m2_s1",NA,NA,NA,56.1,5.9,NA,NA
"7","UP 1-1","co2",5.37903161511282,0.00170641921717962,2023-03-22,286.1,"UP",1,1,0.009171934,0.698250316772255,"umol_m2_s1",NA,NA,NA,53.3,5.2,NA,NA
"8","UP 1-2","co2",4.85530607224886,0.0192482945128147,2023-03-22,285.85,"UP",1,2,0.009551964,0.656954171024571,"umol_m2_s1",NA,NA,NA,52.4,4.9,NA,NA
"9","UP 1-3","co2",4.39060293005558,0.0153062101673397,2023-03-22,285.7,"UP",1,3,0.007968503,0.49585494012627,"umol_m2_s1",NA,NA,NA,54.7,4.9,NA,NA
"10","UP 1-4","co2",3.93392812911974,0.0672077759289488,2023-03-22,285.95,"UP",1,4,0.007905165,0.440363425130565,"umol_m2_s1",NA,NA,NA,54.1,4.8,NA,NA
"11","UP 2-1","co2",3.1890148523068,0.00995517711248416,2023-03-22,286.25,"UP",2,1,0.00891858,0.402319182625064,"umol_m2_s1",NA,NA,NA,49.1,5.3,NA,NA
"12","UP 2-2","co2",1.76477388839596,0.0301210456581162,2023-03-22,286.45,"UP",2,2,0.006765073,0.168762795789001,"umol_m2_s1",NA,NA,NA,48.9,5.7,NA,NA
"13","UP 2-3","co2",2.65818012194719,0.0212392737234014,2023-03-22,285.85,"UP",2,3,0.008981918,0.338204418156526,"umol_m2_s1",NA,NA,NA,49.2,5.4,NA,NA
"14","UP 2-4","co2",3.17442225997616,0.0096244494020055,2023-03-22,286.05,"UP",2,4,0.008475211,0.380835341827555,"umol_m2_s1",NA,NA,NA,43.1,5.3,NA,NA
"15","SW 1-1","ch4",NA,NA,2023-03-22,273,"SW",1,1,0.006385043,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"16","SW 1-3","ch4",NA,NA,2023-03-22,273,"SW",1,3,0.006955088,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
